Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;15.2;163.23;9.31;0:39:41;14.08;60;0:00:00;0.0;30;322.16;83;891.32;52;558.42;9;96.65;0:00:00;0.0
Objeto 2;396.47;112.89;351.19;10:35:02;33.18;98;0:04:13;0.66;758;215.84;1730;492.61;1337;380.7;493;140.38;0:00:00;0.0
Objeto 3;152.7;0.0;0.0;16:46:26;0.0;0;0:00:00;0.0;23;0.0;365;0.0;132;0.0;1116;0.0;15:31:24;92.54
Objeto 4;172.8;95.74;180.5;10:07:30;17.83;81;0:00:00;0.0;258;142.94;1057;585.6;561;310.81;155;85.87;0:22:17;3.67
Objeto 5;448.92;156.39;287.05;10:37:46;27.0;90;0:00:24;0.06;838;291.94;1931;672.71;1217;423.97;876;305.18;0:00:00;0.0
Objeto 6;136.2;67.58;201.53;1:16:58;157.1;79;0:00:00;0.0;198;98.25;848;420.78;510;253.06;118;58.55;0:00:00;0.0
Objeto 7;658.36;344.01;191.38;10:53:11;17.58;98;0:01:35;0.24;1297;677.71;2239;1169.92;2310;1207.02;1737;907.62;0:06:48;1.04
Objeto 8;210.6;109.12;193.0;4:41:55;41.08;76;0:00:00;0.0;298;154.4;1270;658.03;897;464.76;240;124.35;0:00:00;0.0
Objeto 9;266.6;129.25;206.27;14:22:20;14.35;74;0:00:00;0.0;287;139.14;1572;762.12;956;463.48;520;252.1;0:55:14;6.41
Objeto 10;82.69;22.77;363.1;18:33:16;19.57;93;0:00:11;0.02;48;13.22;729;200.77;1676;461.58;0;0.0;0:18:11;1.63
Objeto 11;7.59;14.8;51.24;4:36:57;11.1;88;0:00:10;0.06;2;3.9;70;136.61;196;382.5;0;0.0;0:00:00;0.0
Objeto 12;9.4;283.13;3.32;0:29:10;6.83;37;0:00:00;0.0;18;542.17;46;1385.54;25;753.01;12;361.45;0:00:00;0.0
Objeto 13;117.19;32.33;362.46;17:38:44;20.54;97;0:04:59;0.47;146;40.28;834;230.1;1731;477.57;2;0.55;0:12:30;1.18
Objeto 14;37.98;;;8:35:35;;89;0:01:55;0.37;24;;297;;825;;0;;0:52:49;10.24
Objeto 15;0.1;17.09;0.59;0:09:53;3.55;29;0:00:00;0.0;0;0.0;0;0.0;4;683.76;1;170.94;0:00:00;0.0
Objeto 16;225.13;127.25;176.91;9:16:11;19.09;84;0:00:17;0.05;393;222.14;974;550.55;656;370.8;488;275.84;0:27:51;5.01
Objeto 17;510.5;259.79;196.51;10:12:51;19.24;80;0:00:00;0.0;687;349.61;3050;1552.12;1103;561.31;681;346.56;0:00:00;0.0
Objeto 18;278.0;130.24;213.45;13:06:47;16.28;93;0:01:19;0.17;622;291.4;1400;655.89;1268;594.05;123;57.62;0:57:43;7.34
Objeto 19;260.1;118.14;220.17;10:42:53;20.55;78;0:00:00;0.0;485;220.29;1350;613.18;604;274.34;281;127.63;0:10:20;1.61
Objeto 20;530.27;176.58;300.3;11:21:02;26.46;96;0:02:05;0.31;1217;405.26;2250;749.25;1799;599.06;589;196.14;0:00:00;0.0
Objeto 21;80.32;75.8;105.97;6:27:02;16.43;81;0:00:01;0.0;117;110.41;511;482.23;266;251.02;58;54.73;0:19:45;5.1
Objeto 22;2.3;94.49;2.43;0:47:23;3.08;32;0:00:00;0.0;1;41.08;20;821.69;6;246.51;1;41.08;0:21:02;44.39
Objeto 23;229.26;75.2;304.86;18:43:37;16.28;94;0:01:48;0.16;321;105.3;1078;353.61;765;250.94;557;182.71;1:31:45;8.17
Objeto 24;53.0;66.01;80.29;2:41:04;29.91;82;0:00:00;0.0;86;107.12;338;421.0;188;234.17;20;24.91;0:00:00;0.0
Objeto 25;316.71;296.75;106.72;7:38:06;13.98;84;0:00:17;0.06;557;521.91;1359;1273.38;787;737.42;692;648.4;0:16:59;3.71
Objeto 26;188.8;92.26;204.65;9:03:13;22.6;80;0:00:00;0.0;300;146.59;1281;625.95;823;402.15;7;3.42;0:10:29;1.93
Objeto 27;149.5;84.56;176.79;8:05:53;21.83;77;0:00:00;0.0;237;134.05;952;538.48;566;320.15;69;39.03;0:12:09;2.5
Objeto 28;21.5;13.19;163.06;10:57:41;14.88;77;0:00:00;0.0;1;0.61;213;130.63;735;450.76;0;0.0;0:26:46;4.07
Objeto 29;22.28;16.25;137.06;7:56:48;17.25;95;0:00:20;0.07;7;5.11;206;150.3;526;383.78;0;0.0;0:19:56;4.18
Objeto 30;384.92;187.4;205.4;14:05:12;14.58;91;0:01:32;0.18;629;306.24;1801;876.84;1190;579.37;777;378.29;2:08:43;15.23
Objeto 31;31.1;14.07;221.09;12:45:45;17.32;79;0:00:00;0.0;4;1.81;302;136.6;927;419.3;1;0.45;0:06:10;0.81
Objeto 32;178.3;86.85;205.31;12:54:36;15.9;79;0:00:00;0.0;312;151.97;1063;517.76;578;281.53;96;46.76;1:01:34;7.95
Objeto 33;266.19;123.3;215.89;3:25:49;62.94;94;0:01:30;0.73;538;249.2;1193;552.59;722;334.43;388;179.72;0:17:08;8.32
Objeto 34;214.7;107.17;200.33;4:44:20;42.27;88;0:00:53;0.31;401;200.17;1066;532.13;629;313.99;262;130.79;0:00:00;0.0
Objeto 35;154.3;61.73;249.95;14:00:11;17.85;87;0:00:36;0.07;265;106.02;875;350.07;523;209.24;133;53.21;0:44:31;5.3
Objeto 36;321.88;26.34;1222.02;16:20:09;74.81;89;0:00:56;0.1;478;39.12;1591;130.19;894;73.16;664;54.34;2:12:06;13.48
Objeto 37;181.2;103.06;175.81;12:42:41;13.83;82;0:00:07;0.02;274;155.85;1065;605.77;501;284.97;198;112.62;0:55:00;7.21
Objeto 38;15.9;9.6;165.54;13:21:22;12.39;76;0:00:00;0.0;5;3.02;149;90.01;571;344.93;0;0.0;0:22:00;2.75
Objeto 39;119.24;74.81;159.39;8:14:08;19.35;95;0:01:34;0.32;237;148.69;635;398.39;385;241.54;70;43.92;0:48:17;9.77
Objeto 40;161.1;141.07;114.2;8:30:40;13.42;70;0:00:00;0.0;267;233.8;758;663.76;354;309.99;319;279.34;0:48:38;9.52
Objeto 41;1.8;0.0;0.0;0:05:48;0.0;0;0:00:00;0.0;0;0.0;18;0.0;42;0.0;0;0.0;0:00:00;0.0
