Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;163.47;146.91;111.27;2:09:50;51.42;95;0:00:36;0.46;284;255.23;829;745.02;561;504.17;229;205.8;0:07:05;5.46
Objeto 2;329.59;141.64;232.7;11:08:44;20.88;87;0:00:20;0.05;678;291.36;1400;601.62;1077;462.82;534;229.48;0:25:38;3.83
Objeto 3;2.0;0.0;0.0;2:18:36;0.0;0;0:00:00;0.0;2;0.0;8;0.0;3;0.0;8;0.0;0:13:02;9.4
Objeto 4;4.3;131.74;3.26;0:32:47;5.97;32;0:00:00;0.0;3;91.91;37;1133.58;15;459.56;0;0.0;0:00:00;0.0
Objeto 5;290.9;202.14;143.91;6:13:01;23.15;95;0:01:04;0.29;568;394.7;1078;749.09;706;490.59;682;473.91;0:00:00;0.0
Objeto 6;152.36;63.63;239.46;2:54:27;82.36;87;0:00:20;0.19;213;88.95;931;388.8;557;232.61;158;65.98;0:09:44;5.58
Objeto 7;634.61;330.45;192.04;10:28:59;18.32;90;0:01:25;0.23;1317;685.78;2174;1132.04;2378;1238.26;1525;794.09;0:19:25;3.09
Objeto 8;201.86;119.84;168.44;5:16:43;31.91;82;0:00:07;0.04;289;171.58;1180;700.55;782;464.26;259;153.76;0:00:00;0.0
Objeto 9;187.54;113.25;165.59;8:45:16;18.92;82;0:00:03;0.01;337;203.51;1115;673.34;882;532.63;86;51.93;0:13:52;2.64
Objeto 10;2.7;17.04;15.85;0:59:49;15.89;75;0:00:00;0.0;2;12.62;23;145.15;44;277.67;0;0.0;0:00:00;0.0
Objeto 11;44.73;21.17;211.3;12:47:41;16.51;89;0:00:38;0.08;24;11.36;394;186.47;964;456.23;0;0.0;0:00:00;0.0
Objeto 12;5.7;200.92;2.84;0:22:36;7.53;28;0:00:00;0.0;11;387.73;30;1057.46;25;881.21;5;176.24;0:00:00;0.0
Objeto 13;91.0;25.1;362.58;18:50:32;19.24;99;0:04:41;0.41;61;16.82;749;206.57;1649;454.79;0;0.0;0:00:00;0.0
Objeto 14;47.9;;;14:25:06;;96;0:02:01;0.23;36;;390;;984;;0;;2:49:38;19.61
Objeto 15;0.0;0.0;0.01;0:04:15;0.07;7;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 16;282.63;135.04;209.3;11:13:00;18.66;88;0:01:07;0.17;469;224.08;1276;609.66;809;386.53;602;287.63;0:14:36;2.17
Objeto 17;590.2;269.31;219.16;9:50:45;22.26;81;0:00:00;0.0;787;359.11;3526;1608.91;1304;595.01;802;365.95;0:06:19;1.07
Objeto 18;285.14;140.77;202.56;12:42:08;15.95;91;0:01:37;0.21;626;309.04;1447;714.35;1212;598.33;139;68.62;0:38:15;5.02
Objeto 19;228.9;109.02;209.96;10:01:18;20.95;80;0:00:00;0.0;438;208.61;1185;564.39;538;256.24;228;108.59;0:09:58;1.66
Objeto 20;628.27;208.66;301.11;9:33:27;31.5;89;0:01:38;0.28;1511;501.82;2687;892.38;2496;828.94;547;181.66;0:00:00;0.0
Objeto 21;138.75;67.99;204.08;11:49:19;17.26;85;0:00:09;0.02;210;102.9;869;425.82;494;242.06;96;47.04;0:42:39;6.01
Objeto 22;233.6;118.55;197.05;11:40:07;16.89;78;0:00:00;0.0;384;194.88;1188;602.9;1167;592.24;380;192.85;0:08:18;1.19
Objeto 23;199.61;80.65;247.51;13:28:02;18.38;107;0:04:16;0.53;204;82.42;614;248.07;611;246.86;938;378.98;0:20:19;2.51
Objeto 24;113.06;96.5;117.16;5:48:28;20.17;82;0:00:03;0.01;193;164.73;607;518.08;399;340.55;137;116.93;0:00:00;0.0
Objeto 25;144.9;199.72;72.55;3:50:20;18.9;83;0:00:07;0.05;239;329.42;666;917.96;364;501.71;304;419.01;0:20:47;9.02
Objeto 26;0.5;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;5;0.0;2;0.0;0;0.0;0:00:00;0.0
Objeto 27;165.5;85.65;193.23;6:38:39;29.08;80;0:00:00;0.0;240;124.2;1164;602.38;804;416.08;11;5.69;0:36:40;9.2
Objeto 28;140.3;79.64;176.16;8:33:35;20.58;79;0:00:00;0.0;218;123.75;915;519.42;564;320.17;52;29.52;0:00:00;0.0
Objeto 29;26.3;13.68;192.26;11:53:42;16.16;75;0:00:00;0.0;2;1.04;257;133.67;861;447.84;2;1.04;0:10:42;1.5
Objeto 30;59.36;21.09;281.52;15:29:32;18.17;91;0:02:32;0.27;38;13.5;495;175.83;1223;434.42;1;0.36;0:22:25;2.41
Objeto 31;208.98;139.88;149.4;15:36:24;9.57;91;0:00:49;0.09;321;214.87;1139;762.4;748;500.68;302;202.15;6:38:37;42.57
Objeto 32;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 33;164.0;80.27;204.31;12:58:39;15.74;79;0:00:00;0.0;256;125.3;1042;510.0;496;242.77;86;42.09;0:42:27;5.45
Objeto 34;379.07;126.75;299.07;17:09:21;17.43;97;0:01:26;0.14;707;236.4;1778;594.51;1071;358.11;585;195.61;0:35:59;3.5
Objeto 35;219.15;105.7;207.33;6:36:38;31.36;95;0:02:33;0.64;390;188.11;1091;526.21;700;337.63;274;132.16;0:00:00;0.0
Objeto 36;138.3;62.68;220.65;11:24:15;19.35;80;0:00:00;0.0;214;96.99;839;380.24;551;249.72;116;52.57;0:29:24;4.3
Objeto 37;311.91;20.13;1549.22;18:14:16;84.95;100;0:02:14;0.2;468;30.21;1668;107.67;948;61.19;495;31.95;1:09:42;6.37
