Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;13.4;123.55;10.85;1:02:36;10.4;59.0;0:00:00;0.0;16.0;147.52;91.0;839.02;37.0;341.14;11.0;101.42;0:00:00;0.0
Objeto 2;133.38;129.69;102.84;4:09:34;24.72;90.0;0:01:05;0.43;251.0;244.07;574.0;558.15;390.0;379.23;242.0;235.32;0:09:05;3.64
Objeto 3;401.82;;;7:54:05;;89.0;0:00:30;0.11;793.0;;1261.0;;979.0;;1167.0;;0:58:36;12.36
Objeto 4;162.89;92.51;176.08;12:05:55;14.55;92.0;0:01:11;0.16;323.0;183.44;876.0;497.52;591.0;335.65;97.0;55.09;0:18:44;2.58
Objeto 5;184.0;91.21;201.73;10:42:49;18.83;74.0;0:00:00;0.0;287.0;142.27;1056.0;523.48;513.0;254.31;210.0;104.1;0:07:32;1.17
Objeto 6;489.8;197.05;248.57;10:45:45;23.1;92.0;0:01:27;0.22;1071.0;430.87;1896.0;762.78;1458.0;586.56;845.0;339.95;0:00:00;0.0
Objeto 7;144.0;76.16;189.07;0:54:00;210.08;80.0;0:00:00;0.0;204.0;107.9;927.0;490.3;592.0;313.11;105.0;55.54;0:00:00;0.0
Objeto 8;823.33;372.23;221.19;8:07:45;27.21;92.0;0:01:04;0.22;1853.0;837.76;2553.0;1154.23;2738.0;1237.87;1954.0;883.42;0:08:46;1.8
Objeto 9;201.0;121.98;164.78;2:29:34;66.1;79.0;0:00:00;0.0;311.0;188.74;1188.0;720.97;865.0;524.95;200.0;121.38;0:00:00;0.0
Objeto 10;434.2;202.6;214.31;10:00:42;21.41;74.0;0:00:00;0.0;737.0;343.89;2094.0;977.08;1165.0;543.6;774.0;361.15;0:07:33;1.26
Objeto 11;68.01;20.94;324.84;17:10:32;18.91;93.0;0:00:58;0.09;45.0;13.85;582.0;179.16;1363.0;419.59;0.0;0.0;0:53:07;5.15
Objeto 12;53.87;24.08;223.72;12:44:39;17.55;92.0;0:01:47;0.23;33.0;14.75;457.0;204.28;1030.0;460.4;0.0;0.0;0:16:49;2.2
Objeto 13;456.29;268.06;170.22;11:04:09;15.38;91.0;0:00:26;0.07;824.0;484.09;1757.0;1032.21;1227.0;720.84;1151.0;676.19;0:36:27;5.49
Objeto 14;86.99;24.81;350.58;17:45:35;19.74;112.0;0:04:07;0.39;84.0;23.96;654.0;186.55;1457.0;415.6;8.0;2.28;0:22:15;2.09
Objeto 15;56.86;;;14:26:00;;99.0;0:02:39;0.31;44.0;;457.0;;1158.0;;0.0;;0:38:48;4.48
Objeto 16;49.54;24.02;206.2;12:14:17;16.85;99.0;0:01:38;0.22;40.0;19.4;401.0;194.47;944.0;457.81;0.0;0.0;0:08:33;1.16
Objeto 17;357.36;139.34;256.47;12:08:47;21.11;90.0;0:00:46;0.11;630.0;245.65;1615.0;629.72;1024.0;399.27;691.0;269.43;0:33:16;4.56
Objeto 18;718.57;322.01;223.15;9:40:44;23.06;82.0;0:00:04;0.01;1311.0;587.5;3532.0;1582.8;1786.0;800.36;1031.0;462.02;0:00:00;0.0
Objeto 19;300.25;146.42;205.06;12:35:52;16.28;90.0;0:01:00;0.13;663.0;323.31;1534.0;748.06;1268.0;618.34;134.0;65.35;1:06:23;8.78
Objeto 20;32.6;113.1;28.83;1:27:02;19.87;69.0;0:00:00;0.0;77.0;267.13;167.0;579.36;96.0;333.04;5.0;17.35;0:27:25;31.5
Objeto 21;423.34;207.15;204.36;7:47:58;26.2;93.0;0:01:52;0.4;1011.0;494.72;1613.0;789.29;1282.0;627.32;575.0;281.37;0:00:00;0.0
Objeto 22;171.38;85.42;200.63;10:29:33;19.12;85.0;0:00:12;0.03;245.0;122.11;1114.0;555.25;862.0;429.64;108.0;53.83;0:18:32;2.94
