Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;247.0;136.73;180.65;4:18:57;41.86;78;0:00:00;0.0;460;254.64;1138;629.96;881;487.69;412;228.07;0:00:00;0.0
Objeto 2;279.66;107.2;260.87;8:50:23;29.51;88;0:00:55;0.17;560;214.66;1303;499.47;963;369.14;352;134.93;0:06:34;1.24
Objeto 3;232.4;0.0;0.0;17:44:17;0.0;0;0:00:00;0.0;105;0.0;712;0.0;386;0.0;1402;0.0;16:34:24;93.43
Objeto 4;27.1;143.52;18.88;1:08:37;16.51;53;0:00:00;0.0;37;195.94;179;947.94;123;651.38;18;95.32;0:00:00;0.0
Objeto 5;441.38;151.89;290.6;11:22:17;25.56;89;0:00:53;0.13;833;286.65;1928;663.46;1146;394.36;809;278.39;0:07:10;1.05
Objeto 6;134.1;70.82;189.35;2:00:46;94.07;80;0:00:00;0.0;206;108.79;799;421.97;503;265.65;130;68.66;0:00:00;0.0
Objeto 7;550.63;330.89;166.41;8:15:39;20.14;83;0:00:07;0.02;1134;681.47;1930;1159.81;2076;1247.55;1307;785.43;0:14:33;2.94
Objeto 8;195.48;122.7;159.31;4:31:08;35.25;83;0:00:17;0.1;277;173.87;1154;724.37;846;531.04;242;151.9;0:09:20;3.44
Objeto 9;20.1;216.64;9.28;0:40:37;13.71;57;0:00:00;0.0;34;366.46;109;1174.82;87;937.7;24;258.68;0:00:00;0.0
Objeto 10;38.35;22.47;170.68;9:31:09;17.93;110;0:01:23;0.24;27;15.82;318;186.31;723;423.6;0;0.0;0:12:37;2.21
Objeto 11;0.0;0.0;0.09;0:02:56;1.74;8;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 12;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 13;59.75;28.97;206.25;11:34:27;17.82;95;0:01:37;0.23;63;30.55;458;222.06;951;461.09;0;0.0;0:32:26;4.67
Objeto 14;55.86;;;15:31:01;;104;0:03:25;0.37;48;;434;;1140;;0;;1:51:49;12.01
Objeto 15;17.26;13.12;131.56;5:36:53;23.43;96;0:02:09;0.64;16;12.16;119;90.46;382;290.37;0;0.0;0:00:00;0.0
Objeto 16;320.23;162.59;196.96;10:51:27;18.14;87;0:00:30;0.08;573;290.92;1352;686.43;900;456.94;699;354.89;0:26:24;4.05
Objeto 17;563.56;250.21;225.24;9:46:42;23.03;86;0:00:09;0.03;752;333.87;3327;1477.1;1188;527.44;803;356.51;0:00:00;0.0
Objeto 18;294.24;111.66;263.5;15:41:05;16.8;89;0:00:53;0.09;570;216.32;1524;578.36;1068;405.31;271;102.85;1:09:06;7.34
Objeto 19;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 20;405.64;204.83;198.04;6:38:13;29.84;106;0:01:04;0.27;868;438.3;1739;878.12;1349;681.19;567;286.31;0:00:00;0.0
Objeto 21;138.9;69.55;199.7;9:38:13;20.72;80;0:00:00;0.0;209;104.65;877;439.15;482;241.36;94;47.07;0:07:09;1.24
Objeto 22;202.4;102.17;198.11;11:47:41;16.8;74;0:00:00;0.0;342;172.63;1157;584.03;1042;525.98;183;92.37;0:30:47;4.35
Objeto 23;363.36;117.03;310.48;17:22:37;17.87;108;0:04:37;0.44;604;194.54;1658;534.01;1650;531.43;727;234.15;1:28:18;8.47
Objeto 24;170.33;73.34;232.24;8:38:48;26.86;90;0:00:57;0.18;285;122.72;948;408.19;593;255.34;175;75.35;0:00:00;0.0
Objeto 25;289.73;272.1;106.48;7:48:14;13.64;87;0:00:09;0.03;533;500.58;1245;1169.28;673;632.07;585;549.42;0:23:09;4.94
Objeto 26;161.6;82.31;196.34;7:26:44;26.37;76;0:00:00;0.0;238;121.22;1127;574.01;698;355.51;13;6.62;0:00:00;0.0
Objeto 27;163.3;92.56;176.43;8:20:11;21.16;78;0:00:00;0.0;259;146.8;1034;586.08;681;386.0;81;45.91;0:15:28;3.09
Objeto 28;18.6;14.46;128.63;9:37:31;13.36;72;0:00:00;0.0;2;1.55;182;141.5;576;447.81;0;0.0;0:10:46;1.86
Objeto 29;49.69;20.81;238.8;14:03:14;16.99;85;0:00:33;0.07;31;12.98;429;179.65;1038;434.67;1;0.42;0:10:07;1.2
Objeto 30;318.35;170.43;186.79;15:34:16;12.0;96;0:02:00;0.21;499;267.14;1578;844.79;1017;544.46;591;316.4;4:05:36;26.29
Objeto 31;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 32;167.52;80.96;206.91;12:41:40;16.3;85;0:00:22;0.05;293;141.61;1011;488.62;555;268.23;75;36.25;0:59:17;7.78
Objeto 33;3.4;30.5;11.15;0:33:40;19.87;58;0:00:00;0.0;5;44.85;22;197.34;8;71.76;2;17.94;0:00:00;0.0
Objeto 34;113.76;52.36;217.27;5:27:23;39.82;94;0:06:11;1.89;185;85.15;625;287.66;287;132.09;69;31.76;0:00:00;0.0
Objeto 35;0.9;57.84;1.56;0:18:13;5.12;33;0:00:00;0.0;1;64.27;7;449.87;5;321.34;0;0.0;0:07:43;42.36
Objeto 36;203.0;-0.34;-60427.04;10:46:48;-5605.48;94;0:03:05;0.48;320;-0.53;1081;-1.79;740;-1.22;280;-0.46;0:38:31;5.95
Objeto 37;205.7;99.31;207.13;13:24:55;15.44;80;0:00:00;0.0;311;150.15;1195;576.94;620;299.33;240;115.87;0:06:51;0.85
Objeto 38;26.0;12.88;201.87;14:27:14;13.97;72;0:00:00;0.0;3;1.49;254;125.82;805;398.77;0;0.0;1:01:31;7.09
Objeto 39;10.7;122.9;8.71;0:51:04;10.23;37;0:00:00;0.0;19;218.24;68;781.07;42;482.43;1;11.49;0:00:00;0.0
Objeto 40;258.1;185.58;139.08;11:08:43;12.48;75;0:00:00;0.0;480;345.13;1100;790.92;585;420.62;521;374.61;1:42:22;15.31
Objeto 41;1.5;0.0;0.0;0:03:33;0.0;2;0:00:00;0.0;1;0.0;13;0.0;20;0.0;0;0.0;0:00:00;0.0
Objeto 42;133.2;63.71;209.09;12:02:09;17.37;78;0:00:00;0.0;199;95.18;860;411.31;459;219.52;74;35.39;0:47:25;6.57
