Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;333.16;163.73;203.49;11:28:11;17.74;91;0:01:05;0.16;560;275.2;1228;603.48;817;401.5;974;478.65;0:14:00;2.03
Objeto 2;390.9;123.24;317.19;12:19:06;25.75;97;0:01:39;0.22;728;229.52;1848;582.62;1277;402.6;588;185.38;0:06:12;0.84
Objeto 3;182.5;0.0;0.0;10:27:14;0.0;0;0:00:00;0.0;138;0.0;546;0.0;289;0.0;1003;0.0;9:24:26;89.99
Objeto 4;188.6;102.2;184.54;9:10:23;20.12;74;0:00:00;0.0;287;155.52;1049;568.43;547;296.41;263;142.51;0:00:00;0.0
Objeto 5;248.05;120.83;205.29;8:15:16;24.87;92;0:00:57;0.19;462;225.05;1180;574.79;661;321.98;366;178.28;0:00:00;0.0
Objeto 6;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 7;657.66;348.12;188.92;8:21:46;22.59;82;0:00:06;0.02;1399;740.54;2416;1278.88;2348;1242.88;1361;720.43;0:06:18;1.26
Objeto 8;77.0;55.45;138.86;5:50:50;23.75;74;0:00:00;0.0;104;74.9;557;401.13;440;316.87;5;3.6;0:00:00;0.0
Objeto 9;57.5;17.23;333.69;17:59:10;18.55;83;0:00:00;0.0;22;6.59;531;159.13;1453;435.44;0;0.0;0:20:35;1.91
Objeto 10;13.6;23.86;56.99;3:19:56;17.1;76;0:00:00;0.0;7;12.28;122;214.07;258;452.7;0;0.0;0:07:24;3.7
Objeto 11;595.5;328.21;181.44;12:03:44;15.04;73;0:00:00;0.0;1347;742.39;1966;1083.55;1812;998.67;1295;713.73;1:01:16;8.47
Objeto 12;82.24;24.45;336.4;18:01:23;18.66;93;0:01:43;0.16;60;17.84;686;203.93;1544;458.98;2;0.59;0:36:13;3.35
Objeto 13;18.33;;;8:31:38;;81;0:00:02;0.01;10;;163;;410;;0;;3:38:11;42.64
Objeto 14;45.77;22.52;203.21;12:38:48;16.07;103;0:03:27;0.45;30;14.76;369;181.58;923;454.2;0;0.0;0:38:51;5.12
Objeto 15;38.1;73.29;51.99;2:39:27;19.56;76;0:00:00;0.0;49;94.25;189;363.55;100;192.35;94;180.81;0:17:46;11.14
Objeto 16;368.3;229.13;160.74;8:21:40;19.22;80;0:00:00;0.0;541;336.58;2021;1257.35;773;480.92;580;360.84;0:09:48;1.95
Objeto 17;283.86;140.67;201.79;12:32:55;16.08;91;0:00:42;0.09;626;310.23;1469;728.0;1230;609.55;111;55.01;0:59:28;7.9
Objeto 18;275.96;118.79;232.31;11:28:28;20.25;86;0:00:16;0.04;527;226.86;1433;616.86;670;288.41;270;116.23;0:23:14;3.37
Objeto 19;438.79;213.72;205.32;7:07:45;28.8;97;0:01:26;0.34;1010;491.93;1804;878.65;1452;707.21;546;265.93;0:00:00;0.0
Objeto 20;151.7;84.23;180.1;8:57:30;20.1;79;0:00:00;0.0;205;113.83;1016;564.14;759;421.44;91;50.53;0:10:40;1.98
Objeto 21;248.1;125.52;197.67;10:49:52;18.25;85;0:00:35;0.09;459;232.21;1144;578.75;1053;532.71;414;209.44;0:34:41;5.34
Objeto 22;91.32;67.65;134.99;7:14:12;18.65;107;0:02:09;0.5;119;88.16;392;290.4;256;189.65;265;196.32;0:34:07;7.86
Objeto 23;100.63;57.1;176.22;8:24:24;20.96;90;0:00:36;0.12;145;82.28;640;363.18;355;201.45;71;40.29;0:13:25;2.66
Objeto 24;254.5;209.33;121.58;9:57:01;12.22;75;0:00:00;0.0;424;348.74;1280;1052.81;731;601.26;417;342.99;0:48:29;8.12
Objeto 25;310.43;163.09;190.34;11:35:37;16.42;81;0:00:02;0.0;686;360.4;1645;864.23;1736;912.04;87;45.71;0:26:08;3.76
Objeto 26;25.0;23.3;107.3;4:37:25;23.21;74;0:00:00;0.0;20;18.64;209;194.77;104;96.92;1;0.93;0:00:00;0.0
Objeto 27;3.2;46.63;6.86;1:12:28;5.68;47;0:00:00;0.0;3;43.71;26;378.84;12;174.85;0;0.0;0:42:23;58.49
Objeto 28;21.6;13.27;162.77;10:55:38;14.9;78;0:00:00;0.0;2;1.23;212;130.25;774;475.53;0;0.0;0:15:27;2.36
Objeto 29;46.23;22.33;207.06;12:03:50;17.16;92;0:00:48;0.11;37;17.87;377;182.08;773;373.33;2;0.97;0:29:06;4.02
Objeto 30;314.64;198.26;158.7;13:02:31;12.17;97;0:03:03;0.39;583;367.35;1379;868.91;914;575.91;576;362.94;3:51:08;29.54
Objeto 31;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 32;142.4;71.12;200.21;11:57:42;16.74;77;0:00:00;0.0;242;120.87;878;438.53;460;229.76;62;30.97;0:38:23;5.35
Objeto 33;105.58;44.06;239.66;5:52:40;40.77;83;0:00:49;0.23;91;37.97;634;264.54;173;72.19;233;97.22;0:46:26;13.17
Objeto 34;141.47;81.32;173.98;5:21:18;32.49;85;0:00:41;0.21;254;146.0;766;440.29;430;247.16;130;74.72;0:00:00;0.0
Objeto 35;154.6;49.86;310.07;16:09:01;19.2;78;0:00:00;0.0;256;82.56;929;299.61;589;189.96;105;33.86;0:42:22;4.37
Objeto 36;82.51;12.98;635.49;7:53:40;80.5;87;0:00:08;0.03;115;18.1;499;78.52;299;47.05;95;14.95;0:34:53;7.36
Objeto 37;186.73;86.01;217.1;11:03:01;19.65;87;0:00:24;0.06;302;139.11;1103;508.07;630;290.19;156;71.86;0:00:00;0.0
Objeto 38;0.0;0.0;2.18;0:20:02;6.53;43;0:00:00;0.0;0;0.0;0;0.0;1;45.89;0;0.0;0:00:00;0.0
Objeto 39;240.01;73.52;326.45;18:09:04;17.99;89;0:02:03;0.19;440;134.78;1364;417.83;814;249.35;138;42.27;1:25:13;7.82
Objeto 40;0.1;400.0;0.03;0:18:16;0.08;0;0:00:00;0.0;0;0.0;1;4000.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 41;156.99;70.84;221.6;12:04:36;18.35;86;0:00:24;0.06;177;79.88;993;448.11;595;268.51;219;98.83;0:09:49;1.35
Objeto 42;130.2;61.98;210.07;12:02:40;17.44;79;0:00:00;0.0;176;83.78;865;411.78;426;202.79;85;40.46;0:44:02;6.09
Objeto 43;134.83;59.44;226.82;14:16:12;15.89;93;0:00:24;0.05;161;70.98;859;378.71;591;260.56;162;71.42;0:28:50;3.37
Objeto 44;266.01;125.31;212.28;11:02:18;19.23;81;0:00:01;0.0;525;247.32;1243;585.55;748;352.37;367;172.89;0:00:00;0.0
Objeto 45;174.27;77.55;224.71;12:53:12;17.44;82;0:00:03;0.01;338;150.42;942;419.21;526;234.08;124;55.18;0:14:11;1.83
Objeto 46;33.8;15.77;214.35;11:35:24;18.49;78;0:00:00;0.0;9;4.2;319;148.82;934;435.73;1;0.47;0:00:00;0.0
Objeto 47;173.26;92.99;186.33;9:22:46;19.87;89;0:02:26;0.43;311;166.91;893;479.27;569;305.38;187;100.36;0:15:11;2.7
Objeto 48;231.8;109.01;212.65;12:30:04;17.01;78;0:00:00;0.0;469;220.56;1194;561.5;631;296.74;186;87.47;0:51:23;6.85
Objeto 49;78.5;40.07;195.92;0:00:00;0.0;89;0:00:37;0.0;60;30.63;445;227.14;286;145.98;220;112.29;0:00:00;0.0
Objeto 50;280.61;99.57;281.81;16:21:45;17.22;102;0:03:17;0.33;503;178.49;1270;450.66;833;295.59;501;177.78;1:22:56;8.45
Objeto 51;1.1;34.81;3.16;4:57:19;0.64;28;0:00:00;0.0;0;0.0;4;126.58;4;126.58;7;221.52;3:56:19;79.48
Objeto 52;11.54;11.99;96.27;6:07:58;15.7;88;0:00:24;0.11;5;5.19;102;105.96;398;413.44;0;0.0;0:39:50;10.83
Objeto 53;150.71;74.6;202.04;14:33:30;13.88;81;0:00:01;0.0;191;94.54;997;493.48;440;217.78;128;63.36;1:45:46;12.11
Objeto 54;35.99;26.42;136.21;8:07:31;16.76;87;0:00:35;0.12;36;26.43;282;207.03;650;477.21;1;0.73;0:00:00;0.0
Objeto 55;35.17;19.45;180.85;11:35:14;15.61;151;0:00:09;0.02;23;12.72;283;156.49;737;407.53;21;11.61;0:17:02;2.45
Objeto 56;90.4;72.31;125.03;8:34:41;14.58;93;0:01:12;0.23;149;119.18;556;444.71;404;323.13;40;31.99;0:31:00;6.02
Objeto 57;230.46;101.28;227.56;13:16:09;17.15;87;0:00:26;0.05;495;217.53;1268;557.22;806;354.2;43;18.9;1:04:45;8.13
Objeto 58;218.7;101.21;216.08;13:46:07;15.69;86;0:00:29;0.06;287;132.82;1054;487.79;653;302.21;555;256.85;0:42:30;5.14
Objeto 59;32.86;16.1;204.1;12:08:47;16.8;81;0:00:04;0.01;14;6.86;300;146.99;835;409.11;0;0.0;0:28:49;3.95
Objeto 60;344.7;176.62;195.17;13:14:40;14.74;79;0:00:00;0.0;657;336.64;1452;743.99;867;444.24;681;348.94;2:12:00;16.61
Objeto 61;106.96;60.09;177.99;12:20:47;14.42;82;0:00:04;0.01;138;77.53;715;401.7;312;175.29;78;43.82;0:38:10;5.15
Objeto 62;81.98;44.3;185.07;13:29:42;13.71;82;0:00:06;0.01;117;63.22;561;303.13;226;122.12;24;12.97;2:27:09;18.17
Objeto 63;362.99;138.64;261.82;16:30:14;15.86;88;0:00:23;0.04;625;238.72;2144;818.9;1178;449.94;230;87.85;2:37:46;15.93
Objeto 64;6.0;106.21;5.65;3:08:28;1.8;55;0:00:00;0.0;6;106.21;47;832.01;23;407.15;1;17.7;2:03:15;65.4
Objeto 65;4.5;10.56;42.62;2:37:49;16.2;76;0:00:00;0.0;0;0.0;45;105.59;160;375.45;0;0.0;0:00:00;0.0
Objeto 66;150.31;69.26;217.03;13:02:12;16.65;87;0:00:44;0.09;269;123.95;892;411.01;608;280.15;66;30.41;0:51:22;6.57
Objeto 67;33.4;16.41;203.56;12:32:46;16.22;81;0:00:00;0.0;12;5.9;308;151.31;873;428.87;2;0.98;0:00:00;0.0
Objeto 68;113.8;94.68;120.19;7:46:24;15.46;74;0:00:00;0.0;185;153.92;665;553.28;274;227.97;103;85.7;0:47:21;10.15
Objeto 69;97.3;58.92;165.13;1:20:48;122.62;80;0:00:00;0.0;170;102.95;619;374.86;364;220.44;14;8.48;0:00:00;0.0
Objeto 70;57.94;25.66;225.79;10:23:44;21.72;100;0:02:30;0.4;40;17.72;474;209.93;981;434.48;1;0.44;0:00:00;0.0
Objeto 71;150.9;81.5;185.16;14:12:26;13.03;78;0:00:00;0.0;209;112.88;1071;578.42;553;298.66;20;10.8;2:21:00;16.54
Objeto 72;111.05;63.51;174.86;8:32:29;20.47;85;0:00:32;0.1;186;106.37;686;392.32;343;196.16;47;26.88;0:32:36;6.36
Objeto 73;199.3;108.8;183.18;6:18:09;29.06;81;0:00:00;0.0;350;191.07;1198;654.01;957;522.44;95;51.86;0:00:00;0.0
Objeto 74;130.71;61.24;213.45;11:17:33;18.9;94;0:00:51;0.13;244;114.31;780;365.43;591;276.89;32;14.99;0:22:43;3.35
Objeto 75;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 76;345.27;171.07;201.83;10:46:09;18.74;82;0:00:05;0.01;590;292.33;1411;699.12;922;456.83;861;426.61;0:53:20;8.25
Objeto 77;15.6;7.52;207.49;12:01:53;17.25;70;0:00:00;0.0;0;0.0;156;75.19;599;288.69;0;0.0;0:00:00;0.0
Objeto 78;0.0;0.0;0.28;0:07:56;2.09;19;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 79;267.37;96.35;277.5;10:46:34;25.75;82;0:00:02;0.01;535;192.79;1547;557.48;949;341.98;56;20.18;0:00:00;0.0
Objeto 80;255.42;117.44;217.5;10:06:35;21.51;90;0:01:58;0.32;483;222.07;1439;661.61;1019;468.51;129;59.31;0:00:00;0.0
Total;12219.27;87.34;13989.9;752:26:23;18.59;151;0:40:28;0.09;21035;150.36;64150;458.54;50732;362.63;15588;111.42;59:35:38;7.92
