Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;287.97;139.4;206.57;11:43:39;17.61;96;0:00:32;0.08;482;233.33;1274;616.73;879;425.51;637;308.36;0:00:00;0.0
Objeto 2;338.48;123.09;274.99;11:02:51;24.89;107;0:02:27;0.37;650;236.37;1549;563.3;1042;378.92;483;175.64;0:25:32;3.85
Objeto 3;480.51;;;13:27:53;;84;0:00:08;0.02;736;;2058;;981;;1274;;0:33:05;4.1
Objeto 4;90.2;78.88;114.35;9:19:25;12.26;79;0:00:00;0.0;143;125.06;545;476.61;349;305.21;71;62.09;1:43:23;18.48
Objeto 5;184.6;98.79;186.86;10:16:06;18.2;75;0:00:00;0.0;303;162.15;1049;561.37;545;291.66;191;102.21;0:07:51;1.27
Objeto 6;219.01;121.45;180.33;8:39:50;20.81;88;0:00:11;0.04;411;227.92;1052;583.39;593;328.85;314;174.13;0:00:00;0.0
Objeto 7;103.52;66.37;155.98;2:21:20;66.22;82;0:00:04;0.05;136;87.19;649;416.07;346;221.82;95;60.9;0:00:00;0.0
Objeto 8;692.67;362.92;190.86;10:44:22;17.77;97;0:00:50;0.13;1459;764.42;2429;1272.64;2454;1285.74;1571;823.1;1:05:27;10.16
Objeto 9;201.56;127.05;158.64;5:37:47;28.18;82;0:00:01;0.0;291;183.44;1180;743.83;850;535.81;198;124.81;3:23:51;60.35
Objeto 10;105.0;151.78;69.18;3:11:08;21.72;67;0:00:00;0.0;164;237.07;580;838.4;332;479.91;142;205.26;0:06:48;3.56
Objeto 11;7.5;15.53;48.3;3:05:06;15.66;86;0:00:00;0.0;3;6.21;69;142.86;142;294.0;0;0.0;0:15:19;8.27
Objeto 12;39.8;23.11;172.23;10:47:16;15.96;85;0:00:30;0.08;21;12.19;351;203.8;865;502.25;0;0.0;0:19:42;3.04
Objeto 13;549.75;281.73;195.13;14:21:50;13.58;87;0:01:01;0.12;1040;532.98;2031;1040.84;1524;781.01;1378;706.19;1:26:42;10.06
Objeto 14;78.79;24.16;326.11;18:10:30;17.94;115;0:03:09;0.29;66;20.24;622;190.74;1409;432.07;2;0.61;1:06:45;6.12
Objeto 15;33.9;;;20:10:54;;84;0:00:28;0.04;15;;303;;812;;1;;7:52:14;39.0
Objeto 16;41.82;20.7;202.08;15:10:13;13.32;92;0:01:04;0.12;27;13.36;354;175.18;947;468.64;0;0.0;0:43:44;4.8
Objeto 17;250.03;135.0;185.21;9:12:48;20.1;86;0:00:31;0.09;439;237.03;1117;603.11;715;386.06;501;270.51;0:07:01;1.27
Objeto 18;137.2;251.39;54.58;2:29:17;21.94;75;0:00:00;0.0;214;392.11;792;1451.16;323;591.82;152;278.51;0:08:44;5.85
Objeto 19;208.0;120.14;173.13;9:59:35;17.33;80;0:00:00;0.0;416;240.28;1077;622.07;473;273.2;171;98.77;0:20:26;3.41
Objeto 20;424.35;214.43;197.89;7:01:04;28.2;86;0:00:40;0.16;932;470.96;1790;904.53;1444;729.69;578;292.08;0:07:02;1.67
Objeto 21;84.7;79.42;106.65;7:58:34;13.37;76;0:00:00;0.0;121;113.46;580;543.86;420;393.83;25;23.44;0:43:39;9.12
Objeto 22;195.9;99.02;197.83;12:52:37;15.36;71;0:00:00;0.0;280;141.54;1127;569.68;993;501.95;272;137.49;1:22:59;10.74
Objeto 23;244.25;140.68;173.63;9:35:23;18.11;97;0:01:56;0.34;469;270.12;1135;653.7;741;426.78;353;203.31;0:17:50;3.1
Objeto 24;146.43;67.45;217.11;9:37:39;22.55;86;0:00:38;0.11;256;117.91;804;370.33;481;221.55;139;64.02;0:10:35;1.83
Objeto 25;410.23;199.68;205.44;13:49:56;14.85;83;0:00:09;0.02;793;386.0;1730;842.09;1188;578.27;785;382.1;0:34:05;4.11
Objeto 26;295.42;185.14;159.56;12:58:04;12.3;98;0:00:58;0.12;658;412.38;1539;964.52;1584;992.72;91;57.03;2:34:44;19.89
Objeto 27;66.7;37.51;177.8;8:57:48;19.84;79;0:00:00;0.0;67;37.68;509;286.28;239;134.42;24;13.5;0:00:00;0.0
Objeto 28;3.9;23.43;16.65;0:44:33;22.42;71;0:00:00;0.0;5;30.03;29;174.2;13;78.09;0;0.0;0:00:00;0.0
Objeto 29;24.0;12.52;191.71;12:10:49;15.74;75;0:00:00;0.0;4;2.09;231;120.5;833;434.52;1;0.52;0:00:00;0.0
Objeto 30;23.74;17.42;136.32;7:53:39;17.27;84;0:00:03;0.01;11;8.07;214;156.98;512;375.59;1;0.73;0:00:00;0.0
Objeto 31;304.6;165.38;184.18;13:06:08;14.06;102;0:03:22;0.43;555;301.33;1223;664.02;964;523.4;685;371.92;1:57:22;14.93
Objeto 32;66.67;27.61;241.42;13:58:42;17.27;91;0:00:48;0.1;65;26.92;528;218.7;1084;449.0;1;0.41;0:17:21;2.07
Objeto 33;47.13;72.37;65.11;6:51:47;9.49;94;0:00:16;0.06;74;113.65;303;465.34;134;205.79;18;27.64;1:40:30;24.41
Objeto 34;340.25;106.81;318.57;16:56:29;18.8;94;0:01:08;0.11;635;199.33;1693;531.44;976;306.37;424;133.1;0:49:17;4.85
Objeto 35;24.0;16.82;142.66;12:03:20;11.83;80;0:00:00;0.0;11;7.71;218;152.81;635;445.11;0;0.0;0:32:45;4.53
Objeto 36;279.8;96.78;289.1;9:01:47;32.02;92;0:03:14;0.6;484;167.42;1427;493.61;834;288.48;346;119.68;0:00:00;0.0
Objeto 37;176.32;82.72;213.15;13:49:41;15.41;95;0:01:28;0.18;316;148.25;1027;481.82;729;342.01;92;43.16;0:52:27;6.32
Objeto 38;45.09;23.78;189.64;11:22:37;16.67;89;0:01:51;0.27;44;23.2;347;182.98;772;407.09;0;0.0;0:26:30;3.88
Objeto 39;92.64;15.95;580.72;8:13:09;70.65;82;0:00:03;0.01;140;24.11;582;100.22;367;63.2;64;11.02;0:28:12;5.72
Objeto 40;94.85;69.02;137.43;6:53:38;19.94;83;0:00:03;0.01;129;93.86;571;415.48;265;192.82;119;86.59;0:12:06;2.93
Objeto 41;36.6;12.46;293.68;17:55:12;16.39;72;0:00:00;0.0;8;2.72;349;118.84;1091;371.49;1;0.34;0:13:12;1.23
Objeto 42;132.2;62.86;210.3;11:15:34;18.68;92;0:01:18;0.19;275;130.76;706;335.71;441;209.7;55;26.15;0:49:20;7.3
Objeto 43;143.3;135.22;105.97;7:11:58;14.72;68;0:00:00;0.0;253;238.74;631;595.43;322;303.85;296;279.31;0:24:35;5.69
Objeto 44;217.99;83.94;259.71;14:47:49;17.55;93;0:02:30;0.28;276;106.27;1239;477.07;856;329.6;367;141.31;0:49:13;5.54
Objeto 45;90.4;79.37;113.89;7:48:01;14.6;76;0:00:00;0.0;147;129.07;552;484.67;323;283.6;58;50.93;1:16:42;16.39
Objeto 46;73.48;58.3;126.03;10:26:50;12.06;87;0:00:13;0.03;69;54.75;511;405.46;259;205.5;84;66.65;1:24:39;13.5
Objeto 47;278.16;132.04;210.66;12:09:24;17.33;89;0:00:19;0.04;533;253.01;1259;597.64;743;352.7;451;214.09;0:43:45;6.0
Objeto 48;196.45;82.19;239.02;13:56:24;17.15;93;0:00:42;0.08;382;159.82;1012;423.4;553;231.36;182;76.14;0:19:48;2.37
Objeto 49;0.9;7.71;11.67;4:50:54;2.41;50;0:00:00;0.0;0;0.0;9;77.12;46;394.17;0;0.0;3:44:02;77.01
Objeto 50;285.47;93.94;303.9;17:24:38;17.46;102;0:04:32;0.43;530;174.4;1403;461.66;950;312.6;345;113.52;1:03:26;6.07
Objeto 51;302.52;146.23;206.87;12:02:10;17.19;87;0:00:15;0.03;585;282.78;1428;690.28;779;376.56;425;205.44;0:31:04;4.3
Objeto 52;114.0;84.42;135.04;0:00:00;0.0;91;0:00:48;0.0;194;143.66;678;502.07;530;392.47;74;54.8;0:00:00;0.0
Objeto 53;122.31;125.19;97.7;7:13:01;13.54;84;0:00:15;0.06;249;254.87;538;550.69;355;363.38;185;189.36;0:54:48;12.66
Objeto 54;274.38;126.63;216.68;15:36:48;13.88;83;0:00:13;0.02;452;208.6;1418;654.41;823;379.82;420;193.83;2:16:43;14.59
Objeto 55;33.7;16.89;199.57;13:49:50;14.43;75;0:00:00;0.0;3;1.5;330;165.36;932;467.01;1;0.5;0:24:19;2.93
Objeto 56;214.64;104.56;205.28;16:14:35;12.64;84;0:00:17;0.03;319;155.4;1368;666.4;699;340.51;138;67.22;1:37:09;9.97
Objeto 57;84.16;28.96;290.61;17:40:53;16.44;96;0:03:11;0.3;88;30.28;639;219.89;1401;482.1;0;0.0;0:37:39;3.55
Objeto 58;28.91;16.62;173.98;12:42:17;13.69;81;0:00:01;0.0;16;9.2;256;147.15;656;377.06;1;0.57;0:07:36;1.0
Objeto 59;195.66;77.93;251.07;14:46:51;16.99;101;0:04:26;0.5;327;130.24;1118;445.29;831;330.98;141;56.16;1:25:09;9.6
Objeto 60;139.89;68.36;204.63;14:49:40;13.8;94;0:00:28;0.05;227;110.93;894;436.89;557;272.2;47;22.97;0:59:19;6.67
Objeto 61;136.57;57.52;237.42;12:38:54;18.77;87;0:00:53;0.12;229;96.45;797;335.69;385;162.16;103;43.38;0:07:26;0.98
Objeto 62;226.93;130.89;173.37;11:51:49;14.61;105;0:01:43;0.24;327;188.62;1133;653.52;762;439.53;468;269.95;1:47:59;15.17
Objeto 63;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 64;428.14;172.14;248.71;16:26:44;15.12;91;0:00:17;0.03;802;322.46;1755;705.63;1113;447.5;920;369.9;2:25:14;14.72
Objeto 65;95.1;57.75;164.69;12:20:21;13.35;74;0:00:00;0.0;119;72.26;605;367.37;290;176.09;108;65.58;1:03:01;8.51
Objeto 66;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 67;96.4;43.1;223.68;13:58:43;16.0;80;0:00:00;0.0;142;63.48;513;229.34;307;137.25;167;74.66;1:05:29;7.81
Objeto 68;286.0;106.97;267.36;18:33:08;14.41;89;0:00:50;0.07;436;163.08;1493;558.42;1025;383.38;488;182.53;2:31:59;13.65
Objeto 69;17.76;15.91;111.62;9:43:07;11.48;102;0:01:13;0.21;2;1.79;163;146.03;511;457.81;0;0.0;1:59:33;20.5
Objeto 70;151.42;72.07;210.1;5:30:19;38.16;99;0:01:17;0.39;223;106.14;844;401.72;513;244.17;194;92.34;0:00:00;0.0
Objeto 71;133.15;66.72;199.57;13:01:52;15.32;88;0:00:47;0.1;242;121.26;774;387.83;533;267.07;67;33.57;1:39:41;12.75
Objeto 72;37.01;17.62;210.03;14:07:48;14.86;110;0:00:13;0.03;18;8.57;328;156.17;951;452.78;3;1.43;0:37:16;4.4
Objeto 73;98.5;114.64;85.92;9:24:13;9.14;71;0:00:00;0.0;148;172.25;562;654.07;238;276.99;127;147.81;2:40:00;28.36
Objeto 74;52.08;51.62;100.89;0:16:01;377.93;81;0:00:01;0.1;89;88.22;339;336.03;174;172.47;2;1.98;0:00:00;0.0
Objeto 75;71.26;22.12;322.19;6:40:12;48.3;97;0:45:54;11.47;1;0.31;63;19.55;198;61.45;0;0.0;0:00:00;0.0
Objeto 76;148.6;81.23;182.93;14:58:49;12.21;80;0:00:00;0.0;202;110.42;1058;578.35;528;288.63;24;13.12;3:17:19;21.95
