Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;281.4;153.88;182.86;7:38:34;23.93;80;0:00:00;0.0;449;245.54;1088;594.98;839;458.81;828;452.8;0:06:38;1.45
Objeto 2;349.95;125.43;279.0;10:40:23;26.14;98;0:04:07;0.64;690;247.31;1534;549.82;1129;404.66;490;175.63;0:00:12;0.03
Objeto 3;80.8;0.0;0.0;7:15:15;0.0;0;0:00:00;0.0;31;0.0;242;0.0;130;0.0;504;0.0;6:29:18;89.44
Objeto 4;115.5;97.3;118.71;7:40:55;15.45;72;0:00:00;0.0;175;147.42;707;595.56;345;290.62;98;82.55;0:07:39;1.66
Objeto 5;359.36;146.51;245.27;9:21:08;26.23;101;0:00:59;0.18;705;287.43;1496;609.93;1018;415.05;669;272.76;0:00:00;0.0
Objeto 6;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 7;650.79;339.89;191.47;10:19:56;18.53;94;0:00:39;0.1;1329;694.1;2235;1167.28;2259;1179.81;1609;840.34;0:33:16;5.37
Objeto 8;368.47;234.57;157.08;2:31:50;62.07;86;0:00:25;0.27;296;188.44;1091;694.54;895;569.77;216;137.51;0:07:24;4.87
Objeto 9;50.7;77.45;65.46;4:57:34;13.2;54;0:00:00;0.0;34;51.94;413;630.91;172;262.75;26;39.72;0:31:29;10.58
Objeto 10;75.32;23.5;320.51;18:04:44;17.73;89;0:00:23;0.04;63;19.66;624;194.69;1470;458.64;0;0.0;0:58:59;5.44
Objeto 11;47.76;23.27;205.2;12:19:37;16.65;89;0:00:33;0.07;23;11.21;426;207.6;977;476.11;1;0.49;0:18:44;2.53
Objeto 12;5.9;212.84;2.77;0:26:12;6.35;36;0:00:00;0.0;9;324.68;31;1118.33;18;649.35;10;360.75;0:07:00;26.72
Objeto 13;50.29;24.09;208.71;11:06:59;18.78;106;0:02:30;0.37;37;17.73;408;195.48;985;471.94;0;0.0;0:00:00;0.0
Objeto 14;37.52;;;10:51:27;;100;0:02:05;0.32;25;;304;;792;;0;;0:23:49;3.66
Objeto 15;46.04;22.23;207.08;12:11:10;16.99;104;0:03:21;0.46;32;15.45;367;177.23;903;436.07;0;0.0;0:07:56;1.09
Objeto 16;0.4;48.43;0.83;0:06:26;7.7;43;0:00:00;0.0;0;0.0;3;363.2;0;0.0;1;121.07;0:00:00;0.0
Objeto 17;263.6;213.92;123.22;5:17:09;23.31;87;0:00:21;0.11;332;269.43;1651;1339.86;610;495.04;316;256.45;0:00:00;0.0
Objeto 18;279.4;136.44;204.79;11:56:28;17.15;86;0:00:37;0.09;638;311.54;1391;679.25;1222;596.72;121;59.09;0:20:13;2.82
Objeto 19;221.5;106.34;208.29;11:10:21;18.64;78;0:00:00;0.0;399;191.56;1145;549.71;494;237.17;272;130.59;0:20:33;3.07
Objeto 20;626.7;207.67;301.78;10:16:11;29.39;98;0:02:24;0.39;1413;468.22;2600;861.56;2132;706.48;803;266.09;0:07:02;1.14
Objeto 21;141.52;71.44;198.09;9:02:03;21.93;82;0:00:01;0.0;184;92.89;920;464.44;490;247.37;127;64.11;0:07:30;1.38
Objeto 22;223.4;113.13;197.47;12:10:30;16.22;77;0:00:00;0.0;345;174.71;1210;612.75;1098;556.03;334;169.14;0:51:15;7.02
Objeto 23;267.3;95.42;280.14;16:32:09;16.94;96;0:01:56;0.19;433;154.57;1347;480.84;1174;419.08;438;156.35;0:41:49;4.21
Objeto 24;202.97;83.43;243.27;10:01:28;24.27;87;0:01:07;0.19;354;145.51;1074;441.48;684;281.16;234;96.19;0:08:04;1.34
Objeto 25;574.98;283.63;202.72;13:43:12;14.78;82;0:00:06;0.01;1076;530.78;2297;1133.08;1351;666.43;1300;641.28;0:53:08;6.45
Objeto 26;208.54;105.24;198.16;8:14:18;24.05;87;0:00:12;0.04;368;185.71;1329;670.68;984;496.58;18;9.08;0:00:00;0.0
Objeto 27;71.5;69.54;102.82;4:25:50;23.21;72;0:00:00;0.0;111;107.96;458;445.46;298;289.84;35;34.04;0:14:17;5.37
Objeto 28;8.4;9.74;86.24;6:33:53;13.14;71;0:00:00;0.0;2;2.32;80;92.77;364;422.1;0;0.0;0:00:00;0.0
Objeto 29;56.21;18.42;305.16;17:32:12;17.4;86;0:00:22;0.03;39;12.78;479;156.97;1223;400.77;2;0.66;0:27:36;2.62
Objeto 30;350.58;167.55;209.24;13:55:50;15.02;91;0:01:18;0.16;591;282.45;1767;844.47;1153;551.03;546;260.94;2:05:33;15.02
Objeto 31;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 32;0.5;101.01;0.5;0:16:16;1.83;14;0:00:00;0.0;0;0.0;5;1010.1;2;404.04;0;0.0;0:07:48;47.95
Objeto 33;361.17;131.38;274.91;15:11:57;18.09;93;0:02:22;0.26;712;258.99;1651;600.56;1036;376.85;514;186.97;0:25:18;2.77
Objeto 34;308.75;104.58;295.23;9:15:45;31.87;90;0:03:12;0.58;549;185.95;1465;496.22;969;328.21;472;159.87;0:00:00;0.0
Objeto 35;155.5;61.04;254.77;13:57:28;18.25;73;0:00:00;0.0;225;88.31;967;379.56;622;244.14;138;54.17;1:08:40;8.2
Objeto 36;86.5;12.42;696.66;8:41:45;80.11;77;0:00:00;0.0;117;16.79;591;84.83;300;43.06;40;5.74;0:30:29;5.84
Objeto 37;126.3;89.14;141.68;8:15:10;17.17;77;0:00:00;0.0;170;119.99;775;546.99;363;256.2;148;104.46;0:00:00;0.0
Objeto 38;0.0;0.0;0.0;0:00:06;0.0;1;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 39;245.72;76.52;321.14;17:33:26;18.29;99;0:02:54;0.28;505;157.25;1303;405.75;824;256.59;120;37.37;1:18:55;7.49
Objeto 40;261.2;0.0;0.0;10:56:09;0.0;0;0:00:00;0.0;447;0.0;1159;0.0;605;0.0;559;0.0;10:16:15;93.92
Objeto 41;141.7;67.17;210.94;12:08:59;17.36;80;0:00:00;0.0;200;94.81;921;436.61;485;229.92;96;45.51;0:38:22;5.26
Objeto 42;281.24;123.73;227.31;14:29:00;15.69;87;0:00:40;0.08;536;235.81;1436;631.75;1210;532.32;298;131.1;0:29:59;3.45
Objeto 43;303.61;120.03;252.95;12:25:18;20.36;97;0:00:42;0.09;592;234.04;1407;556.24;875;345.92;433;171.18;0:00:00;0.0
Objeto 44;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 45;26.92;12.96;207.74;11:32:57;17.99;82;0:00:01;0.0;2;0.96;263;126.6;815;392.32;2;0.96;0:12:18;1.78
Objeto 46;171.71;85.34;201.21;12:08:41;16.57;89;0:00:48;0.11;289;143.63;973;483.58;611;303.66;159;79.02;0:35:54;4.93
Objeto 47;118.69;108.17;109.73;2:17:19;47.95;85;0:00:21;0.25;252;229.66;607;553.19;312;284.34;75;68.35;0:06:55;5.04
Objeto 48;101.5;53.16;190.95;0:00:00;0.0;92;0:00:55;0.0;142;74.37;687;359.79;449;235.15;44;23.04;0:00:00;0.0
Objeto 49;92.4;0.0;0.0;5:01:02;0.0;0;0:00:00;0.0;173;0.0;481;0.0;325;0.0;97;0.0;4:37:41;92.24
Objeto 50;7.0;73.53;9.52;3:03:39;3.11;57;0:00:00;0.0;11;115.55;48;504.2;29;304.62;0;0.0;1:52:23;61.19
Objeto 51;23.27;23.93;97.25;5:52:24;16.56;98;0:01:09;0.33;12;12.34;199;204.62;469;482.25;0;0.0;0:00:00;0.0
Objeto 52;130.57;62.82;207.85;14:56:08;13.92;82;0:00:05;0.01;131;63.03;906;435.89;422;203.03;137;65.91;1:21:54;9.14
Objeto 53;99.03;30.02;329.83;17:40:10;18.67;92;0:00:58;0.09;129;39.11;723;219.2;1469;445.38;1;0.3;0:49:38;4.68
Objeto 54;28.23;16.86;167.47;11:40:31;14.34;88;0:00:02;0.0;21;12.54;235;140.32;630;376.19;5;2.99;0:10:47;1.54
Objeto 55;221.34;82.88;267.07;14:39:32;18.22;113;0:08:54;1.01;399;149.4;1073;401.77;959;359.09;258;96.61;1:21:00;9.21
Objeto 56;3.9;299.08;1.3;0:16:46;4.67;36;0:00:00;0.0;7;536.81;25;1917.18;7;536.81;0;0.0;0:06:08;36.58
Objeto 57;242.44;112.75;215.04;13:21:01;16.11;96;0:00:32;0.07;339;157.65;1304;606.41;842;391.56;438;203.69;0:17:56;2.24
Objeto 58;82.16;47.88;171.58;9:04:26;18.91;86;0:00:10;0.03;127;74.02;530;308.89;232;135.21;36;20.98;0:13:16;2.44
Objeto 59;33.21;15.64;212.39;12:02:27;17.64;82;0:00:01;0.0;3;1.41;326;153.49;960;452.0;0;0.0;0:22:06;3.06
Objeto 60;382.2;196.9;194.11;11:46:55;16.48;78;0:00:00;0.0;714;367.83;1471;757.81;922;474.99;923;475.5;0:58:32;8.28
Objeto 61;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 62;97.17;52.07;186.62;13:47:46;13.53;109;0:01:22;0.17;151;80.91;632;338.66;295;158.08;23;12.32;2:03:45;14.95
Objeto 63;124.53;64.66;192.59;11:57:55;16.1;82;0:00:02;0.0;211;109.56;759;394.09;553;287.13;64;33.23;0:46:51;6.53
Objeto 64;232.9;110.1;211.54;17:24:23;12.15;76;0:00:00;0.0;387;182.94;1459;689.71;1040;491.64;96;45.38;4:26:11;25.49
Objeto 65;4.6;5.47;83.96;4:24:27;19.05;87;0:00:43;0.27;1;1.19;38;45.26;183;217.96;0;0.0;0:09:03;3.42
Objeto 66;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 67;30.4;15.41;197.26;11:33:14;17.07;90;0:00:00;0.0;7;3.55;284;143.97;828;419.75;6;3.04;0:00:00;0.0
Objeto 68;111.9;93.27;119.98;8:22:04;14.34;70;0:00:00;0.0;185;154.2;650;541.77;304;253.38;99;82.52;0:22:38;4.51
Objeto 69;159.7;92.34;172.95;0:06:28;1604.7;84;0:00:09;2.32;116;67.07;472;272.91;281;162.47;18;10.41;0:00:00;0.0
