Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;375.51;181.7;206.67;12:20:37;16.74;88;0:00:27;0.06;794;384.19;1717;830.79;1450;701.6;446;215.8;0:35:03;4.73
Objeto 2;363.42;116.68;311.47;9:35:06;32.5;105;0:03:07;0.54;664;213.18;1607;515.94;1216;390.4;338;108.52;0:00:00;0.0
Objeto 3;25.1;0.0;0.0;6:03:54;0.0;0;0:00:00;0.0;9;0.0;97;0.0;48;0.0;136;0.0;3:36:21;59.45
Objeto 4;44.9;149.92;29.95;2:10:58;13.72;62;0:00:00;0.0;71;237.07;257;858.13;110;367.29;50;166.95;0:00:00;0.0
Objeto 5;499.69;156.06;320.19;11:06:32;28.82;90;0:01:01;0.15;965;301.39;2136;667.11;1272;397.27;917;286.4;0:00:00;0.0
Objeto 6;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 7;326.8;345.08;94.7;6:03:55;15.61;76;0:00:00;0.0;641;676.86;1130;1193.22;1027;1084.45;856;903.89;0:36:23;10.0
Objeto 8;203.22;119.85;169.56;3:44:38;45.29;81;0:00:07;0.05;262;154.52;1230;725.41;839;494.81;276;162.78;0:12:02;5.36
Objeto 9;200.7;101.1;198.52;12:54:58;15.37;71;0:00:00;0.0;241;121.4;1337;673.48;855;430.68;188;94.7;1:32:42;11.96
Objeto 10;25.44;22.09;115.17;7:05:30;16.24;87;0:00:10;0.04;13;11.29;227;197.1;529;459.32;0;0.0;0:00:00;0.0
Objeto 11;43.43;20.59;210.93;14:02:47;15.02;87;0:00:23;0.05;21;9.96;389;184.42;988;468.4;0;0.0;0:13:11;1.56
Objeto 12;1.0;318.47;0.31;0:08:45;2.15;11;0:00:00;0.0;0;0.0;9;2866.24;2;636.94;1;318.47;0:00:00;0.0
Objeto 13;119.41;33.0;361.82;18:31:06;19.54;105;0:06:28;0.58;133;36.76;870;240.45;1697;469.02;3;0.83;0:28:52;2.6
Objeto 14;44.34;23.97;184.94;10:31:52;17.56;101;0:02:34;0.41;33;17.84;356;192.5;772;417.44;0;0.0;0:21:23;3.38
Objeto 15;233.8;133.66;174.92;9:58:41;17.53;79;0:00:00;0.0;388;221.82;1040;594.56;646;369.31;522;298.42;0:34:21;5.74
Objeto 16;113.4;208.52;54.38;3:39:10;14.89;79;0:00:00;0.0;179;329.14;645;1186.01;276;507.5;131;240.88;0:25:13;11.51
Objeto 17;293.39;145.89;201.1;12:04:04;16.66;89;0:00:28;0.06;693;344.6;1429;710.59;1289;640.97;115;57.19;0:45:35;6.3
Objeto 18;315.7;145.48;217.01;10:59:02;19.76;80;0:00:00;0.0;652;300.45;1607;740.52;855;393.99;246;113.36;0:41:49;6.35
Objeto 19;512.9;172.65;297.08;10:15:25;28.96;91;0:01:24;0.23;1161;390.81;2248;756.71;1933;650.68;536;180.43;0:00:00;0.0
