Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;255.81;122.14;209.43;12:00:15;17.45;83;0:00:13;0.03;437;208.66;1236;590.16;873;416.84;446;212.96;0:06:07;0.85
Objeto 2;376.8;136.54;275.96;11:15:48;24.5;114;0:02:36;0.38;748;271.05;1600;579.79;1218;441.36;619;224.3;0:30:44;4.55
Objeto 3;386.22;;;9:31:56;;89;0:00:23;0.07;693;;1430;;925;;1043;;1:21:54;14.32
Objeto 4;197.55;97.91;201.77;13:50:14;14.58;134;0:00:15;0.03;375;185.85;1126;558.05;725;359.31;96;47.58;1:23:20;10.04
Objeto 5;185.2;97.22;190.5;10:15:26;18.57;76;0:00:00;0.0;312;163.78;1042;546.97;591;310.23;186;97.64;0:15:23;2.5
Objeto 6;403.38;149.21;270.35;12:24:05;21.8;87;0:00:30;0.07;785;290.37;1739;643.25;1053;389.5;717;265.22;0:00:00;0.0
Objeto 7;127.8;61.51;207.79;1:16:09;163.72;74;0:00:00;0.0;186;89.52;792;381.16;421;202.61;114;54.86;0:29:29;38.72
Objeto 8;2.0;1694.92;0.12;0:03:48;1.86;0;0:00:00;0.0;2;1694.92;16;13559.32;7;5932.2;0;0.0;0:00:00;0.0
Objeto 9;231.11;120.13;192.38;2:32:09;75.87;82;0:00:08;0.09;360;187.13;1362;707.96;945;491.21;226;117.47;0:00:00;0.0
Objeto 10;374.2;181.38;206.31;12:11:56;16.91;73;0:00:00;0.0;577;279.68;1929;935.01;988;478.89;659;319.42;0:51:32;7.04
Objeto 11;69.55;22.82;304.83;17:02:32;17.89;97;0:00:17;0.03;51;16.73;591;193.88;1337;438.6;0;0.0;0:28:31;2.79
Objeto 12;2.5;5.74;43.54;1:53:53;22.94;69;0:00:00;0.0;0;0.0;25;57.42;95;218.21;0;0.0;0:00:00;0.0
Objeto 13;612.52;293.37;208.79;14:09:58;14.74;87;0:00:23;0.05;1160;555.59;2353;1126.99;1715;821.42;1449;694.01;0:36:20;4.27
