Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;276.86;144.68;191.37;9:18:35;20.56;94.0;0:00:24;0.07;487.0;254.49;1124.0;587.36;758.0;396.1;667.0;348.55;0:14:09;2.53
Objeto 2;255.83;133.97;190.96;6:49:20;27.99;111.0;0:02:10;0.53;420.0;219.94;1022.0;535.19;606.0;317.35;659.0;345.1;0:14:21;3.51
Objeto 3;557.37;;;12:09:00;;92.0;0:00:46;0.11;1109.0;;1795.0;;1375.0;;1554.0;;0:53:33;7.35
Objeto 4;185.63;93.26;199.05;11:15:37;17.68;96.0;0:00:45;0.11;349.0;175.34;1062.0;533.55;702.0;352.68;90.0;45.22;0:25:19;3.75
Objeto 5;160.1;88.8;180.29;8:54:43;20.23;72.0;0:00:00;0.0;272.0;150.87;890.0;493.64;476.0;264.02;167.0;92.63;0:10:17;1.92
Objeto 6;330.81;193.14;171.28;6:53:55;24.83;97.0;0:01:36;0.39;685.0;399.94;1145.0;668.52;843.0;492.19;776.0;453.07;0:11:01;2.66
Objeto 7;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 8;574.83;304.49;188.78;4:10:49;45.16;85.0;0:00:02;0.01;1322.0;700.27;1570.0;831.64;2172.0;1150.52;1534.0;812.57;0:00:00;0.0
Objeto 9;220.7;100.35;219.93;3:51:52;56.91;85.0;0:00:24;0.17;356.0;161.87;1311.0;596.1;1136.0;516.53;175.0;79.57;0:00:00;0.0
Objeto 10;222.1;182.33;121.81;6:21:32;19.16;67.0;0:00:00;0.0;343.0;281.58;1164.0;955.57;540.0;443.31;371.0;304.57;0:22:38;5.93
Objeto 11;49.31;25.71;191.84;9:44:15;19.7;90.0;0:00:30;0.09;25.0;13.03;438.0;228.31;904.0;471.22;1.0;0.52;0:06:30;1.11
Objeto 12;0.0;0.0;0.06;0:09:38;0.34;6.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 13;519.2;272.51;190.53;11:31:25;16.53;80.0;0:00:00;0.0;980.0;514.36;2006.0;1052.86;1393.0;731.13;1226.0;643.47;0:42:14;6.11
Objeto 14;58.13;26.66;218.02;11:27:48;19.02;95.0;0:01:14;0.18;61.0;27.98;446.0;204.57;931.0;427.02;3.0;1.38;0:33:01;4.8
Objeto 15;80.81;;;18:43:39;;101.0;0:03:17;0.29;89.0;;602.0;;1380.0;;0.0;;3:41:40;19.73
Objeto 16;1.2;35.19;3.41;0:18:51;10.85;50.0;0:00:00;0.0;0.0;0.0;5.0;146.63;1.0;29.33;7.0;205.28;0:00:00;0.0
Objeto 17;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 18;240.07;117.29;204.68;10:13:47;20.01;96.0;0:01:35;0.26;502.0;245.26;1130.0;552.09;882.0;430.92;253.0;123.61;0:40:39;6.62
Objeto 19;400.98;181.19;221.31;10:26:15;21.2;84.0;0:00:05;0.01;920.0;415.71;1767.0;798.43;1325.0;598.71;402.0;181.65;0:33:28;5.34
Objeto 20;192.39;90.46;212.68;8:43:12;24.39;83.0;0:00:05;0.02;322.0;151.4;1167.0;548.71;945.0;444.33;112.0;52.66;0:17:12;3.29
Objeto 21;167.9;81.65;205.64;10:41:06;19.25;75.0;0:00:00;0.0;231.0;112.33;1094.0;531.99;892.0;433.76;123.0;59.81;0:22:01;3.43
Objeto 22;53.44;83.33;64.13;2:56:26;21.81;111.0;0:11:14;6.37;73.0;113.84;209.0;325.93;182.0;283.82;55.0;85.77;0:00:00;0.0
Objeto 23;206.3;85.21;242.09;8:58:15;26.99;99.0;0:04:08;0.77;398.0;164.4;1062.0;438.67;714.0;294.93;158.0;65.26;0:13:15;2.46
Objeto 24;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 25;302.79;174.4;173.62;9:24:42;18.45;84.0;0:00:12;0.04;730.0;420.47;1445.0;832.29;1677.0;965.92;121.0;69.69;0:26:23;4.67
Objeto 26;0.1;133.33;0.08;0:57:37;0.08;0.0;0:00:00;0.0;0.0;0.0;1.0;1333.33;0.0;0.0;0.0;0.0;0:55:47;96.82
Objeto 27;19.8;13.45;147.23;8:26:59;17.42;80.0;0:00:00;0.0;0.0;0.0;198.0;134.49;607.0;412.29;0.0;0.0;0:06:22;1.26
Objeto 28;20.13;8.37;240.51;6:11:49;38.81;89.0;0:09:24;2.53;3.0;1.25;109.0;45.32;391.0;162.57;0.0;0.0;0:00:00;0.0
Objeto 29;63.98;26.07;245.47;11:08:16;22.04;96.0;0:02:01;0.3;62.0;25.26;498.0;202.87;1064.0;433.45;0.0;0.0;0:00:00;0.0
Objeto 30;0.0;0.0;0.1;4:22:45;0.02;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4:22:34;99.93
Objeto 31;118.73;46.65;254.54;6:29:28;39.21;92.0;0:05:59;1.54;94.0;36.93;824.0;323.73;247.0;97.04;119.0;46.75;0:34:08;8.76
Objeto 32;39.09;17.04;229.43;12:19:33;18.61;86.0;0:00:14;0.03;21.0;9.15;346.0;150.81;1056.0;460.27;1.0;0.44;0:06:44;0.91
Objeto 33;9.7;149.44;6.49;0:25:09;15.49;45.0;0:00:00;0.0;14.0;215.68;68.0;1047.6;39.0;600.83;1.0;15.41;0:00:00;0.0
Objeto 34;152.32;68.91;221.05;12:08:11;18.21;86.0;0:00:22;0.05;268.0;121.24;927.0;419.37;645.0;291.79;57.0;25.79;0:44:27;6.1
Objeto 35;83.49;23.75;351.5;16:35:45;21.18;96.0;0:05:08;0.52;46.0;13.09;697.0;198.29;1532.0;435.85;0.0;0.0;0:12:55;1.3
Objeto 36;105.3;14.51;725.62;8:02:04;90.31;72.0;0:00:00;0.0;125.0;17.23;747.0;102.95;410.0;56.5;56.0;7.72;0:25:04;5.2
Objeto 37;202.3;94.49;214.1;8:56:17;23.95;80.0;0:00:00;0.0;340.0;158.81;1138.0;531.53;678.0;316.68;205.0;95.75;0:19:42;3.67
Objeto 38;48.5;13.34;363.45;17:41:56;20.54;73.0;0:00:00;0.0;7.0;1.93;470.0;129.32;1262.0;347.23;1.0;0.28;0:00:00;0.0
Objeto 39;1.0;40.23;2.49;0:15:53;9.39;37.0;0:00:00;0.0;0.0;0.0;10.0;402.25;3.0;120.68;0.0;0.0;0:00:00;0.0
Objeto 40;241.8;620000.0;0.04;7:46:54;0.01;0.0;0:00:00;0.0;404.0;1035897.44;878.0;2251282.05;478.0;1225641.03;732.0;1876923.08;5:15:25;67.56
Objeto 41;263.63;99.23;265.69;13:04:30;20.32;87.0;0:00:44;0.09;471.0;177.27;1352.0;508.86;923.0;347.4;336.0;126.46;0:16:42;2.13
Objeto 42;;;4.82;;;;;;;;;;;;;;;
Objeto 43;49.14;87.13;56.4;2:35:42;21.73;82.0;0:00:02;0.02;73.0;129.44;328.0;581.61;168.0;297.9;17.0;30.14;0:13:13;8.49
Objeto 44;107.68;100.89;106.73;6:16:03;17.03;84.0;0:00:06;0.03;164.0;153.65;705.0;660.53;667.0;624.92;43.0;40.29;0:10:55;2.9
Objeto 45;204.95;122.81;166.89;7:54:34;21.1;91.0;0:00:43;0.15;399.0;239.08;893.0;535.09;568.0;340.35;348.0;208.52;0:00:00;0.0
Objeto 46;208.78;81.81;255.2;12:20:15;20.69;87.0;0:00:16;0.04;411.0;161.05;1103.0;432.21;623.0;244.12;160.0;62.7;0:31:28;4.25
Objeto 47;174.95;90.95;192.36;10:05:00;19.08;85.0;0:00:11;0.03;304.0;158.03;949.0;493.34;572.0;297.35;191.0;99.29;0:41:43;6.9
Objeto 48;424.97;137.0;310.21;15:20:18;20.22;89.0;0:00:58;0.11;771.0;248.54;1999.0;644.41;1014.0;326.88;700.0;225.66;0:24:39;2.68
Objeto 49;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 50;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 51;32.2;16.35;196.92;10:23:28;18.95;75.0;0:00:00;0.0;6.0;3.05;309.0;156.92;850.0;431.65;1.0;0.51;0:17:45;2.85
Objeto 52;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 53;106.25;28.25;376.15;17:34:26;21.4;95.0;0:02:11;0.21;129.0;34.3;786.0;208.96;1668.0;443.44;0.0;0.0;0:15:02;1.43
Objeto 54;31.84;15.2;209.56;11:55:13;17.58;138.0;0:00:28;0.07;19.0;9.07;269.0;128.37;688.0;328.31;7.0;3.34;0:23:43;3.32
Objeto 55;156.86;64.14;244.56;12:32:39;19.5;85.0;0:00:40;0.09;184.0;75.24;1129.0;461.65;708.0;289.5;66.0;26.99;1:19:07;10.51
Objeto 56;106.43;47.87;222.34;7:23:33;30.08;82.0;0:00:07;0.03;189.0;85.01;672.0;302.25;464.0;208.69;13.0;5.85;0:22:43;5.12
Objeto 57;155.3;80.68;192.48;10:48:29;17.81;92.0;0:00:07;0.02;247.0;128.32;909.0;472.25;530.0;275.35;149.0;77.41;1:00:42;9.36
Objeto 58;0.0;0.0;0.0;0:00:00;0.0;10.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 59;369.1;187.47;196.88;11:19:46;17.38;81.0;0:00:00;0.0;584.0;296.62;1519.0;771.52;836.0;424.62;1004.0;509.95;1:02:45;9.23
Objeto 60;109.7;52.76;207.92;11:02:58;18.82;80.0;0:00:00;0.0;145.0;69.74;703.0;338.11;375.0;180.36;104.0;50.02;0:42:08;6.36
Objeto 61;92.43;51.83;178.33;11:16:13;15.82;92.0;0:00:53;0.13;138.0;77.39;603.0;338.14;290.0;162.62;38.0;21.31;2:09:10;19.1
Objeto 62;167.28;52.11;321.02;18:06:42;17.72;85.0;0:00:13;0.02;278.0;86.6;1071.0;333.63;669.0;208.4;44.0;13.71;2:01:01;11.14
Objeto 63;230.86;89.28;258.58;14:35:46;17.72;98.0;0:02:40;0.3;390.0;150.82;1265.0;489.21;938.0;362.75;240.0;92.81;2:06:28;14.44
Objeto 64;43.72;17.06;256.28;14:24:43;17.78;92.0;0:00:50;0.1;21.0;8.19;388.0;151.4;979.0;382.0;0.0;0.0;0:58:21;6.75
Objeto 65;0.0;0.0;0.04;0:00:01;147.6;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 66;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 67;52.74;19.8;266.38;14:30:57;18.35;93.0;0:00:10;0.02;48.0;18.02;420.0;157.67;1062.0;398.68;10.0;3.75;0:57:43;6.63
Objeto 68;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 69;164.3;64.15;256.13;1:13:02;210.42;93.0;0:00:53;1.21;311.0;121.42;839.0;327.57;479.0;187.01;59.0;23.04;0:00:00;0.0
Objeto 70;111.91;32.7;342.22;6:12:20;55.15;111.0;1:18:48;21.16;2.0;0.58;112.0;32.73;356.0;104.03;0.0;0.0;0:00:00;0.0
Objeto 71;0.6;0.0;0.0;0:03:44;0.0;0.0;0:00:00;0.0;1.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 72;2.0;138.12;1.45;0:08:23;10.36;44.0;0:00:00;0.0;2.0;138.12;15.0;1035.91;9.0;621.55;1.0;69.06;0:00:00;0.0
Objeto 73;0.7;5384.62;0.01;0:01:43;0.45;0.0;0:00:00;0.0;0.0;0.0;4.0;30769.23;1.0;7692.31;3.0;23076.92;0:00:00;0.0
Objeto 74;98.4;48.3;203.73;11:53:36;17.13;79.0;0:00:00;0.0;147.0;72.15;676.0;331.81;407.0;199.77;14.0;6.87;0:32:51;4.6
Objeto 75;57.46;20.03;286.9;15:15:53;18.79;83.0;0:00:04;0.01;23.0;8.02;528.0;184.04;1209.0;421.41;0.0;0.0;0:27:34;3.01
Objeto 76;0.0;0.0;0.0;0:12:45;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:12:45;100.0
Objeto 77;15.5;7.0;221.34;12:13:12;18.11;66.0;0:00:00;0.0;1.0;0.45;153.0;69.13;552.0;249.39;0.0;0.0;0:06:05;0.83
Objeto 78;0.0;0.0;0.2;0:10:17;1.18;8.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 79;596.21;157.77;377.91;2:28:06;153.1;91.0;0:19:17;13.02;1298.0;343.47;1072.0;283.67;2229.0;589.83;636.0;168.3;0:00:00;0.0
Objeto 80;185.14;99.1;186.82;9:54:38;18.85;96.0;0:03:06;0.52;441.0;236.06;884.0;473.19;810.0;433.58;58.0;31.05;1:10:24;11.84
Total;10484.01;82.19;12755.96;598:12:13;21.32;138.0;2:45:02;0.46;18255.0;143.11;51024.0;400.0;48891.0;383.28;13868.0;108.72;41:35:46;6.95
