Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;16.6;127.56;13.01;1:12:54;10.71;55;0:00:00;0.0;25;192.12;106;814.57;56;430.34;10;76.85;0:11:21;15.57
Objeto 2;450.7;140.95;319.77;14:34:53;21.93;100;0:03:48;0.43;908;283.96;1936;605.44;1425;445.64;717;224.23;0:11:06;1.27
Objeto 3;409.93;;;8:04:55;;89;0:00:53;0.18;809;;1342;;1016;;1132;;0:45:58;9.48
Objeto 4;191.0;260.16;73.42;13:06:42;5.6;79;0:00:00;0.0;351;478.1;1104;1503.76;690;939.85;104;141.66;7:36:42;58.05
Objeto 5;165.2;87.11;189.65;9:48:36;19.33;70;0:00:00;0.0;243;128.13;1017;536.26;525;276.83;149;78.57;0:14:05;2.39
Objeto 6;228.61;120.15;190.27;7:39:18;24.86;90;0:00:33;0.12;432;227.04;1080;567.61;610;320.59;335;176.06;0:08:59;1.96
Objeto 7;136.75;62.84;217.62;2:26:31;89.12;89;0:00:19;0.22;189;86.85;841;386.45;501;230.22;144;66.17;0:06:24;4.37
Objeto 8;554.71;311.52;178.07;8:00:03;22.26;97;0:00:31;0.11;1147;644.15;1966;1104.09;1923;1079.94;1282;719.96;0:07:30;1.56
Objeto 9;3.1;3009.71;0.1;0:07:13;0.86;0;0:00:00;0.0;7;6796.12;16;15533.98;70;67961.17;1;970.87;0:00:00;0.0
Objeto 10;117.6;94.65;124.25;7:08:13;17.41;78;0:00:00;0.0;200;160.97;573;461.19;393;316.31;203;163.39;0:38:53;9.08
Objeto 11;60.71;19.25;315.3;17:24:14;18.12;95;0:00:15;0.02;32;10.15;540;171.27;1326;420.55;1;0.32;0:22:53;2.19
Objeto 12;47.53;23.66;200.85;12:18:27;16.32;86;0:00:09;0.02;24;11.95;426;212.09;1005;500.36;0;0.0;0:00:00;0.0
Objeto 13;514.1;304.51;168.83;11:41:02;14.45;84;0:00:29;0.07;1039;615.4;1820;1077.99;1520;900.3;1239;733.87;0:49:14;7.02
Objeto 14;253.45;35.74;709.17;13:47:05;51.45;103;4:21:23;31.6;2;0.28;115;16.22;379;53.44;0;0.0;1:31:10;11.02
Objeto 15;29.67;;;12:46:56;;96;0:01:24;0.18;33;;219;;440;;0;;7:16:33;56.92
Objeto 16;51.38;23.97;214.34;13:10:00;16.28;101;0:04:50;0.61;45;20.99;383;178.69;959;447.41;0;0.0;0:20:59;2.66
Objeto 17;272.58;136.63;199.5;10:06:22;19.74;86;0:00:19;0.05;488;244.61;1200;601.5;738;369.92;546;273.68;0:30:39;5.05
Objeto 18;692.92;298.2;232.37;11:05:42;20.94;87;0:00:26;0.07;1169;503.08;3600;1549.27;1534;660.16;987;424.76;0:00:00;0.0
Objeto 19;312.74;132.2;236.57;12:55:03;18.31;96;0:03:03;0.39;709;299.7;1524;644.2;1410;596.01;160;67.63;0:23:02;2.97
Objeto 20;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 21;641.54;214.73;298.77;10:03:02;29.73;100;0:01:30;0.25;1431;478.97;2610;873.59;2091;699.88;923;308.94;0:00:00;0.0
Objeto 22;9.0;137.95;6.52;0:50:15;7.79;45;0:00:00;0.0;13;199.26;63;965.67;45;689.76;1;15.33;0:00:00;0.0
Objeto 23;182.8;93.42;195.68;11:39:41;16.78;73;0:00:00;0.0;239;122.14;1156;590.77;965;493.16;194;99.14;0:30:51;4.41
