Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;21.7;113.68;19.09;1:54:24;10.01;70;0:00:00;0.0;34;178.12;134;702.01;82;429.59;15;78.58;0:13:35;11.87
Objeto 2;285.97;131.99;216.67;12:07:09;17.88;98;0:03:09;0.43;583;269.08;1292;596.31;949;438.0;373;172.15;0:16:47;2.31
Objeto 3;135.8;0.0;0.0;8:54:12;0.0;0;0:00:00;0.0;85;0.0;400;0.0;242;0.0;788;0.0;7:25:38;83.42
Objeto 4;99.6;101.46;98.17;5:44:59;17.07;75;0:00:00;0.0;166;169.1;559;569.43;293;298.47;105;106.96;0:23:17;6.75
Objeto 5;236.39;129.38;182.71;7:55:46;23.04;94;0:00:55;0.19;451;246.85;1126;616.29;618;338.25;324;177.34;0:00:00;0.0
Objeto 6;151.69;67.69;224.09;1:51:03;121.07;86;0:00:07;0.11;214;95.5;957;427.07;530;236.52;127;56.67;0:06:41;6.02
Objeto 7;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 8;197.14;127.38;154.77;3:35:51;43.02;83;0:00:09;0.07;311;200.95;1079;697.19;804;519.5;212;136.98;0:00:00;0.0
Objeto 9;84.3;49.07;171.81;8:42:45;19.72;79;0:00:00;0.0;108;62.86;615;357.96;445;259.01;12;6.98;0:00:00;0.0
Objeto 10;66.93;21.54;310.67;16:53:47;18.39;100;0:01:00;0.1;37;11.91;586;188.62;1397;449.67;1;0.32;1:05:44;6.48
Objeto 11;59.12;24.01;246.19;14:04:16;17.5;93;0:01:18;0.15;33;13.4;514;208.78;1206;489.87;0;0.0;0:10:52;1.29
Objeto 12;592.65;316.58;187.21;14:03:22;13.32;86;0:00:20;0.04;1141;609.49;2212;1181.59;1553;829.57;1429;763.33;1:21:41;9.69
Objeto 13;109.11;27.7;393.84;21:19:16;18.47;99;0:05:15;0.41;96;24.38;855;217.09;1711;434.44;0;0.0;0:45:27;3.55
Objeto 14;0.0;;;0:00:49;;5;0:00:00;0.0;0;;0;;0;;0;;0:00:00;0.0
Objeto 15;43.17;21.03;205.3;13:26:07;15.28;99;0:02:43;0.34;26;12.66;357;173.89;872;424.74;0;0.0;0:35:01;4.34
Objeto 16;339.54;143.12;237.24;12:28:32;19.02;90;0:00:55;0.12;629;265.13;1433;604.02;1013;426.99;694;292.53;0:22:56;3.06
Objeto 17;437.8;299.72;146.07;8:13:40;17.75;79;0:00:00;0.0;738;505.23;2372;1623.86;1051;719.51;530;362.83;0:00:00;0.0
Objeto 18;296.18;146.77;201.8;12:49:47;15.73;87;0:00:49;0.11;651;322.6;1523;754.73;1241;614.98;130;64.42;1:13:01;9.49
Objeto 19;118.51;130.15;91.06;5:23:03;16.91;81;0:00:01;0.01;244;267.96;580;636.95;255;280.04;117;128.49;0:00:00;0.0
Objeto 20;512.79;196.46;261.01;10:10:18;25.66;105;0:02:36;0.43;1147;439.45;2106;806.87;1609;616.45;695;266.27;0:00:00;0.0
Objeto 21;79.3;74.82;105.98;6:54:58;15.32;80;0:00:00;0.0;109;102.85;535;504.8;381;359.5;40;37.74;0:08:27;2.04
Objeto 22;283.14;143.29;197.6;10:41:35;18.48;96;0:00:49;0.13;573;289.98;1136;574.89;1132;572.87;541;273.78;0:12:58;2.02
Objeto 23;162.62;83.37;195.06;9:37:16;20.27;102;0:05:14;0.91;231;118.43;783;401.42;823;421.92;326;167.13;0:39:51;6.9
Objeto 24;218.59;81.16;269.32;15:14:24;17.67;94;0:01:20;0.15;342;126.99;1213;450.39;716;265.85;275;102.11;0:16:33;1.81
Objeto 25;609.72;278.76;218.72;14:40:08;14.91;89;0:00:59;0.11;910;416.05;2979;1362.0;1654;756.21;1290;589.79;1:17:03;8.75
Objeto 26;318.14;165.06;192.74;12:18:32;15.66;92;0:00:46;0.1;696;361.11;1671;866.98;1716;890.33;111;57.59;0:20:59;2.84
Objeto 27;103.0;51.73;199.13;5:31:32;36.04;76;0:00:00;0.0;132;66.29;733;368.1;418;209.92;33;16.57;0:00:00;0.0
Objeto 28;134.4;83.39;161.18;7:49:20;20.61;78;0:00:00;0.0;213;132.15;862;534.81;560;347.44;56;34.74;0:00:00;0.0
Objeto 29;30.51;16.02;190.52;12:21:10;15.42;81;0:00:01;0.0;6;3.15;293;153.79;839;440.38;0;0.0;0:07:31;1.01
Objeto 30;53.28;23.5;226.68;12:53:00;17.59;93;0:00:52;0.11;50;22.06;424;187.05;894;394.39;1;0.44;0:34:35;4.47
Objeto 31;336.31;214.57;156.74;10:16:40;15.25;101;0:02:46;0.45;584;372.59;1384;883.0;925;590.15;788;502.75;2:14:10;21.76
Objeto 32;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 33;149.02;74.76;199.34;12:15:01;16.27;83;0:00:09;0.02;258;129.43;899;450.99;508;254.84;74;37.12;0:55:39;7.57
Objeto 34;337.73;149.91;225.28;13:15:02;17.0;95;0:01:27;0.18;658;292.08;1448;642.75;888;394.17;599;265.89;1:04:00;8.05
Objeto 35;271.48;103.09;263.36;7:43:40;34.08;99;0:01:55;0.41;499;189.48;1391;528.18;831;315.54;295;112.02;0:00:00;0.0
Objeto 36;175.96;69.2;254.3;13:53:18;18.31;102;0:05:53;0.71;306;120.33;1048;412.12;791;311.06;49;19.27;1:26:56;10.43
Objeto 37;194.09;16.05;1208.93;13:52:19;87.15;89;0:00:21;0.04;356;29.45;1107;91.57;713;58.98;119;9.84;0:20:23;2.45
Objeto 38;149.41;88.56;168.71;9:24:50;17.92;81;0:00:01;0.0;237;140.48;897;531.69;477;282.74;123;72.91;0:21:12;3.75
Objeto 39;22.6;11.33;199.51;13:08:08;15.19;72;0:00:00;0.0;2;1.0;222;111.28;725;363.4;0;0.0;0:25:08;3.19
Objeto 40;241.28;69.3;348.14;18:55:42;18.39;90;0:01:16;0.11;448;128.68;1400;402.13;776;222.9;106;30.45;0:47:52;4.21
Objeto 41;242.6;140.5;172.67;11:04:40;15.59;70;0:00:00;0.0;481;278.57;1023;592.47;548;317.37;441;255.4;0:43:22;6.52
Objeto 42;40.02;51.65;77.47;5:06:30;15.17;81;0:00:01;0.01;28;36.14;282;364.0;166;214.27;62;80.03;0:18:36;6.07
Objeto 43;143.97;68.8;209.26;12:33:25;16.66;82;0:00:05;0.01;215;102.74;921;440.13;501;239.42;88;42.05;0:41:34;5.52
Objeto 44;136.51;425.29;32.1;1:33:19;20.64;89;0:00:16;0.29;208;648.0;796;2479.83;783;2439.33;153;476.65;0:00:00;0.0
Objeto 45;255.7;121.89;209.79;11:13:25;18.69;82;0:00:05;0.01;490;233.57;1206;574.87;703;335.1;370;176.37;0:18:09;2.7
Objeto 46;182.85;81.87;223.34;13:55:38;16.04;86;0:00:11;0.02;350;156.71;995;445.51;543;243.13;132;59.1;0:28:35;3.42
Objeto 47;33.59;14.71;228.32;12:33:01;18.19;86;0:00:50;0.11;13;5.69;303;132.71;870;381.05;0;0.0;0:00:00;0.0
Objeto 48;292.28;95.6;305.72;16:54:52;18.07;101;0:02:38;0.26;562;183.83;1500;490.65;992;324.48;271;88.64;0:41:31;4.09
Objeto 49;372.25;106.09;350.87;19:35:07;17.91;82;0:00:11;0.02;727;207.2;1884;536.95;866;246.82;383;109.16;1:10:58;6.04
Objeto 50;79.4;40.74;194.91;0:00:00;0.0;83;0:00:01;0.0;84;43.1;531;272.43;299;153.4;95;48.74;0:00:00;0.0
Objeto 51;308.76;102.02;302.65;17:55:56;16.88;95;0:01:45;0.16;567;187.34;1461;482.73;998;329.75;478;157.94;0:16:14;1.51
Objeto 52;0.0;0.0;0.0;0:01:39;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 53;13.9;13.38;103.89;7:51:57;13.21;78;0:00:00;0.0;2;1.93;134;128.98;496;477.41;1;0.96;0:23:41;5.02
Objeto 54;1.8;165.14;1.09;0:11:49;5.53;33;0:00:00;0.0;2;183.49;14;1284.4;10;917.43;0;0.0;0:00:00;0.0
Objeto 55;75.86;25.64;295.9;17:57:26;16.48;91;0:01:16;0.12;77;26.02;594;200.75;1408;475.84;0;0.0;0:20:55;1.94
Objeto 56;24.03;16.33;147.14;12:59:56;11.32;134;0:00:02;0.0;16;10.87;191;129.81;550;373.79;17;11.55;0:13:19;1.71
Objeto 57;323.14;82.43;392.0;20:25:52;19.19;108;0:06:48;0.55;604;154.08;1732;441.84;1350;344.39;232;59.18;1:34:25;7.7
Objeto 58;292.23;96.49;302.84;16:46:57;18.05;91;0:02:54;0.29;656;216.61;1459;481.77;999;329.87;126;41.61;1:08:51;6.84
Objeto 59;36.19;86.29;41.94;2:09:36;19.42;89;0:00:50;0.64;59;140.67;205;488.78;129;307.57;32;76.3;0:01:26;1.11
Objeto 60;40.16;61.62;65.17;3:07:10;20.89;86;0:00:22;0.2;63;96.67;223;342.19;110;168.79;48;73.66;0:00:00;0.0
Objeto 61;0.0;0.0;0.0;0:11:28;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 62;436.51;187.05;233.36;14:33:08;16.04;90;0:00:34;0.06;741;317.53;1764;755.9;1050;449.94;1113;476.94;1:47:20;12.29
Objeto 63;101.4;57.21;177.25;12:33:47;14.11;75;0:00:00;0.0;134;75.6;703;396.61;368;207.61;43;24.26;0:48:36;6.45
Objeto 64;93.51;56.35;165.95;13:52:18;11.96;103;0:01:13;0.15;137;82.56;609;366.98;284;171.14;42;25.31;2:41:29;19.4
Objeto 65;464.89;153.92;302.02;19:08:22;15.78;88;0:00:41;0.06;788;260.91;2747;909.53;1552;513.87;320;105.95;1:17:30;6.75
Objeto 66;277.93;109.98;252.72;17:10:48;14.71;95;0:01:07;0.11;481;190.33;1614;638.66;1089;430.92;194;76.77;1:57:21;11.38
Objeto 67;29.96;14.37;208.48;13:37:01;15.31;85;0:00:14;0.03;14;6.72;269;129.03;762;365.5;0;0.0;0:46:55;5.74
Objeto 68;116.57;63.08;184.8;10:03:45;18.37;85;0:00:12;0.03;206;111.47;698;377.71;444;240.26;54;29.22;0:06:54;1.14
Objeto 69;38.2;18.61;205.25;13:05:02;15.69;85;0:00:00;0.0;13;6.33;352;171.5;926;451.16;4;1.95;0:24:06;3.07
Objeto 70;126.87;105.11;120.71;8:33:25;14.11;81;0:00:05;0.02;229;189.72;699;579.09;306;253.51;111;91.96;0:28:37;5.57
Objeto 71;243.6;129.97;187.43;0:14:48;759.83;86;0:00:29;3.27;178;94.97;614;327.6;365;194.74;16;8.54;0:00:00;0.0
Objeto 72;69.38;27.12;255.79;10:34:50;24.18;104;0:02:26;0.38;58;22.68;551;215.42;1267;495.34;0;0.0;0:00:00;0.0
Objeto 73;157.5;84.51;186.37;15:20:47;12.14;71;0:00:00;0.0;222;119.12;1104;592.37;569;305.31;27;14.49;2:35:50;16.92
Objeto 74;167.72;85.84;195.39;8:04:45;24.18;86;0:00:39;0.13;307;157.12;921;471.36;530;271.25;133;68.07;0:08:53;1.83
Objeto 75;210.71;86.38;243.94;8:38:45;28.21;84;0:00:19;0.06;326;133.64;1227;503.0;882;361.57;224;91.83;0:00:00;0.0
Objeto 76;71.0;38.46;184.62;12:36:20;14.65;77;0:00:00;0.0;88;47.66;525;284.36;322;174.41;9;4.87;0:24:49;3.28
Objeto 77;0.0;0.0;0.0;0:10:02;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:06:54;68.77
Objeto 78;522.31;178.06;293.33;15:42:54;18.67;87;0:00:51;0.09;970;330.69;1879;640.58;1375;468.76;1397;476.26;0:18:50;2.0
Objeto 79;16.4;9.35;175.48;11:24:12;15.39;69;0:00:00;0.0;1;0.57;162;92.32;524;298.6;0;0.0;0:00:00;0.0
Objeto 80;51.76;43.1;120.1;7:08:37;16.81;99;0:01:07;0.26;39;32.47;409;340.56;875;728.58;21;17.49;0:08:08;1.9
Objeto 81;235.47;122.91;191.58;5:10:02;37.08;85;0:00:14;0.08;483;252.12;1294;675.45;755;394.1;92;48.02;0:07:40;2.47
Objeto 82;283.27;140.29;201.91;11:46:35;17.15;85;0:00:12;0.03;581;287.75;1480;733.0;1093;541.33;189;93.61;0:49:49;7.05
Total;14269.22;88.78;16072.42;834:05:37;19.27;134;1:11:44;0.14;24504;152.46;74200;461.66;59297;368.94;17296;107.61;48:35:14;5.83
