Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;205.94;171.34;120.2;7:02:03;17.09;87;0:00:10;0.04;389;323.64;907;754.6;701;583.21;373;310.33;0:00:00;0.0
Objeto 2;281.0;124.28;226.1;7:34:20;29.86;96;0:01:29;0.33;559;247.23;1278;565.23;953;421.49;364;160.99;0:06:19;1.39
Objeto 3;152.5;0.0;0.0;13:51:44;0.0;0;0:00:00;0.0;32;0.0;375;0.0;146;0.0;1086;0.0;13:08:51;94.84
Objeto 4;179.2;94.98;188.67;10:00:34;18.85;74;0:00:00;0.0;279;147.88;1118;592.58;579;306.89;116;61.48;0:20:09;3.36
Objeto 5;359.8;169.4;212.4;9:25:27;22.54;86;0:00:15;0.04;717;337.58;1534;722.24;947;445.87;627;295.2;0:00:00;0.0
Objeto 6;119.3;73.6;162.09;0:55:12;176.19;79;0:00:00;0.0;151;93.16;768;473.81;428;264.05;123;75.88;0:00:00;0.0
Objeto 7;713.59;339.43;210.23;11:49:07;17.79;96;0:01:09;0.16;1492;709.7;2458;1169.2;2468;1173.95;1682;800.08;0:30:08;4.25
Objeto 8;24.2;52.74;45.89;2:30:38;18.28;86;0:00:07;0.08;10;21.79;199;433.66;112;244.07;20;43.58;0:07:56;5.27
Objeto 9;78.37;22.18;353.25;17:27:40;20.23;89;0:00:12;0.02;52;14.72;678;191.93;1551;439.06;0;0.0;0:21:05;2.01
Objeto 10;47.19;21.55;218.99;13:41:06;16.0;97;0:01:09;0.14;25;11.42;412;188.13;996;454.81;0;0.0;0:08:31;1.04
Objeto 11;7.7;295.25;2.61;0:30:19;5.16;32;0:00:00;0.0;12;460.12;35;1342.02;18;690.18;18;690.18;0:14:01;46.23
Objeto 12;41.07;25.53;160.87;8:48:53;18.25;88;0:00:33;0.1;30;18.65;346;215.09;731;454.42;0;0.0;0:25:47;4.88
Objeto 13;41.69;;;10:57:38;;92;0:01:13;0.19;17;;365;;1004;;0;;0:00:00;0.0
Objeto 14;41.7;21.5;193.94;0:42:01;276.95;101;0:04:22;10.39;34;17.53;349;179.95;839;432.61;0;0.0;0:00:00;0.0
Objeto 15;333.69;142.48;234.2;11:44:59;19.93;90;0:00:43;0.1;590;251.92;1406;600.35;950;405.64;744;317.68;0:35:45;5.07
Objeto 16;571.09;262.01;217.97;11:32:31;18.88;82;0:00:09;0.02;798;366.11;3378;1549.76;1187;544.57;735;337.2;0:00:00;0.0
Objeto 17;26.7;217.82;12.26;1:16:12;9.65;57;0:00:00;0.0;53;432.37;160;1305.27;159;1297.11;1;8.16;0:07:45;10.17
Objeto 18;278.0;126.5;219.77;11:38:53;18.87;79;0:00:00;0.0;518;235.71;1450;659.79;646;293.95;294;133.78;0:30:44;4.4
Objeto 19;537.26;177.14;303.3;10:29:49;28.89;85;0:00:13;0.03;1224;403.56;2286;753.72;1870;616.56;635;209.37;0:00:00;0.0
Objeto 20;74.5;73.68;101.11;5:34:21;18.14;75;0:00:00;0.0;94;92.97;522;516.28;259;256.16;35;34.62;0:30:00;8.97
Objeto 21;167.8;84.99;197.44;11:57:51;16.5;75;0:00:00;0.0;269;136.24;1053;533.32;868;439.62;87;44.06;0:09:01;1.26
Objeto 22;121.99;73.93;165.01;9:58:41;16.54;100;0:00:52;0.14;191;115.75;598;362.41;474;287.26;232;140.6;0:51:38;8.62
Objeto 23;120.99;64.64;187.17;6:41:20;27.98;88;0:00:30;0.12;216;115.4;679;362.78;408;217.99;92;49.15;0:17:51;4.45
Objeto 24;571.73;282.82;202.15;13:30:32;14.96;85;0:01:06;0.14;991;490.22;2491;1232.23;1432;708.37;1234;610.43;1:02:22;7.69
Objeto 25;14.2;175.05;8.11;1:00:15;8.08;42;0:00:00;0.0;27;332.84;88;1084.81;57;702.66;0;0.0;0:00:00;0.0
Objeto 26;178.9;90.58;197.5;8:24:23;23.49;77;0:00:00;0.0;303;153.42;1101;557.47;697;352.91;82;41.52;0:00:00;0.0
Objeto 27;0.0;0.0;0.0;0:01:15;0.19;2;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 28;42.7;22.31;191.39;11:28:23;16.68;80;0:00:00;0.0;35;18.29;356;186.01;818;427.4;1;0.52;0:27:53;4.05
Objeto 29;359.19;190.06;188.99;13:52:54;13.61;93;0:02:25;0.29;622;329.11;1673;885.22;1117;591.03;654;346.05;2:36:29;18.79
Objeto 30;24.44;13.2;185.25;11:25:22;16.22;86;0:00:12;0.03;3;1.62;235;126.85;828;446.96;1;0.54;0:00:00;0.0
Objeto 31;167.08;81.36;205.38;11:25:06;17.99;83;0:00:13;0.03;297;144.61;1000;486.91;542;263.91;75;36.52;0:46:28;6.78
Objeto 32;367.39;138.76;264.77;14:57:03;17.71;100;0:02:04;0.23;697;263.24;1657;625.82;1022;385.99;605;228.5;0:48:24;5.4
Objeto 33;6.8;201.48;3.38;0:12:38;16.03;42;0:00:00;0.0;14;414.81;37;1096.3;15;444.44;3;88.89;0:00:00;0.0
Objeto 34;141.36;66.59;212.29;12:59:27;16.34;84;0:00:19;0.04;235;110.7;777;366.0;444;209.14;164;77.25;0:43:13;5.54
Objeto 35;71.5;10.15;704.42;12:19:24;57.16;76;0:00:00;0.0;96;13.63;491;69.7;254;36.06;32;4.54;2:07:54;17.3
Objeto 36;185.95;84.39;220.35;12:37:11;17.46;88;0:00:17;0.04;279;126.62;1035;469.7;520;235.99;264;119.81;0:10:01;1.32
Objeto 37;0.7;6.32;11.08;1:05:48;10.1;49;0:00:00;0.0;0;0.0;7;63.2;28;252.8;0;0.0;0:00:00;0.0
Objeto 38;130.74;82.49;158.51;8:42:50;18.19;92;0:01:35;0.3;271;170.97;679;428.38;445;280.75;72;45.42;1:12:35;13.88
