Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;264.66;141.22;187.4;10:49:08;17.32;85;0:00:11;0.03;429;228.92;1169;623.79;798;425.82;618;329.77;0:18:25;2.84
Objeto 2;386.01;122.76;314.45;13:06:09;24.0;116;0:02:52;0.36;784;249.32;1676;532.99;1259;400.38;574;182.54;0:11:03;1.41
Objeto 3;166.4;0.0;0.0;14:27:05;0.0;0;0:00:00;0.0;228;0.0;923;0.0;533;0.0;285;0.0;13:19:56;92.26
Objeto 4;170.4;92.91;183.41;8:55:25;20.55;73;0:00:00;0.0;252;137.4;999;544.68;570;310.78;201;109.59;0:06:40;1.25
Objeto 5;272.17;202.66;134.3;5:31:36;24.3;94;0:00:45;0.23;534;397.63;1005;748.34;656;488.47;638;475.07;0:21:46;6.56
Objeto 6;132.0;69.85;188.98;2:04:57;90.75;74;0:00:00;0.0;165;87.31;816;431.79;520;275.16;174;92.07;0:00:00;0.0
Objeto 7;703.35;351.52;200.09;8:58:00;22.31;90;0:01:10;0.22;1491;745.17;2563;1280.94;2424;1211.47;1475;737.18;0:33:59;6.32
Objeto 8;232.9;118.29;196.88;4:33:54;43.13;80;0:00:00;0.0;338;171.67;1384;702.95;984;499.79;269;136.63;0:10:34;3.86
Objeto 9;42.7;36.82;115.96;6:17:07;18.45;74;0:00:00;0.0;40;34.5;346;298.39;258;222.5;1;0.86;0:10:16;2.72
Objeto 10;72.7;20.16;360.57;18:34:42;19.41;85;0:00:00;0.0;49;13.59;629;174.45;1504;417.12;0;0.0;0:20:53;1.87
Objeto 11;18.97;19.65;96.58;4:57:19;19.49;92;0:01:34;0.53;6;6.21;164;169.81;384;397.6;0;0.0;0:00:00;0.0
Objeto 12;506.98;299.23;169.43;11:50:44;14.3;85;0:00:20;0.05;1030;607.93;1769;1044.1;1402;827.49;1238;730.69;1:08:14;9.6
Objeto 13;62.18;26.21;237.24;12:49:42;18.49;94;0:02:57;0.38;54;22.76;489;206.12;1094;461.14;0;0.0;0:34:32;4.49
Objeto 14;14.5;;;11:45:46;;144;0:00:07;0.02;13;;118;;308;;0;;7:47:36;66.25
Objeto 15;21.69;20.8;104.28;6:38:18;15.71;98;0:01:11;0.3;11;10.55;185;177.4;440;421.93;0;0.0;0:36:50;9.25
Objeto 16;95.47;103.61;92.15;4:36:41;19.98;84;0:00:32;0.19;129;140.0;404;438.43;225;244.18;282;306.04;0:16:11;5.85
Objeto 17;571.59;248.3;230.2;11:12:28;20.54;85;0:00:09;0.02;809;351.44;3253;1413.14;1214;527.38;843;366.21;0:12:48;1.9
Objeto 18;329.24;139.17;236.58;13:40:10;17.31;98;0:01:41;0.21;711;300.53;1691;714.77;1413;597.26;165;69.74;0:42:56;5.23
Objeto 19;309.7;124.29;249.17;12:26:10;20.04;80;0:00:00;0.0;588;235.98;1619;649.76;722;289.76;302;121.2;0:13:32;1.81
Objeto 20;672.16;219.87;305.71;10:13:23;29.9;99;0:01:53;0.31;1494;488.69;2729;892.67;2206;721.59;976;319.25;0:00:00;0.0
Objeto 21;160.38;80.33;199.65;10:03:39;19.84;84;0:00:10;0.03;238;119.21;1060;530.94;770;385.68;66;33.06;0:23:43;3.93
Objeto 22;186.28;94.2;197.75;12:10:15;16.25;84;0:00:32;0.07;288;145.64;1096;554.24;915;462.71;186;94.06;1:11:04;9.73
Objeto 23;338.64;101.38;334.03;18:26:06;18.12;101;0:03:17;0.3;527;157.77;1700;508.94;1119;335.0;605;181.12;0:56:13;5.08
Objeto 24;12.5;93.26;13.4;1:07:36;11.9;65;0:00:00;0.0;21;156.67;79;589.38;47;350.64;4;29.84;0:00:00;0.0
Objeto 25;157.7;176.43;89.38;6:01:50;14.82;75;0:00:00;0.0;271;303.19;758;848.05;499;558.28;277;309.91;0:34:52;9.64
Objeto 26;99.45;50.99;195.04;5:27:26;35.74;92;0:00:19;0.1;112;57.42;726;372.24;380;194.83;33;16.92;0:00:00;0.0
Objeto 27;152.5;86.06;177.2;9:20:10;18.98;73;0:00:00;0.0;233;131.49;989;558.14;628;354.41;70;39.5;0:25:47;4.6
