Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;222.13;102.85;215.99;11:13:09;19.25;85;0:00:20;0.05;318;147.23;1214;562.07;752;348.17;368;170.38;0:25:36;3.8
Objeto 2;602.4;152.24;395.7;14:58:15;26.43;103;0:05:02;0.56;1266;319.94;2391;604.25;1892;478.14;1046;264.34;0:24:33;2.73
Objeto 3;518.11;;;11:25:18;;92;0:00:42;0.1;1034;;1726;;1284;;1381;;1:43:31;15.11
Objeto 4;106.91;77.71;137.57;7:16:41;18.9;94;0:16:48;3.85;87;63.24;671;487.75;404;293.67;63;45.79;2:37:05;35.97
Objeto 5;175.6;88.27;198.94;9:59:22;19.91;72;0:00:00;0.0;273;137.23;1044;524.79;562;282.5;166;83.44;0:14:42;2.45
Objeto 6;351.87;186.52;188.65;6:39:48;28.31;93;0:01:27;0.36;686;363.63;1273;674.78;850;450.56;854;452.68;0:00:00;0.0
Objeto 7;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 8;662.9;320.26;206.99;9:42:02;21.34;80;0:00:00;0.0;1461;705.84;2195;1060.46;2345;1132.93;1512;730.48;0:46:32;7.99
Objeto 9;4.4;276.73;1.59;0:07:38;12.5;25;0:00:00;0.0;4;251.57;36;2264.15;45;2830.19;0;0.0;0:00:00;0.0
Objeto 10;395.2;193.4;204.34;10:47:27;18.94;70;0:00:00;0.0;713;348.93;1900;929.82;1070;523.63;626;306.35;0:30:03;4.64
Objeto 11;74.94;20.6;363.74;16:29:03;22.07;90;0:00:10;0.02;50;13.75;648;178.15;1451;398.92;0;0.0;0:28:35;2.89
Objeto 12;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 13;18.5;279.33;6.62;0:40:50;9.73;40;0:00:00;0.0;34;513.36;91;1374.0;55;830.44;26;392.57;0:10:19;25.27
Objeto 14;80.29;22.65;354.5;17:02:29;20.8;93;0:02:31;0.25;56;15.8;669;188.72;1475;416.08;1;0.28;0:33:37;3.29
Objeto 15;0.1;;;14:13:19;;37;0:00:00;0.0;0;;1;;6;;0;;14:06:11;99.16
Objeto 16;408.63;148.57;275.05;12:10:01;22.61;92;0:01:25;0.19;789;286.86;1655;601.71;1184;430.47;840;305.4;0:28:12;3.86
Objeto 17;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 18;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 19;0.0;0.0;0.0;0:04:51;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 20;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 21;132.43;129.11;102.57;5:40:06;18.1;88;0:01:16;0.37;261;254.46;555;541.08;562;547.91;235;229.11;0:19:07;5.62
Objeto 22;517.45;131.41;393.78;21:18:52;18.47;103;0:06:10;0.48;866;219.92;2544;646.05;1276;324.04;845;214.59;1:31:07;7.12
Objeto 23;223.84;88.41;253.19;6:00:03;42.19;95;0:01:53;0.52;441;174.18;1210;477.91;814;321.5;124;48.98;0:00:00;0.0
Objeto 24;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 25;213.7;145.01;147.37;8:23:36;17.56;80;0:00:00;0.0;475;322.32;1138;772.21;1192;808.85;49;33.25;0:09:23;1.86
Objeto 26;0.0;0.0;0.1;0:01:08;5.24;12;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 27;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 28;0.1;4.53;2.21;0:18:17;7.25;21;0:00:00;0.0;0;0.0;1;45.29;4;181.16;0;0.0;0:00:00;0.0
Objeto 29;26.9;8.86;303.54;16:34:27;18.31;73;0:00:00;0.0;3;0.99;263;86.64;995;327.8;0;0.0;0:59:34;5.99
Objeto 30;333.39;146.41;227.72;13:24:06;16.99;90;0:01:04;0.13;522;229.23;1614;708.78;987;433.44;667;292.91;2:38:05;19.66
Objeto 31;64.08;25.05;255.78;12:31:04;20.43;85;0:00:19;0.04;54;21.11;529;206.82;1150;449.6;1;0.39;0:00:00;0.0
