Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;324.46;156.35;207.52;5:36:14;37.03;95;0:00:22;0.11;586;282.38;1456;701.62;1175;566.21;564;271.78;0:07:52;2.34
Objeto 2;406.66;114.52;355.09;12:21:57;28.72;105;0:03:56;0.53;784;220.79;1922;541.27;1425;401.31;508;143.06;0:00:00;0.0
Objeto 3;136.7;0.0;0.0;11:26:27;0.0;0;0:00:00;0.0;48;0.0;353;0.0;166;0.0;918;0.0;8:54:50;77.91
Objeto 4;187.8;153.41;122.42;7:13:13;16.96;68;0:00:00;0.0;371;303.05;1105;902.62;906;740.07;31;25.32;0:19:20;4.46
Objeto 5;455.94;153.22;297.58;10:34:56;28.12;89;0:01:10;0.18;879;295.38;1920;645.21;1261;423.75;866;291.02;0:00:00;0.0
Objeto 6;341.69;174.18;196.18;3:11:35;61.44;87;0:00:16;0.14;243;123.87;867;441.95;558;284.44;187;95.32;0:00:00;0.0
Objeto 7;0.5;50000.0;0.0;0:00:10;0.36;0;0:00:00;0.0;1;100000.0;3;300000.0;1;100000.0;0;0.0;0:00:00;0.0
Objeto 8;171.47;133.88;128.07;1:55:49;66.35;84;0:00:09;0.13;210;163.97;949;741.0;679;530.18;150;117.12;0:00:00;0.0
Objeto 9;21.0;170.26;12.33;1:01:22;12.06;51;0:00:00;0.0;32;259.45;129;1045.89;77;624.29;17;137.83;0:00:00;0.0
Objeto 10;70.15;21.77;322.25;17:33:52;18.35;91;0:00:18;0.03;41;12.72;617;191.47;1421;440.97;0;0.0;0:25:06;2.38
Objeto 11;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 12;6.4;223.54;2.86;0:31:50;5.4;31;0:00:00;0.0;11;384.21;36;1257.42;15;523.93;6;209.57;0:11:13;35.24
Objeto 13;36.16;25.81;140.1;8:48:36;15.9;93;0:01:02;0.2;33;23.55;285;203.43;653;466.1;2;1.43;0:34:33;6.54
Objeto 14;61.09;;;18:14:48;;102;0:01:14;0.11;75;;450;;952;;0;;6:26:08;35.27
Objeto 15;7.4;195.87;3.78;2:46:38;1.36;41;0:00:00;0.0;0;0.0;0;0.0;0;0.0;74;1958.71;1:27:12;52.33
Objeto 16;42.91;20.53;208.97;12:20:36;16.93;93;0:01:34;0.21;28;13.4;359;171.8;931;445.53;1;0.48;0:36:51;4.98
Objeto 17;346.18;153.77;225.13;11:41:30;19.26;85;0:00:06;0.01;631;280.29;1460;648.52;1030;457.52;739;328.26;0:19:21;2.76
Objeto 18;486.1;251.38;193.37;10:31:17;18.38;80;0:00:00;0.0;614;317.53;2864;1481.1;981;507.32;769;397.68;0:06:46;1.07
Objeto 19;190.83;96.85;197.03;6:50:47;28.78;89;0:16:12;3.94;298;151.24;1044;529.86;807;409.57;16;8.12;0:08:14;2.0
Objeto 20;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 21;6.8;93.14;7.3;0:21:24;20.47;67;0:00:00;0.0;10;136.97;48;657.44;24;328.72;0;0.0;0:00:00;0.0
Objeto 22;141.92;71.9;197.4;10:39:40;18.52;81;0:00:01;0.0;193;97.77;901;456.44;476;241.14;132;66.87;0:29:13;4.57
Objeto 23;275.63;127.28;216.56;10:30:23;20.61;93;0:02:15;0.36;562;259.51;1289;595.21;1235;570.27;319;147.3;0:15:27;2.45
Objeto 24;227.08;74.95;302.96;18:06:14;16.73;106;0:03:51;0.35;382;126.09;1075;354.83;967;319.18;397;131.04;1:33:51;8.64
Objeto 25;246.29;88.36;278.75;10:35:40;26.31;89;0:00:31;0.08;440;157.85;1384;496.51;831;298.12;193;69.24;0:07:29;1.18
Objeto 26;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 27;174.65;88.51;197.33;5:31:34;35.71;89;0:00:35;0.18;264;133.79;1201;608.63;779;394.78;7;3.55;0:00:00;0.0
Objeto 28;143.9;87.44;164.56;7:13:23;22.78;75;0:00:00;0.0;239;145.23;889;540.22;557;338.47;72;43.75;0:08:07;1.87
Objeto 29;22.5;14.06;160.06;11:33:27;13.85;77;0:00:00;0.0;6;3.75;213;133.07;703;439.2;0;0.0;0:18:59;2.74
Objeto 30;56.25;25.05;224.55;13:31:30;16.6;93;0:00:59;0.12;63;28.06;428;190.6;923;411.05;0;0.0;0:14:51;1.83
Objeto 31;6.7;307.9;2.18;2:43:35;0.8;33;0:00:00;0.0;12;551.47;42;1930.15;19;873.16;1;45.96;1:53:12;69.2
Objeto 32;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 33;164.9;80.87;203.92;12:53:54;15.81;80;0:00:00;0.0;274;134.37;1027;503.63;532;260.89;74;36.29;0:49:08;6.35
Objeto 34;324.32;116.39;278.65;16:06:21;17.3;88;0:01:33;0.16;559;200.61;1592;571.33;882;316.53;520;186.62;0:43:28;4.5
Objeto 35;277.85;95.56;290.77;8:52:38;32.76;94;0:02:08;0.4;519;178.49;1404;482.85;879;302.3;305;104.89;0:00:00;0.0
Objeto 36;211.75;100.24;211.25;13:18:55;15.87;91;0:00:31;0.06;295;139.64;1037;490.88;633;299.64;486;230.06;0:56:42;7.1
Objeto 37;80.9;26.88;301.0;4:22:57;68.68;81;0:00:00;0.0;127;42.19;424;140.87;278;92.36;131;43.52;0:25:06;9.55
Objeto 38;214.47;94.55;226.83;13:05:28;17.33;89;0:00:34;0.07;336;148.13;1223;539.16;625;275.53;245;108.01;0:46:56;5.98
Objeto 39;22.5;14.06;160.01;11:31:32;13.88;72;0:00:00;0.0;2;1.25;221;138.12;629;393.11;0;0.0;0:10:25;1.51
Objeto 40;101.49;66.1;153.55;8:17:48;18.51;83;0:00:14;0.05;190;123.74;586;381.65;311;202.55;47;30.61;0:50:48;10.2
Objeto 41;431.4;192.09;224.58;13:48:23;16.27;91;0:00:57;0.11;828;368.68;1585;705.75;971;432.36;1065;474.21;1:35:31;11.53
Objeto 42;164.09;77.97;210.44;12:04:49;17.42;82;0:00:06;0.01;265;125.93;997;473.76;541;257.08;113;53.7;0:20:40;2.85
Objeto 43;243.66;104.72;232.68;16:12:01;14.36;87;0:00:11;0.02;402;172.77;745;320.18;1029;442.23;886;380.77;2:17:47;14.17
Objeto 44;318.6;123.47;258.04;13:04:42;19.73;76;0:00:00;0.0;658;255.0;1477;572.39;1026;397.61;393;152.3;0:19:34;2.49
Objeto 45;181.73;80.4;226.04;13:19:49;16.96;89;0:00:35;0.07;348;153.96;978;432.67;548;242.44;138;61.05;0:24:58;3.12
Objeto 46;26.48;15.14;174.9;10:28:04;16.71;83;0:00:06;0.02;5;2.86;254;145.23;718;410.52;0;0.0;0:14:59;2.39
Objeto 47;240.29;86.37;278.21;15:55:34;17.47;91;0:00:28;0.05;393;141.26;1402;503.94;877;315.23;211;75.84;0:42:50;4.48
Objeto 48;0.0;0.0;0.0;0:00:54;0.07;0;0:00:00;0.0;0;0.0;0;0.0;1;100000.0;0;0.0;0:00:00;0.0
Objeto 49;151.3;72.25;209.4;0:00:00;0.0;99;0:01:30;0.0;224;106.97;882;421.21;559;266.96;183;87.39;0:00:00;0.0
Objeto 50;14.5;0.0;0.0;0:03:53;0.0;0;0:00:00;0.0;2;0.0;11;0.0;131;0.0;130;0.0;0:18:00;463.52
Objeto 51;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 52;24.24;23.25;104.26;6:17:46;16.56;87;0:00:09;0.04;20;19.18;201;192.78;486;466.13;0;0.0;0:11:32;3.05
Objeto 53;186.55;78.63;237.24;15:06:28;15.7;99;0:02:14;0.25;329;138.68;1058;445.97;570;240.27;130;54.8;1:00:31;6.68
Objeto 54;104.34;28.39;367.56;19:15:35;19.08;87;0:01:18;0.11;107;29.11;818;222.55;1690;459.79;0;0.0;0:28:04;2.43
Objeto 55;33.63;20.12;167.17;11:25:45;14.63;117;0:00:27;0.07;22;13.16;271;162.12;716;428.32;17;10.17;0:10:51;1.58
Objeto 56;150.35;52.69;285.37;8:44:33;32.64;109;0:51:09;9.75;75;26.28;889;311.52;421;147.53;31;10.86;1:57:21;22.37
Objeto 57;41.04;86.85;47.25;2:59:39;15.78;85;0:00:10;0.09;77;162.96;251;531.21;171;361.9;4;8.47;0:25:17;14.07
Objeto 58;55.16;54.29;101.59;5:34:27;18.22;88;0:00:24;0.12;80;78.75;338;332.72;164;161.44;50;49.22;0:12:50;3.84
Objeto 59;203.21;111.54;182.19;10:48:04;16.87;99;0:01:27;0.22;323;177.29;1027;563.71;710;389.71;347;190.47;0:16:32;2.55
Objeto 60;29.1;13.77;211.34;11:48:39;17.89;77;0:00:00;0.0;4;1.89;283;133.91;833;394.15;0;0.0;0:26:35;3.75
Objeto 61;0.0;0.0;0.02;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 62;128.67;68.95;186.62;12:12:58;15.28;82;0:00:03;0.01;200;107.17;825;442.07;488;261.49;61;32.69;0:45:33;6.21
Objeto 63;95.28;51.21;186.07;12:59:21;14.32;103;0:00:20;0.04;154;82.76;626;336.43;279;149.94;16;8.6;1:47:01;13.73
Objeto 64;94.68;50.74;186.6;12:31:15;14.9;82;0:00:03;0.01;150;80.38;594;318.32;420;225.08;52;27.87;1:00:51;8.1
Objeto 65;295.58;114.19;258.86;17:43:23;14.61;93;0:01:10;0.11;546;210.93;1612;622.73;1294;499.89;242;93.49;2:56:41;16.62
Objeto 66;31.14;13.72;226.91;14:00:16;16.2;81;0:00:03;0.01;9;3.97;293;129.13;890;392.23;0;0.0;0:42:19;5.04
Objeto 67;168.34;76.87;218.99;13:05:51;16.72;85;0:00:02;0.0;330;150.69;952;434.72;679;310.05;71;32.42;0:57:33;7.32
Objeto 68;27.5;13.36;205.91;15:49:06;13.02;75;0:00:00;0.0;5;2.43;264;128.21;830;403.09;1;0.49;1:52:24;11.84
Objeto 69;41.8;80.85;51.7;3:17:07;15.74;63;0:00:00;0.0;63;121.85;261;504.83;105;203.09;31;59.96;0:17:29;8.87
Objeto 70;98.17;51.83;189.4;2:24:41;78.55;87;0:00:19;0.22;138;72.86;552;291.44;294;155.22;14;7.39;0:00:00;0.0
