Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;321.51;152.65;210.62;7:55:56;26.55;83;0:00:04;0.01;602;285.82;1436;681.79;1203;571.17;574;272.53;0:35:14;7.4
Objeto 2;47.3;83.8;56.44;1:11:08;47.6;95;0:00:40;0.94;73;129.35;258;457.16;149;264.02;56;99.23;0:00:00;0.0
Objeto 3;229.1;0.0;0.0;15:54:15;0.0;0;0:00:00;0.0;165;0.0;819;0.0;460;0.0;1142;0.0;14:28:09;90.98
Objeto 4;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 5;220.82;67.88;325.28;7:01:54;46.26;105;0:29:31;7.0;305;93.77;990;304.35;508;156.17;220;67.63;0:00:00;0.0
Objeto 6;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 7;569.37;337.96;168.47;6:59:08;24.12;83;0:00:04;0.02;1287;763.92;1684;999.57;2082;1235.81;1435;851.77;0:06:49;1.63
Objeto 8;64.2;83.33;77.05;3:35:28;21.45;75;0:00:00;0.0;76;98.64;460;597.05;315;408.85;30;38.94;0:00:00;0.0
Objeto 9;77.19;21.2;364.12;16:50:10;21.63;89;0:00:11;0.02;49;13.46;671;184.28;1662;456.45;1;0.27;0:22:36;2.24
Objeto 10;0.5;11.95;4.18;0:21:59;11.42;51;0:00:00;0.0;1;23.91;3;71.72;23;549.84;0;0.0;0:00:00;0.0
Objeto 11;0.6;0.0;0.0;0:10:32;0.0;0;0:00:00;0.0;0;0.0;6;0.0;0;0.0;0;0.0;0:08:15;78.32
Objeto 12;99.62;27.24;365.72;18:23:15;19.89;102;0:03:37;0.33;82;22.42;792;216.56;1650;451.17;1;0.27;0:42:07;3.82
Objeto 13;41.08;;;17:38:28;;90;0:00:46;0.07;22;;360;;925;;0;;5:51:13;33.18
Objeto 14;4.3;144.93;2.97;1:09:44;2.55;42;0:00:00;0.0;0;0.0;0;0.0;0;0.0;43;1449.28;0:34:32;49.52
Objeto 15;0.0;0.0;0.03;0:00:01;100.8;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 16;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
