Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;318.18;154.32;206.18;10:27:04;19.73;83;0:00:06;0.02;608;294.89;1306;633.43;996;483.08;659;319.63;0:12:30;1.99
Objeto 2;228.03;120.13;189.81;4:07:38;45.99;95;0:01:36;0.65;445;234.44;1025;540.01;781;411.46;325;171.22;0:00:00;0.0
Objeto 3;152.4;0.0;0.0;10:13:56;0.0;0;0:00:00;0.0;93;0.0;484;0.0;229;0.0;854;0.0;8:15:03;80.64
Objeto 4;174.8;86.73;201.55;10:11:17;19.78;75;0:00:00;0.0;282;139.91;1021;506.57;507;251.55;163;80.87;0:15:46;2.58
Objeto 5;389.07;176.58;220.33;7:00:36;31.43;98;0:03:23;0.8;776;352.19;1345;610.44;1000;453.86;946;429.35;0:06:42;1.59
Objeto 6;153.17;88.34;173.37;1:23:55;123.96;83;0:00:10;0.2;251;144.77;820;472.97;522;301.08;191;110.17;0:00:00;0.0
Objeto 7;528.9;315.98;167.39;5:45:09;29.1;84;0:00:05;0.02;1186;708.55;1476;881.8;1811;1081.94;1440;860.29;0:06:06;1.77
Objeto 8;182.0;114.11;159.49;4:45:18;33.54;81;0:00:00;0.0;286;179.32;1030;645.8;754;472.75;218;136.68;0:00:00;0.0
Objeto 9;94.8;97.6;97.14;3:36:17;26.95;64;0:00:00;0.0;109;112.21;656;675.35;378;389.15;74;76.18;0:00:00;0.0
Objeto 10;75.58;20.6;366.84;16:54:48;21.69;90;0:00:13;0.02;41;11.18;671;182.92;1546;421.44;1;0.27;0:34:31;3.4
Objeto 11;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 12;431.9;196.34;219.97;7:09:31;30.73;87;0:01:39;0.38;1043;474.16;1118;508.25;1730;786.47;1099;499.61;0:28:37;6.66
Objeto 13;55.36;23.95;231.11;11:14:41;20.55;91;0:00:33;0.08;49;21.2;451;195.15;977;422.75;0;0.0;0:14:59;2.22
Objeto 14;66.42;;;17:19:48;;101;0:02:51;0.27;39;;561;;1377;;1;;2:23:34;13.81
Objeto 15;0.0;0.0;1.23;0:17:31;4.22;26;0:00:00;0.0;0;0.0;0;0.0;4;324.68;0;0.0;0:00:00;0.0
Objeto 16;372.97;153.15;243.54;10:38:16;22.89;86;0:00:25;0.07;739;303.45;1462;600.32;1100;451.68;786;322.74;0:34:56;5.47
Objeto 17;8.5;1268.66;0.67;0:11:36;3.47;14;0:00:00;0.0;17;2537.31;44;6567.16;22;3283.58;7;1044.78;0:00:00;0.0
Objeto 18;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
