Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;248.25;118.48;209.53;11:09:05;18.79;87.0;0:00:18;0.04;180.0;85.91;633.0;302.1;342.0;163.22;1487.0;709.68;0:14:48;2.21
Objeto 2;471.27;167.9;280.68;12:38:17;22.21;99.0;0:01:27;0.19;1005.0;358.06;1768.0;629.91;1277.0;454.97;918.0;327.07;0:54:02;7.13
Objeto 3;477.45;;;14:29:00;;81.0;0:00:04;0.01;845.0;;1844.0;;1144.0;;1240.0;;0:38:46;4.46
Objeto 4;168.39;85.14;197.78;14:50:52;13.32;88.0;0:00:50;0.09;294.0;148.65;961.0;485.9;575.0;290.73;128.0;64.72;1:39:47;11.2
Objeto 5;0.3;967.74;0.03;0:03:52;0.48;0.0;0:00:00;0.0;0.0;0.0;3.0;9677.42;1.0;3225.81;0.0;0.0;0:00:00;0.0
Objeto 6;559.38;185.96;300.81;14:52:12;20.23;95.0;0:00:24;0.04;1149.0;381.97;2291.0;761.62;1481.0;492.34;1000.0;332.44;0:09:24;1.05
Objeto 7;144.3;71.22;202.61;1:06:20;183.27;80.0;0:00:00;0.0;186.0;91.8;932.0;459.99;619.0;305.51;139.0;68.6;0:00:00;0.0
Objeto 8;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 9;109.07;109.32;99.78;0:42:03;142.37;84.0;0:00:20;0.79;142.0;142.32;703.0;704.58;515.0;516.16;83.0;83.19;0:00:00;0.0
Objeto 10;270.7;174.53;155.1;9:18:18;16.67;75.0;0:00:00;0.0;436.0;281.1;1434.0;924.55;710.0;457.76;401.0;258.54;0:34:11;6.12
Objeto 11;76.88;22.34;344.09;18:31:24;18.58;89.0;0:00:06;0.01;55.0;15.98;657.0;190.94;1496.0;434.77;1.0;0.29;0:40:27;3.64
Objeto 12;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 13;586.3;312.96;187.34;14:06:31;13.28;83.0;0:00:12;0.02;1281.0;683.78;2109.0;1125.76;1729.0;922.92;1189.0;634.67;1:34:46;11.19
Objeto 14;41.82;21.76;192.23;11:21:41;16.92;101.0;0:01:24;0.21;30.0;15.61;342.0;177.92;797.0;414.62;4.0;2.08;0:27:54;4.09
Objeto 15;0.8;;;9:15:23;;68.0;0:00:00;0.0;0.0;;8.0;;68.0;;0.0;;7:35:43;82.05
Objeto 16;58.14;28.2;206.15;13:50:27;14.89;92.0;0:02:24;0.29;44.0;21.34;473.0;229.44;984.0;477.32;0.0;0.0;1:02:49;7.56
Objeto 17;269.23;137.77;195.42;10:00:05;19.54;87.0;0:00:13;0.04;459.0;234.88;1186.0;606.9;778.0;398.12;586.0;299.87;0:36:07;6.02
Objeto 18;741.1;336.93;219.96;11:55:23;18.45;79.0;0:00:00;0.0;1521.0;691.49;3470.0;1577.57;1861.0;846.07;899.0;408.71;0:08:14;1.15
Objeto 19;289.09;141.82;203.84;12:17:50;16.58;93.0;0:03:06;0.42;632.0;310.05;1443.0;707.93;1262.0;619.13;151.0;74.08;1:04:47;8.78
Objeto 20;482.74;236.82;203.85;12:11:13;16.73;85.0;0:00:10;0.02;1146.0;562.19;2241.0;1099.36;2351.0;1153.33;293.0;143.74;1:07:13;9.19
Objeto 21;173.0;86.87;199.15;9:48:53;20.29;75.0;0:00:00;0.0;265.0;133.06;1079.0;541.79;814.0;408.73;121.0;60.76;0:00:00;0.0
Objeto 22;6.6;109.6;6.02;1:04:54;5.57;43.0;0:00:00;0.0;6.0;99.63;52.0;863.5;19.0;315.51;2.0;33.21;0:06:06;9.4
Objeto 23;168.36;106.88;157.53;13:11:29;11.94;97.0;0:01:57;0.25;219.0;139.02;944.0;599.24;655.0;415.79;284.0;180.28;3:32:25;26.84
Objeto 24;230.87;79.27;291.24;11:53:56;24.48;87.0;0:00:53;0.12;390.0;133.91;1277.0;438.47;818.0;280.87;241.0;82.75;0:21:55;3.07
Objeto 25;461.77;265.34;174.03;11:57:04;14.56;84.0;0:00:11;0.03;893.0;513.14;1769.0;1016.51;1359.0;780.92;1061.0;609.68;0:12:54;1.8
Objeto 26;260.07;146.43;177.61;9:58:25;17.81;86.0;0:00:11;0.03;554.0;311.92;1421.0;800.06;1395.0;785.42;70.0;39.41;0:00:00;0.0
Objeto 27;92.8;46.68;198.8;9:24:35;21.13;74.0;0:00:00;0.0;121.0;60.86;672.0;338.02;364.0;183.1;14.0;7.04;0:08:13;1.46
Objeto 28;0.0;0.0;0.0;0:00:19;0.38;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 29;22.6;14.15;159.76;9:58:31;16.02;76.0;0:00:00;0.0;5.0;3.13;215.0;134.58;705.0;441.28;1.0;0.63;0:00:00;0.0
Objeto 30;55.7;20.5;271.76;14:19:41;18.97;80.0;0:00:00;0.0;37.0;13.62;483.0;177.73;1096.0;403.3;0.0;0.0;0:37:28;4.36
Objeto 31;59.58;25.52;233.46;12:42:07;18.38;85.0;0:00:17;0.04;62.0;26.56;469.0;200.89;1072.0;459.18;0.0;0.0;0:00:00;0.0
Objeto 32;153.1;75.61;202.5;12:41:38;15.95;81.0;0:00:00;0.0;268.0;132.35;943.0;465.68;489.0;241.48;52.0;25.68;1:09:09;9.08
Objeto 33;243.22;82.9;293.38;13:40:52;21.44;84.0;0:02:29;0.3;439.0;149.63;1308.0;445.84;727.0;247.8;223.0;76.01;0:39:01;4.75
Objeto 34;28.22;18.56;152.06;8:37:02;17.65;89.0;0:00:37;0.12;15.0;9.86;245.0;161.12;646.0;424.83;0.0;0.0;0:22:26;4.34
Objeto 35;1.3;370.37;0.35;0:05:21;3.94;14.0;0:00:00;0.0;1.0;284.9;8.0;2279.2;2.0;569.8;3.0;854.7;0:00:00;0.0
Objeto 36;198.58;90.0;220.65;13:46:31;16.02;91.0;0:01:16;0.15;386.0;174.94;1088.0;493.08;775.0;351.23;115.0;52.12;1:07:42;8.19
Objeto 37;60.51;26.06;232.21;12:28:44;18.61;97.0;0:03:38;0.49;46.0;19.81;481.0;207.14;1092.0;470.26;1.0;0.43;0:38:26;5.13
Objeto 38;82.53;19.06;433.08;7:45:30;55.82;96.0;0:00:46;0.16;147.0;33.94;444.0;102.52;307.0;70.89;81.0;18.7;0:50:44;10.9
Objeto 39;165.75;87.41;189.62;9:10:30;20.67;86.0;0:00:08;0.02;259.0;136.59;955.0;503.64;527.0;277.93;183.0;96.51;0:00:00;0.0
