Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;314.16;185.81;169.08;7:33:30;22.37;92;0:00:35;0.13;620;366.7;1136;671.88;898;531.12;760;449.5;0:07:38;1.68
Objeto 2;521.93;145.9;357.72;12:07:01;29.52;100;0:05:32;0.76;1065;297.72;2111;590.12;1641;458.73;865;241.81;0:27:55;3.84
Objeto 3;222.5;0.0;0.0;15:31:20;0.0;0;0:00:00;0.0;152;0.0;713;0.0;422;0.0;1208;0.0;14:19:23;92.27
Objeto 4;172.3;91.71;187.88;10:08:53;18.51;77;0:00:00;0.0;282;150.1;1017;541.31;540;287.42;142;75.58;0:07:19;1.2
Objeto 5;476.25;156.95;303.44;11:48:30;25.7;93;0:01:29;0.21;912;300.56;1999;658.78;1224;403.38;918;302.53;0:00:00;0.0
Objeto 6;149.86;75.46;198.61;3:31:39;56.3;87;0:00:08;0.06;203;102.21;875;440.57;535;269.38;167;84.09;0:17:27;8.24
Objeto 7;621.06;324.65;191.3;10:20:21;18.5;95;0:00:36;0.1;1262;659.7;2056;1074.76;2136;1116.58;1625;849.46;0:38:18;6.17
Objeto 8;278.53;117.3;237.46;5:19:12;44.63;88;0:00:16;0.08;424;178.56;1530;644.33;1030;433.76;274;115.39;0:11:48;3.7
Objeto 9;218.2;100.04;218.12;12:12:36;17.86;78;0:00:00;0.0;285;130.66;1452;665.7;872;399.79;160;73.36;1:00:53;8.31
Objeto 10;86.99;23.49;370.31;18:33:41;19.95;97;0:01:38;0.15;65;17.55;725;195.78;1675;452.32;1;0.27;0:36:45;3.3
Objeto 11;53.37;24.33;219.38;11:53:40;18.44;93;0:01:05;0.15;35;15.95;454;206.94;1024;466.77;0;0.0;0:00:00;0.0
Objeto 12;554.8;279.09;198.79;13:27:27;14.77;74;0:00:00;0.0;1053;529.7;2288;1150.95;1532;770.65;1154;580.51;0:44:51;5.55
Objeto 13;77.56;24.05;322.52;17:21:24;18.58;92;0:00:57;0.09;55;17.05;656;203.4;1428;442.76;0;0.0;0:34:31;3.31
Objeto 14;34.5;;;16:52:56;;95;0:02:07;0.21;16;;290;;784;;1;;7:21:49;43.62
Objeto 15;47.59;23.34;203.91;12:25:03;16.42;104;0:03:23;0.45;27;13.24;393;192.73;914;448.24;0;0.0;0:36:46;4.93
Objeto 16;347.09;147.22;235.76;12:10:55;19.35;90;0:00:18;0.04;640;271.46;1457;617.99;948;402.1;731;310.06;0:31:45;4.34
Objeto 17;636.4;293.59;216.77;11:17:31;19.2;79;0:00:00;0.0;1070;493.62;3346;1543.59;1407;649.08;878;405.04;0:00:00;0.0
Objeto 18;314.22;134.29;233.99;12:55:53;18.09;91;0:00:59;0.13;690;294.88;1542;659.0;1300;555.58;212;90.6;0:30:15;3.9
Objeto 19;270.1;116.14;232.56;11:32:29;20.15;76;0:00:00;0.0;529;227.46;1375;591.24;591;254.12;268;115.24;0:18:11;2.63
Objeto 20;521.28;176.12;295.99;10:35:04;27.96;89;0:01:32;0.24;983;332.11;1934;653.4;1434;484.48;1291;436.16;0:00:00;0.0
Objeto 21;70.0;66.09;105.92;7:02:04;15.06;71;0:00:00;0.0;97;91.58;458;432.39;243;229.41;48;45.32;0:28:53;6.84
Objeto 22;233.2;118.08;197.5;10:55:39;18.07;72;0:00:00;0.0;390;197.47;1154;584.31;1142;578.24;398;201.52;0:06:21;0.97
Objeto 23;323.04;91.56;352.83;20:45:21;17.0;97;0:04:12;0.34;445;126.12;1245;352.87;1353;383.48;1059;300.15;2:28:19;11.91
Objeto 24;162.61;89.13;182.43;7:47:00;23.44;97;0:01:48;0.39;310;169.93;875;479.63;583;319.57;112;61.39;0:07:09;1.53
Objeto 25;584.37;226.31;258.22;15:27:59;16.7;97;0:01:36;0.17;997;386.1;2497;966.99;1566;606.45;1338;518.16;1:32:07;9.93
Objeto 26;43.3;169.41;25.56;1:10:50;21.65;75;0:00:00;0.0;93;363.85;223;872.46;212;829.42;24;93.9;0:00:00;0.0
Objeto 27;230.72;117.83;195.81;5:51:25;33.43;82;0:00:02;0.01;414;211.43;1472;751.74;967;493.84;3;1.53;0:00:00;0.0
Objeto 28;158.4;80.71;196.25;9:06:56;21.53;73;0:00:00;0.0;247;125.86;1017;518.21;611;311.33;73;37.2;0:00:00;0.0
Objeto 29;28.22;13.38;210.85;12:50:33;16.42;83;0:00:15;0.03;5;2.37;270;128.05;983;466.2;0;0.0;0:15:58;2.07
Objeto 30;33.09;13.6;243.39;13:50:27;17.58;87;0:00:44;0.09;10;4.11;303;124.49;885;363.62;1;0.41;0:44:41;5.38
Objeto 31;312.06;139.0;224.51;13:47:07;16.29;98;0:03:39;0.44;484;215.58;1514;674.35;1086;483.72;608;270.81;2:05:06;15.12
Objeto 32;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 33;187.21;91.55;204.49;12:02:04;16.99;81;0:00:01;0.0;332;162.36;1126;550.64;609;297.82;82;40.1;0:41:42;5.78
Objeto 34;388.48;128.71;301.83;17:32:23;17.21;96;0:01:06;0.1;734;243.18;1782;590.39;1045;346.22;625;207.07;0:20:17;1.93
Objeto 35;205.97;100.64;204.65;3:57:01;51.81;90;0:01:58;0.83;370;180.79;1041;508.67;648;316.63;229;111.9;0:00:00;0.0
Objeto 36;175.2;68.53;255.64;13:46:07;18.57;79;0:00:00;0.0;289;113.05;995;389.22;631;246.83;179;70.02;0:33:59;4.11
Objeto 37;129.67;19.61;661.06;8:12:05;80.6;83;0:00:04;0.01;201;30.41;739;111.79;448;67.77;155;23.45;1:25:16;17.33
Objeto 38;0.1;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;1;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 39;15.9;11.56;137.52;10:23:20;13.24;69;0:00:00;0.0;1;0.73;154;111.99;533;387.59;3;2.18;0:10:00;1.6
Objeto 40;214.82;80.31;267.48;13:40:58;19.55;99;0:02:40;0.32;422;157.77;1131;422.84;725;271.05;146;54.58;0:35:24;4.31
Objeto 41;10.8;208.49;5.18;0:46:04;6.75;29;0:00:00;0.0;20;386.1;60;1158.3;14;270.27;8;154.44;0:00:00;0.0
Objeto 42;29.0;244.99;11.84;1:28:05;8.06;66;0:00:00;0.0;51;430.85;176;1486.86;124;1047.56;12;101.38;0:09:54;11.24
Objeto 43;133.13;63.7;209.0;11:08:32;18.76;105;0:00:02;0.0;191;91.39;877;419.61;440;210.52;72;34.45;0:33:57;5.08
Objeto 44;111.8;328823.53;0.03;0:00:14;8.74;92;0:00:38;271.43;207;608823.53;449;1320588.24;632;1858823.53;255;750000.0;0:00:00;0.0
Objeto 45;265.84;105.6;251.75;12:47:12;19.69;95;0:00:39;0.08;425;168.82;1274;506.07;677;268.92;523;207.75;0:23:12;3.02
Objeto 46;174.54;79.17;220.47;12:53:02;17.11;84;0:00:23;0.05;319;144.69;959;434.99;508;230.42;145;65.77;0:22:42;2.94
Objeto 47;0.8;7.86;10.18;0:36:09;16.9;45;0:00:00;0.0;0;0.0;8;78.56;38;373.17;0;0.0;0:00:00;0.0
Objeto 48;303.93;100.17;303.41;14:53:53;20.37;98;0:05:01;0.56;581;191.49;1480;487.79;1109;365.51;344;113.38;0:18:16;2.04
Objeto 49;0.4;8000.0;0.01;0:00:48;0.37;0;0:00:00;0.0;0;0.0;4;80000.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 50;2.8;6.51;43.04;0:00:00;0.0;74;0:00:00;0.0;0;0.0;11;25.56;5;11.62;17;39.5;0:00:00;0.0
Objeto 51;263.59;90.76;290.41;16:46:36;17.31;88;0:01:06;0.11;501;172.51;1290;444.2;900;309.91;335;115.35;0:35:20;3.51
Objeto 52;30.0;15.09;198.83;11:15:33;17.66;75;0:00:00;0.0;6;3.02;288;144.85;856;430.51;0;0.0;0:07:15;1.07
Objeto 53;158.14;77.35;204.44;14:02:20;14.56;87;0:00:46;0.09;239;116.9;982;480.33;513;250.92;115;56.25;0:31:45;3.77
Objeto 54;83.58;27.75;301.21;16:51:06;17.87;96;0:01:43;0.17;74;24.57;673;223.44;1424;472.77;0;0.0;0:27:57;2.76
Objeto 55;51.45;28.11;183.03;12:17:38;14.89;146;0:00:30;0.07;53;28.96;341;186.3;805;439.81;62;33.87;0:00:00;0.0
Objeto 56;334.68;91.1;367.37;19:11:27;19.14;122;0:11:59;1.04;635;172.85;1730;470.91;1564;425.73;243;66.15;1:55:16;10.01
Objeto 57;195.53;86.78;225.33;12:31:14;18.0;95;0:01:33;0.21;385;170.86;1075;477.08;677;300.45;97;43.05;0:26:49;3.57
Objeto 58;333.22;124.95;266.69;13:56:47;19.12;95;0:01:16;0.15;524;196.48;1606;602.2;1105;414.34;667;250.1;0:15:16;1.82
Objeto 59;0.0;0.0;-0.58;0:02:25;-14.42;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 60;33.81;16.52;204.74;12:00:03;17.06;81;0:00:01;0.0;12;5.86;313;152.87;857;418.57;1;0.49;0:31:06;4.32
Objeto 61;432.37;204.58;211.34;14:19:22;14.76;82;0:00:05;0.01;827;391.31;1706;807.22;1075;508.65;963;455.66;1:49:20;12.72
Objeto 62;131.3;67.95;193.24;11:56:47;16.18;78;0:00:00;0.0;185;95.73;859;444.52;505;261.33;84;43.47;0:34:56;4.87
Objeto 63;14.1;34.01;41.46;2:47:34;14.84;80;0:00:00;0.0;17;41.01;100;241.21;54;130.25;7;16.88;1:03:42;38.01
Objeto 64;261.63;124.51;210.13;13:40:46;15.36;85;0:00:24;0.05;472;224.62;1524;725.25;1083;515.39;143;68.05;1:48:47;13.25
Objeto 65;84.41;88.81;95.05;11:38:37;8.16;86;0:00:22;0.05;138;145.19;498;523.96;344;361.93;67;70.49;5:52:58;50.52
Objeto 66;4.4;10.56;41.65;3:18:12;12.61;70;0:00:00;0.0;1;2.4;42;100.83;172;412.93;0;0.0;0:11:03;5.58
Objeto 67;109.97;63.07;174.37;9:29:03;18.39;87;0:01:03;0.18;198;113.55;635;364.17;431;247.18;60;34.41;0:21:20;3.75
Objeto 68;34.1;16.61;205.33;13:09:19;15.61;85;0:00:00;0.0;9;4.38;322;156.82;907;441.73;1;0.49;0:42:20;5.36
Objeto 69;108.68;90.81;119.67;8:21:34;14.32;82;0:00:13;0.04;175;146.23;644;538.13;273;228.12;91;76.04;0:41:01;8.18
