Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;305.3;154.66;197.4;9:57:27;19.82;76;0:00:00;0.0;617;312.56;1353;685.4;1157;586.11;466;236.07;0:21:44;3.64
Objeto 2;333.57;104.5;319.22;10:43:40;29.76;104;0:02:38;0.41;644;201.74;1631;510.93;1205;377.48;350;109.64;0:08:54;1.38
Objeto 3;141.8;0.0;0.0;15:54:33;0.0;0;0:00:00;0.0;14;0.0;343;0.0;123;0.0;1047;0.0;14:37:20;91.91
Objeto 4;181.2;96.17;188.42;9:27:30;19.92;80;0:00:00;0.0;282;149.66;1093;580.08;570;302.51;155;82.26;0:00:00;0.0
Objeto 5;492.23;161.6;304.59;11:07:41;27.37;96;0:00:59;0.15;946;310.58;2049;672.71;1300;426.8;969;318.13;0:00:00;0.0
Objeto 6;146.2;77.6;188.41;2:46:06;68.06;80;0:00:00;0.0;235;124.73;853;452.73;558;296.16;139;73.77;0:00:00;0.0
Objeto 7;685.93;356.82;192.23;11:35:23;16.59;95;0:02:01;0.29;1367;711.12;2532;1317.15;2366;1230.8;1576;819.84;0:24:03;3.46
Objeto 8;186.37;114.21;163.18;3:30:47;46.45;85;0:00:28;0.22;233;142.79;1179;722.54;787;482.3;204;125.02;0:09:00;4.27
Objeto 9;130.0;92.14;141.1;10:56:55;12.89;73;0:00:00;0.0;140;99.22;893;632.91;588;416.74;127;90.01;1:10:41;10.76
Objeto 10;0.6;5.67;10.58;0:42:23;14.97;79;0:00:00;0.0;0;0.0;6;56.73;18;170.2;0;0.0;0:00:00;0.0
Objeto 11;34.43;21.57;159.63;9:49:30;16.25;90;0:00:31;0.09;18;11.28;304;190.44;702;439.76;0;0.0;0:00:00;0.0
Objeto 12;1.3;396.34;0.33;0:10:35;1.86;15;0:00:00;0.0;1;304.88;9;2743.9;2;609.76;2;609.76;0:00:00;0.0
Objeto 13;117.15;34.07;343.89;17:06:12;20.11;103;0:05:11;0.51;158;45.94;809;235.25;1564;454.8;1;0.29;0:21:42;2.11
Objeto 14;0.35;;;0:32:35;;118;0:00:07;0.36;0;;0;;1;;0;;0:24:47;76.06
Objeto 15;46.6;22.69;205.41;12:49:59;16.01;105;0:03:29;0.45;29;14.12;379;184.51;901;438.63;0;0.0;0:31:45;4.12
Objeto 16;235.76;139.71;168.74;7:57:21;21.21;82;0:00:04;0.01;419;248.31;1005;595.58;631;373.94;514;304.61;0:18:43;3.92
Objeto 17;68.59;136.73;50.17;2:10:32;23.06;84;0:00:06;0.08;48;95.68;325;647.82;77;153.48;262;522.25;0:06:53;5.27
Objeto 18;126.51;126.72;99.83;6:33:20;15.23;90;0:02:04;0.53;261;261.44;618;619.04;463;463.78;107;107.18;0:28:39;7.28
Objeto 19;355.89;142.44;249.86;11:28:56;21.76;83;0:00:14;0.03;739;295.77;1688;675.59;910;364.21;390;156.09;0:07:41;1.12
Objeto 20;376.37;190.84;197.22;7:14:01;27.26;94;0:01:51;0.43;864;438.09;1491;756.02;1311;664.75;518;262.65;0:00:00;0.0
