Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;350.31;177.44;197.42;6:32:32;30.18;95;0:00:29;0.12;695;352.04;1311;664.06;1038;525.78;797;403.71;0:17:35;4.48
Objeto 2;509.61;145.71;349.75;13:10:16;26.55;122;0:04:25;0.56;1021;291.92;2107;602.43;1632;466.62;858;245.32;0:32:47;4.15
Objeto 3;7.0;0.0;0.0;2:14:25;0.0;0;0:00:00;0.0;9;0.0;27;0.0;8;0.0;25;0.0;0:06:53;5.12
Objeto 4;166.7;87.85;189.76;9:12:39;20.6;76;0:00:00;0.0;269;141.76;964;508.01;491;258.75;165;86.95;0:08:34;1.55
Objeto 5;477.14;157.38;303.18;10:20:02;29.34;90;0:01:16;0.2;917;302.46;1967;648.79;1275;420.54;951;313.67;0:00:00;0.0
Objeto 6;121.9;62.75;194.26;2:58:46;65.2;79;0:00:00;0.0;178;91.63;750;386.09;426;219.3;113;58.17;0:00:00;0.0
Objeto 7;651.05;337.91;192.67;10:18:54;18.68;85;0:00:49;0.13;1291;670.06;2246;1165.73;2201;1142.37;1675;869.37;0:16:06;2.6
Objeto 8;29.4;225.93;13.01;0:30:12;25.85;47;0:00:00;0.0;46;353.49;196;1506.19;230;1767.46;6;46.11;0:00:00;0.0
Objeto 9;14.7;51.09;28.77;1:33:09;18.53;54;0:00:00;0.0;4;13.9;138;479.67;65;225.93;1;3.48;0:00:00;0.0
Objeto 10;67.19;20.12;333.89;17:47:51;18.76;95;0:00:39;0.06;45;13.48;576;172.51;1446;433.08;0;0.0;0:36:44;3.44
Objeto 11;51.87;24.64;210.53;12:47:09;16.47;92;0:00:47;0.1;30;14.25;449;213.27;1053;500.17;1;0.47;0:00:00;0.0
Objeto 12;8.2;247.44;3.31;0:32:32;6.11;28;0:00:00;0.0;13;392.28;40;1207.0;19;573.33;16;482.8;0:00:00;0.0
