Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;145.5;118.78;122.5;7:43:11;15.87;80.0;0:00:00;0.0;158.0;128.98;538.0;439.18;274.0;223.67;601.0;490.61;0:06:20;1.37
Objeto 2;395.41;140.27;281.89;12:23:22;22.75;106.0;0:04:15;0.57;812.0;288.06;1660.0;588.89;1266.0;449.12;619.0;219.59;0:18:53;2.54
Objeto 3;17.6;;;0:44:27;;55.0;0:00:00;0.0;29.0;;93.0;;39.0;;25.0;;0:00:00;0.0
Objeto 4;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 5;32.2;108.45;29.69;2:18:42;12.84;59.0;0:00:00;0.0;51.0;171.77;191.0;643.29;104.0;350.27;29.0;97.67;0:00:00;0.0
Objeto 6;563.43;171.31;328.91;15:35:49;21.09;98.0;0:01:28;0.16;1114.0;338.7;2283.0;694.12;1438.0;437.21;1108.0;336.88;0:08:35;0.92
Objeto 7;133.01;65.53;202.98;2:01:53;99.92;81.0;0:00:02;0.03;172.0;84.74;847.0;417.29;494.0;243.38;138.0;67.99;0:00:00;0.0
Objeto 8;18.6;299.28;6.22;1:22:10;4.54;39.0;0:00:00;0.0;14.0;225.26;106.0;1705.55;41.0;659.69;52.0;836.69;0:33:14;40.45
Objeto 9;192.24;119.79;160.48;2:00:55;79.63;82.0;0:00:05;0.07;291.0;181.33;1134.0;706.63;792.0;493.52;205.0;127.74;0:00:00;0.0
Objeto 10;372.5;199.76;186.48;11:43:08;15.91;78.0;0:00:00;0.0;613.0;328.73;1887.0;1011.93;1025.0;549.67;612.0;328.19;1:38:01;13.94
Objeto 11;1.7;12.25;13.88;0:43:50;19.0;71.0;0:00:00;0.0;1.0;7.21;15.0;108.09;30.0;216.19;0.0;0.0;0:00:00;0.0
Objeto 12;56.01;24.79;225.98;12:26:55;18.15;88.0;0:00:36;0.08;41.0;18.14;471.0;208.43;1102.0;487.66;1.0;0.44;0:00:00;0.0
Objeto 13;468.5;275.39;170.12;11:35:46;14.67;87.0;0:00:19;0.05;890.0;523.15;1752.0;1029.84;1323.0;777.67;1150.0;675.98;0:53:28;7.68
Objeto 14;87.79;26.67;329.2;17:13:40;19.11;90.0;0:01:14;0.12;90.0;27.34;685.0;208.08;1428.0;433.78;2.0;0.61;0:44:42;4.32
Objeto 15;46.89;;;19:09:22;;94.0;0:02:07;0.18;28.0;;395.0;;1001.0;;0.0;;6:00:23;31.35
Objeto 16;22.34;21.16;105.58;6:11:41;17.04;93.0;0:01:22;0.37;16.0;15.15;180.0;170.49;450.0;426.23;0.0;0.0;0:29:43;8.0
Objeto 17;318.73;133.13;239.41;12:15:15;19.54;91.0;0:00:19;0.04;568.0;237.25;1445.0;603.56;920.0;384.27;603.0;251.87;0:36:46;5.0
Objeto 18;784.78;355.82;220.56;11:11:45;19.7;85.0;0:00:12;0.03;1526.0;691.88;3678.0;1667.59;1995.0;904.52;1116.0;505.99;0:06:47;1.01
Objeto 19;314.46;132.72;236.94;13:00:46;18.21;93.0;0:02:37;0.34;709.0;299.23;1547.0;652.91;1432.0;604.37;152.0;64.15;0:15:58;2.04
Objeto 20;304.2;122.0;249.35;11:51:26;21.03;77.0;0:00:00;0.0;576.0;231.0;1627.0;652.5;733.0;293.97;263.0;105.48;0:15:29;2.18
Objeto 21;611.83;203.3;300.94;9:40:39;31.1;103.0;0:01:44;0.3;1369.0;454.9;2502.0;831.39;1897.0;630.35;858.0;285.1;0:08:04;1.39
Objeto 22;164.6;82.5;199.52;10:29:19;19.02;80.0;0:00:00;0.0;232.0;116.28;1127.0;564.86;797.0;399.46;55.0;27.57;0:14:14;2.26
Objeto 23;245.31;128.86;190.37;8:58:09;21.22;87.0;0:01:22;0.25;472.0;247.94;1164.0;611.45;1054.0;553.67;333.0;174.93;0:00:00;0.0
Objeto 24;97.78;55.41;176.49;9:49:42;17.96;90.0;0:00:57;0.16;75.0;42.5;447.0;253.28;257.0;145.62;373.0;211.35;0:18:56;3.21
Objeto 25;130.51;62.31;209.45;10:50:22;19.32;82.0;0:00:01;0.0;161.0;76.87;848.0;404.87;460.0;219.62;135.0;64.45;0:28:39;4.41
Objeto 26;308.57;232.6;132.67;9:51:48;13.45;85.0;0:00:34;0.1;623.0;469.6;1234.0;930.16;1062.0;800.51;601.0;453.02;1:18:58;13.34
Objeto 27;298.4;153.42;194.5;12:50:34;15.14;81.0;0:00:00;0.0;658.0;338.3;1570.0;807.2;1549.0;796.4;98.0;50.39;0:43:21;5.63
Objeto 28;85.36;42.75;199.7;6:59:04;28.59;83.0;0:00:04;0.02;103.0;51.58;621.0;310.97;331.0;165.75;23.0;11.52;0:00:00;0.0
Objeto 29;136.9;80.69;169.66;9:13:29;18.39;78.0;0:00:00;0.0;221.0;130.26;861.0;507.49;487.0;287.05;66.0;38.9;0:32:01;5.78
Objeto 30;25.9;14.03;184.57;11:14:50;16.41;73.0;0:00:00;0.0;6.0;3.25;247.0;133.83;821.0;444.83;0.0;0.0;0:00:00;0.0
