Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;320.68;159.57;200.97;12:06:06;16.61;93;0:00:32;0.07;597;297.06;1419;706.09;975;485.15;589;293.08;0:00:00;0.0
Objeto 2;297.24;136.09;218.42;8:23:47;26.01;94;0:02:28;0.49;576;263.71;1323;605.71;956;437.68;459;210.14;0:00:00;0.0
Objeto 3;24.9;0.0;0.0;4:53:48;0.0;0;0:00:00;0.0;12;0.0;79;0.0;30;0.0;146;0.0;3:34:06;72.87
Objeto 4;8.1;134.55;6.02;0:55:42;6.48;31;0:00:00;0.0;12;199.34;54;897.01;15;249.17;3;49.83;0:06:32;11.73
Objeto 5;529.72;170.43;310.81;12:14:04;25.4;95;0:01:19;0.18;1059;340.73;2173;699.15;1363;438.54;991;318.85;0:00:00;0.0
Objeto 6;130.09;61.28;212.28;1:35:32;133.32;84;0:00:04;0.07;192;90.45;776;365.55;458;215.75;128;60.3;0:00:00;0.0
Objeto 7;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 8;266.83;117.9;226.33;6:04:12;37.29;84;0:00:07;0.03;375;165.69;1460;645.09;980;433.01;225;99.41;0:00:00;0.0
Objeto 9;301.1;151.23;199.11;11:55:56;16.69;71;0:00:00;0.0;870;436.95;1194;599.68;2193;1101.42;77;38.67;0:20:53;2.92
Objeto 10;78.57;21.37;367.67;19:20:16;19.01;87;0:00:05;0.01;32;8.7;720;195.83;1756;477.6;1;0.27;0:29:32;2.55
Objeto 11;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 12;537.5;253.77;211.8;12:23:10;17.1;80;0:00:00;0.0;930;439.09;2220;1048.14;1419;669.96;1295;611.42;0:28:56;3.89
Objeto 13;103.59;28.75;360.32;19:30:41;18.47;109;0:05:35;0.48;81;22.48;811;225.08;1660;460.7;1;0.28;0:45:58;3.93
Objeto 14;32.51;;;10:21:30;;100;0:01:24;0.23;16;;281;;771;;0;;0:21:01;3.38
Objeto 15;96.03;25.29;379.73;8:47:14;43.21;102;1:28:27;16.78;9;2.37;100;26.33;251;66.1;0;0.0;0:31:42;6.01
Objeto 16;279.95;141.47;197.89;10:18:34;19.2;86;0:00:21;0.06;492;248.62;1208;610.44;814;411.34;604;305.22;0:26:56;4.35
Objeto 17;96.13;194.57;49.41;2:09:32;22.89;84;0:00:07;0.09;153;309.67;552;1117.25;213;431.11;102;206.45;0:00:00;0.0
Objeto 18;296.71;127.19;233.29;12:38:43;18.45;90;0:01:36;0.21;625;267.91;1562;669.55;1352;579.54;141;60.44;0:32:48;4.32
Objeto 19;268.8;119.83;224.31;11:45:48;19.07;79;0:00:00;0.0;524;233.6;1348;600.95;616;274.62;292;130.18;0:43:36;6.18
Objeto 20;603.23;190.21;317.15;11:47:01;26.91;85;0:00:41;0.1;1376;433.87;2554;805.31;2029;639.77;717;226.08;0:00:00;0.0
Objeto 21;0.2;1538.46;0.01;0:00:27;1.73;0;0:00:00;0.0;0;0.0;2;15384.62;0;0.0;0;0.0;0:00:00;0.0
Objeto 22;210.53;120.99;174.0;9:35:18;18.15;83;0:00:09;0.03;363;208.62;959;551.14;1074;617.23;419;240.8;0:42:56;7.46
Objeto 23;270.98;99.29;272.91;16:53:03;16.16;96;0:03:00;0.3;483;176.98;1300;476.34;1272;466.08;418;153.16;1:14:44;7.38
Objeto 24;159.85;68.97;231.75;11:45:31;19.71;86;0:00:59;0.14;265;114.35;877;378.42;553;238.62;179;77.24;0:06:10;0.87
Objeto 25;534.96;240.0;222.89;13:51:29;16.08;81;0:00:04;0.01;856;384.04;2535;1137.31;1533;687.77;1102;494.41;0:51:32;6.2
Objeto 26;198.6;148.61;133.63;9:12:46;14.51;82;0:00:07;0.02;444;332.25;1038;776.75;1045;781.99;59;44.15;0:18:51;3.41
Objeto 27;109.7;56.42;194.45;7:29:21;25.96;81;0:00:00;0.0;161;82.8;767;394.45;523;268.97;8;4.11;0:00:00;0.0
Objeto 28;131.2;79.15;165.75;7:57:28;20.83;78;0:00:00;0.0;219;132.12;812;489.89;513;309.5;62;37.41;0:07:23;1.55
Objeto 29;22.2;14.04;158.1;10:33:05;14.98;77;0:00:00;0.0;3;1.9;216;136.63;740;468.07;0;0.0;0:45:09;7.13
Objeto 30;0.3;2.54;11.79;1:12:13;9.79;73;0:00:00;0.0;0;0.0;3;25.45;42;356.26;0;0.0;0:06:58;9.65
Objeto 31;455.98;183.03;249.13;19:56:14;12.5;101;0:01:58;0.16;771;309.48;2067;829.7;1401;562.36;934;374.91;6:09:23;30.88
Objeto 32;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 33;161.8;79.55;203.4;11:32:28;17.62;81;0:00:00;0.0;273;134.22;1002;492.64;561;275.82;70;34.42;0:14:15;2.06
Objeto 34;206.07;73.8;279.24;11:16:20;24.77;99;0:15:29;2.29;328;117.46;1077;385.69;511;183.0;198;70.91;0:52:43;7.79
Objeto 35;220.41;99.29;221.99;6:29:10;34.23;95;0:00:17;0.07;369;166.22;1191;536.51;721;324.79;271;122.08;0:00:00;0.0
Objeto 36;165.04;63.73;258.96;14:05:47;18.37;96;0:02:02;0.24;257;99.24;1060;409.33;727;280.74;59;22.78;0:37:40;4.45
