Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;295.63;138.47;213.49;11:30:32;18.55;86.0;0:00:14;0.03;410.0;192.04;1016.0;475.89;688.0;322.26;1118.0;523.67;0:35:01;5.07
Objeto 2;4.6;115.96;3.97;0:25:32;9.32;69.0;0:00:00;0.0;7.0;176.46;28.0;705.82;14.0;352.91;4.0;100.83;0:00:00;0.0
Objeto 3;410.58;;;10:30:59;;94.0;0:00:20;0.05;800.0;;1332.0;;994.0;;1171.0;;1:54:04;18.08
Objeto 4;217.19;90.14;240.95;13:39:31;17.64;95.0;0:01:19;0.16;443.0;183.86;1151.0;477.7;774.0;321.23;123.0;51.05;1:39:00;12.08
Objeto 5;121.5;104.11;116.71;6:55:59;16.83;71.0;0:00:00;0.0;181.0;155.09;665.0;569.79;329.0;281.9;188.0;161.08;0:00:00;0.0
Objeto 6;499.85;166.81;299.66;14:13:11;21.07;92.0;0:01:07;0.13;1056.0;352.4;2098.0;700.12;1407.0;469.53;774.0;258.29;0:08:15;0.97
Objeto 7;86.1;60.01;143.47;0:54:02;159.31;71.0;0:00:00;0.0;104.0;72.49;540.0;376.4;337.0;234.9;113.0;78.76;0:00:00;0.0
Objeto 8;389.23;385.88;100.87;5:25:50;18.57;97.0;0:00:48;0.25;855.0;847.64;1191.0;1180.75;1272.0;1261.05;981.0;972.56;0:56:46;17.42
Objeto 9;189.82;116.97;162.28;1:54:15;85.22;86.0;0:00:20;0.29;295.0;181.79;1097.0;676.0;804.0;495.45;201.0;123.86;0:00:00;0.0
Objeto 10;112.8;128.27;87.94;4:35:20;19.16;63.0;0:00:00;0.0;181.0;205.83;656.0;745.99;390.0;443.5;110.0;125.09;0:13:02;4.73
Objeto 11;71.94;20.97;343.06;18:00:08;19.06;88.0;0:00:10;0.02;49.0;14.28;620.0;180.72;1484.0;432.57;0.0;0.0;0:43:55;4.07
Objeto 12;51.55;22.6;228.11;12:22:29;18.43;86.0;0:00:25;0.06;33.0;14.47;446.0;195.52;1030.0;451.53;0.0;0.0;0:07:04;0.95
Objeto 13;466.87;273.25;170.86;12:20:03;13.85;83.0;0:00:17;0.04;833.0;487.55;1838.0;1075.76;1296.0;758.53;1161.0;679.52;1:28:35;11.97
Objeto 14;84.48;25.11;336.48;17:24:25;19.33;95.0;0:02:59;0.29;70.0;20.8;674.0;200.31;1456.0;432.71;3.0;0.89;0:12:59;1.24
Objeto 15;33.24;;;18:31:12;;89.0;0:01:23;0.12;19.0;;282.0;;749.0;;0.0;;8:09:27;44.05
Objeto 16;45.65;22.34;204.3;12:40:13;16.12;91.0;0:01:01;0.13;26.0;12.73;396.0;193.83;901.0;441.01;0.0;0.0;0:22:16;2.93
Objeto 17;215.32;118.38;181.9;9:38:00;18.88;84.0;0:00:16;0.05;367.0;201.76;979.0;538.21;580.0;318.86;438.0;240.79;0:30:47;5.33
Objeto 18;336.7;338.11;99.58;5:05:39;19.55;70.0;0:00:00;0.0;618.0;620.58;1676.0;1683.0;812.0;815.39;455.0;456.9;0:00:00;0.0
Objeto 19;64.71;148.8;43.49;3:05:31;14.06;88.0;0:00:15;0.13;139.0;319.63;344.0;791.02;274.0;630.06;23.0;52.89;0:26:58;14.54
Objeto 20;297.7;119.33;249.47;11:56:14;20.9;78.0;0:00:00;0.0;601.0;240.91;1543.0;618.51;749.0;300.24;232.0;93.0;0:24:26;3.41
Objeto 21;452.11;212.61;212.65;8:03:50;26.37;101.0;0:03:05;0.64;1046.0;491.9;1742.0;819.2;1320.0;620.75;647.0;304.26;0:00:00;0.0
Objeto 22;167.62;84.59;198.16;10:29:42;18.88;81.0;0:00:01;0.0;246.0;124.14;1124.0;567.22;913.0;460.74;60.0;30.28;0:31:27;4.99
Objeto 23;163.5;82.86;197.33;12:11:12;16.19;75.0;0:00:00;0.0;222.0;112.5;1087.0;550.86;840.0;425.69;104.0;52.7;1:00:54;8.33
Objeto 24;86.91;79.7;109.05;11:42:15;9.32;82.0;0:00:08;0.02;82.0;75.2;300.0;275.11;244.0;223.76;404.0;370.49;3:17:22;28.1
Objeto 25;200.8;77.07;260.54;11:32:37;22.57;91.0;0:00:35;0.08;350.0;134.34;1198.0;459.82;709.0;272.13;104.0;39.92;0:09:00;1.3
Objeto 26;558.2;275.75;202.43;13:46:57;14.69;79.0;0:00:00;0.0;1018.0;502.9;2315.0;1143.62;1595.0;787.94;1231.0;608.12;0:55:46;6.74
Objeto 27;284.11;168.48;168.64;12:02:39;14.0;82.0;0:00:01;0.0;602.0;356.98;1529.0;906.69;1536.0;910.84;108.0;64.04;0:52:36;7.28
Objeto 28;75.97;37.98;200.01;4:19:08;46.31;82.0;0:00:05;0.03;75.0;37.5;581.0;290.48;294.0;146.99;28.0;14.0;0:00:00;0.0
Objeto 29;134.1;78.87;170.02;8:53:23;19.13;78.0;0:00:00;0.0;218.0;128.22;836.0;491.71;506.0;297.61;69.0;40.58;0:00:00;0.0
