Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;412.14;202.96;203.06;10:07:05;20.07;87;0:00:10;0.03;881;433.86;1719;846.54;1498;737.71;639;314.68;0:00:00;0.0
Objeto 2;391.39;112.31;348.48;8:43:49;39.92;103;0:03:50;0.73;667;191.4;1701;488.12;1230;352.96;399;114.5;0:06:36;1.26
Objeto 3;192.5;0.0;0.0;14:05:45;0.0;0;0:00:00;0.0;149;0.0;648;0.0;301;0.0;979;0.0;12:31:27;88.85
Objeto 4;34.8;196.11;17.75;1:25:28;12.46;58;0:00:00;0.0;54;304.31;205;1155.26;109;614.26;35;197.24;0:00:00;0.0
Objeto 5;484.95;160.25;302.62;10:43:36;28.21;88;0:00:33;0.09;939;310.29;2020;667.5;1271;420.0;941;310.95;0:00:00;0.0
Objeto 6;116.4;69.43;167.66;2:54:38;57.6;73;0:00:00;0.0;162;96.63;741;441.97;444;264.83;99;59.05;0:00:00;0.0
Objeto 7;726.0;371.05;195.66;12:58:32;15.08;85;0:00:07;0.01;1496;764.58;2425;1239.37;2332;1191.84;1842;941.41;1:07:32;8.67
Objeto 8;13.6;175.51;7.75;0:22:58;20.24;37;0:00:00;0.0;21;271.0;89;1148.54;93;1200.15;5;64.52;0:00:00;0.0
Objeto 9;22.3;55.92;39.88;2:15:45;17.63;74;0:00:00;0.0;20;50.15;170;426.31;114;285.88;13;32.6;0:13:05;9.64
Objeto 10;67.8;23.16;292.7;16:13:46;18.03;94;0:01:09;0.12;50;17.08;567;193.72;1309;447.22;1;0.34;0:25:39;2.63
Objeto 11;33.0;17.92;184.14;10:16:17;17.93;93;0:00:43;0.12;14;7.6;296;160.75;737;400.25;0;0.0;0:15:46;2.56
Objeto 12;4.6;183.05;2.51;0:39:22;3.83;29;0:00:00;0.0;3;119.38;31;1233.59;6;238.76;9;358.14;0:00:00;0.0
Objeto 13;110.97;31.76;349.4;18:46:34;18.61;98;0:05:51;0.52;117;33.49;820;234.69;1709;489.13;0;0.0;0:14:24;1.28
Objeto 14;0.4;;;0:13:26;;72;0:00:00;0.0;0;;4;;5;;0;;0:00:00;0.0
Objeto 15;50.85;14.17;358.96;3:52:41;92.56;98;0:01:30;0.64;79;22.01;269;74.94;238;66.3;69;19.22;0:42:03;18.07
Objeto 16;43.49;20.62;210.96;13:39:04;15.45;96;0:01:33;0.19;21;9.95;380;180.13;1040;492.99;0;0.0;0:26:12;3.2
Objeto 17;0.0;0.0;0.03;0:00:32;3.71;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 18;555.1;334.04;166.18;9:50:18;16.89;80;0:00:00;0.0;1100;661.94;2792;1680.12;1531;921.3;559;336.38;0:28:16;4.79
Objeto 19;267.9;131.31;204.02;12:39:27;16.12;88;0:01:05;0.14;557;273.02;1303;638.68;984;482.32;253;124.01;0:53:45;7.08
Objeto 20;342.8;152.75;224.42;11:48:39;19.0;80;0:00:00;0.0;703;313.25;1710;761.96;869;387.22;312;139.03;1:09:36;9.82
Objeto 21;377.5;181.6;207.88;7:50:57;26.48;103;0:01:09;0.24;866;416.58;1601;770.15;1310;630.17;425;204.44;0:00:00;0.0
Objeto 22;127.2;76.02;167.34;9:52:34;16.94;76;0:00:00;0.0;184;109.96;815;487.05;495;295.81;89;53.19;0:31:40;5.34
Objeto 23;146.7;77.81;188.54;11:55:52;15.8;80;0:00:00;0.0;217;115.1;963;510.78;702;372.34;70;37.13;0:38:36;5.39
Objeto 24;222.11;114.58;193.85;13:26:58;14.41;96;0:01:40;0.21;436;224.92;1130;582.93;1081;557.66;205;105.75;0:40:17;4.99
Objeto 25;238.26;90.85;262.25;11:40:10;22.47;91;0:00:36;0.09;423;161.3;1321;503.72;758;289.04;209;79.7;0:10:10;1.45
Objeto 26;188.27;220.59;85.35;7:25:19;11.5;87;0:00:18;0.07;279;326.9;892;1045.16;500;585.85;430;503.83;0:17:39;3.96
Objeto 27;151.4;87.68;172.67;4:55:21;35.08;76;0:00:00;0.0;241;139.57;1032;597.68;702;406.56;0;0.0;0:00:00;0.0
Objeto 28;137.5;81.94;167.8;8:02:51;20.85;72;0:00:00;0.0;210;125.15;894;532.78;550;327.77;61;36.35;0:08:53;1.84
Objeto 29;16.8;13.16;127.62;9:17:31;13.73;79;0:00:00;0.0;1;0.78;166;130.07;587;459.96;0;0.0;0:00:00;0.0
Objeto 30;94.97;27.73;342.52;17:30:25;19.56;95;0:03:21;0.32;106;30.95;709;207.0;1412;412.24;0;0.0;0:06:12;0.59
Objeto 31;148.76;160.97;92.42;13:07:50;7.04;95;0:00:53;0.11;259;280.26;704;761.78;496;536.71;257;278.09;4:52:46;37.16
Objeto 32;31.9;14.24;223.95;13:14:00;16.92;81;0:00:00;0.0;8;3.57;302;134.85;977;436.27;1;0.45;0:06:45;0.85
Objeto 33;160.74;80.36;200.03;12:07:57;16.49;85;0:00:10;0.02;284;141.98;968;483.93;562;280.96;70;35.0;0:43:38;5.99
Objeto 34;355.76;144.06;246.96;13:37:09;18.13;88;0:00:33;0.07;722;292.36;1569;635.33;1038;420.31;540;218.66;0:21:18;2.61
Objeto 35;214.34;98.63;217.31;13:33:02;16.04;92;0:01:04;0.13;363;167.04;1176;541.17;673;309.7;231;106.3;0:42:42;5.25
Objeto 36;140.26;65.23;215.03;13:54:14;15.47;95;0:01:38;0.2;237;110.22;850;395.29;542;252.06;65;30.23;1:08:05;8.16
Objeto 37;342.77;22.85;1500.23;17:17:05;86.79;96;0:03:24;0.33;599;39.93;1879;125.25;1170;77.99;322;21.46;1:12:15;6.97
Objeto 38;202.1;95.68;211.23;12:17:14;17.19;78;0:00:00;0.0;265;125.45;1215;575.2;595;281.68;276;130.66;0:00:00;0.0
Objeto 39;27.5;16.01;171.72;12:15:58;14.0;77;0:00:00;0.0;11;6.41;252;146.75;674;392.49;1;0.58;0:23:11;3.15
Objeto 40;115.06;71.95;159.91;8:53:23;17.99;88;0:01:02;0.19;222;138.83;631;394.6;385;240.76;67;41.9;0:51:19;9.62
Objeto 41;219.9;160.97;136.61;11:16:55;12.11;76;0:00:00;0.0;427;312.58;961;703.48;495;362.36;384;281.1;2:02:35;18.11
Objeto 42;9.6;103.02;9.32;0:39:22;14.2;51;0:00:00;0.0;12;128.77;71;761.88;52;558.0;1;10.73;0:00:00;0.0
Objeto 43;166.88;78.76;211.88;12:13:55;17.32;94;0:00:20;0.05;261;123.18;1021;481.88;545;257.22;123;58.05;0:45:38;6.22
Objeto 44;201.7;0.0;0.0;0:00:00;0.0;82;0:00:02;0.0;456;0.0;946;0.0;1511;0.0;159;0.0;0:00:00;0.0
Objeto 45;294.29;138.97;211.76;11:53:33;17.81;101;0:00:39;0.09;577;272.48;1415;668.21;856;404.23;364;171.89;0:11:56;1.67
Objeto 46;156.45;74.94;208.75;13:00:55;16.04;86;0:00:32;0.07;291;139.4;869;416.28;466;223.23;109;52.21;0:42:34;5.45
Objeto 47;28.0;13.49;207.52;11:53:42;17.45;81;0:00:00;0.0;9;4.34;262;126.25;772;372.01;0;0.0;0:15:49;2.22
Objeto 48;193.53;98.14;197.2;13:07:50;15.02;91;0:00:45;0.1;314;159.23;1155;585.7;645;327.08;146;74.04;0:51:10;6.49
Objeto 49;341.58;109.31;312.49;18:05:21;17.27;91;0:00:48;0.07;639;204.49;1775;568.02;797;255.05;356;113.92;0:56:59;5.25
Objeto 50;222.1;128.73;172.54;0:00:00;0.0;92;0:00:49;0.0;502;290.95;1191;690.29;1190;689.71;26;15.07;0:00:00;0.0
Objeto 51;261.5;0.0;0.0;17:47:56;0.0;0;0:00:00;0.0;504;0.0;1416;0.0;1049;0.0;191;0.0;15:45:09;88.5
Objeto 52;69.9;99.76;70.07;5:52:16;11.93;79;0:00:00;0.0;125;178.4;376;536.62;246;351.09;73;104.18;0:47:39;13.53
Objeto 53;22.61;21.5;105.15;6:45:12;15.57;86;0:00:12;0.05;15;14.27;194;184.5;494;469.8;0;0.0;0:00:00;0.0
Objeto 54;108.4;54.31;199.6;15:08:54;13.18;83;0:00:07;0.01;122;61.12;799;400.3;415;207.92;40;20.04;1:27:18;9.61
Objeto 55;82.34;26.38;312.09;18:46:04;16.63;95;0:02:52;0.25;85;27.24;628;201.22;1429;457.88;1;0.32;0:34:05;3.03
Objeto 56;16.96;13.64;124.34;7:41:08;16.18;89;0:00:16;0.06;9;7.24;149;119.83;460;369.94;0;0.0;0:06:38;1.44
Objeto 57;237.68;100.3;236.98;13:16:00;17.86;111;0:08:12;1.03;457;192.84;1178;497.09;1073;452.78;218;91.99;0:58:02;7.29
Objeto 58;167.45;161.48;103.7;5:49:04;17.83;96;0:01:58;0.56;314;302.79;782;754.08;487;469.61;243;234.33;0:14:25;4.13
Objeto 59;104.61;59.06;177.13;10:06:08;17.53;90;0:00:43;0.12;182;102.75;604;341.0;277;156.39;70;39.52;0:17:00;2.8
Objeto 60;292.55;115.0;254.39;14:22:05;17.71;97;0:03:09;0.37;426;167.46;1448;569.21;998;392.32;599;235.47;0:37:15;4.32
Objeto 61;29.3;15.58;188.04;9:33:29;19.67;77;0:00:00;0.0;6;3.19;281;149.44;759;403.65;0;0.0;0:43:40;7.61
Objeto 62;207.62;210.56;98.6;7:36:29;12.96;83;0:00:16;0.06;388;393.49;847;858.99;500;507.08;451;457.39;1:29:01;19.5
Objeto 63;4.6;61.46;7.49;0:40:32;11.08;74;0:00:00;0.0;6;80.16;31;414.16;13;173.68;3;40.08;0:18:47;46.34
Objeto 64;83.15;46.03;180.67;13:28:11;13.41;86;0:00:11;0.02;115;63.65;579;320.48;250;138.38;21;11.62;2:04:17;15.38
Objeto 65;221.86;74.02;299.73;17:55:59;16.71;91;0:00:19;0.03;408;136.12;1357;452.74;1081;360.66;43;14.35;1:52:08;10.42
Objeto 66;312.96;119.05;262.87;19:52:16;13.23;97;0:02:58;0.25;540;205.43;1714;652.04;1221;464.49;310;117.93;4:51:59;24.49
Objeto 67;24.59;15.54;158.24;14:13:18;11.13;85;0:00:12;0.02;7;4.42;229;144.72;703;444.27;1;0.63;1:39:25;11.65
Objeto 68;2.7;83.18;3.25;0:11:46;16.55;43;0:00:00;0.0;5;154.04;17;523.72;7;215.65;0;0.0;0:00:00;0.0
Objeto 69;42.8;23.81;179.74;12:27:26;14.43;85;0:00:00;0.0;19;10.57;389;216.43;923;513.53;1;0.56;0:09:27;1.26
Objeto 70;84.1;87.26;96.38;0:00:00;0.0;78;0:00:00;0.0;151;156.68;489;507.38;209;216.86;50;51.88;0:00:00;0.0
Objeto 71;104.99;55.72;188.43;0:50:47;222.63;87;0:00:11;0.36;161;85.44;614;325.85;353;187.34;28;14.86;0:00:00;0.0
Objeto 72;80.84;28.3;285.6;10:42:10;26.68;96;0:03:00;0.47;74;25.91;611;213.94;1337;468.14;1;0.35;0:00:00;0.0
Objeto 73;145.5;87.5;166.28;10:57:56;15.16;82;0:00:07;0.02;207;124.49;946;568.94;500;300.71;94;56.53;0:57:00;8.66
Objeto 74;150.83;74.46;202.57;13:35:16;14.91;82;0:00:02;0.0;263;129.83;912;450.22;470;232.02;70;34.56;0:21:57;2.69
Objeto 75;263.92;129.19;204.29;4:53:35;41.75;82;0:00:01;0.01;465;227.62;1621;793.5;1264;618.74;88;43.08;0:00:00;0.0
Objeto 76;132.6;63.69;208.21;11:59:03;17.37;86;0:00:47;0.11;240;115.27;816;391.91;645;309.78;23;11.05;0:40:15;5.6
Objeto 77;29.61;18.35;161.38;11:07:50;14.5;81;0:00:01;0.0;1;0.62;294;182.18;747;462.89;0;0.0;1:02:46;9.4
Objeto 78;515.06;179.05;287.67;16:02:44;17.93;85;0:00:20;0.03;946;328.85;1914;665.35;1369;475.9;1341;466.17;0:12:06;1.26
Objeto 79;15.9;8.07;197.04;12:35:44;15.64;67;0:00:00;0.0;3;1.52;153;77.65;545;276.59;0;0.0;0:00:00;0.0
Objeto 80;58.2;32.26;180.41;10:19:54;17.46;99;0:03:56;0.63;43;23.83;446;247.21;1020;565.37;17;9.42;0:21:19;3.44
Objeto 81;320.74;139.33;230.2;2:41:16;85.65;90;0:00:48;0.5;683;296.7;1625;705.91;1193;518.25;100;43.44;0:00:00;0.0
Objeto 82;346.78;128.63;269.6;15:14:06;17.7;101;0:02:00;0.22;736;273.0;1696;629.09;1423;527.83;281;104.23;0:42:30;4.65
Total;13687.57;86.97;15738.91;818:39:39;19.23;111;1:08:52;0.14;24160;153.5;71780;456.07;61818;392.77;15500;98.48;75:30:36;9.22
