Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 1;146.9;132.75;110.66;6:42:33;16.49;75;0:00:00;0.0;205;185.25;602;544.01;375;338.88;457;412.98;0:23:38;5.87
Objeto 2;338.36;117.92;286.94;12:20:54;23.24;92;0:02:00;0.27;639;222.7;1624;565.98;1224;426.58;454;158.22;0:16:00;2.16
Objeto 3;14.6;0.0;0.0;3:37:07;0.0;0;0:00:00;0.0;6;0.0;83;0.0;25;0.0;51;0.0;3:04:57;85.18
Objeto 4;127.3;103.64;122.83;6:58:01;17.63;76;0:00:00;0.0;196;159.58;760;618.76;382;311.01;121;98.51;0:00:00;0.0
Objeto 5;305.24;169.68;179.9;7:05:33;25.36;99;0:00:34;0.13;573;318.52;1230;683.72;733;407.46;668;371.32;0:07:58;1.87
Objeto 6;113.9;66.61;170.99;1:57:31;87.3;74;0:00:00;0.0;154;90.06;718;419.91;392;229.25;113;66.09;0:07:20;6.24
Objeto 7;592.57;302.27;196.04;11:23:01;17.22;87;0:00:20;0.05;1130;576.41;2532;1291.56;2162;1102.82;1129;575.9;0:31:38;4.63
Objeto 8;193.1;98.28;196.49;1:06:19;177.77;80;0:00:00;0.0;247;125.71;1260;641.26;848;431.58;177;90.08;0:00:00;0.0
Objeto 9;39.4;40.95;96.2;4:25:52;21.71;64;0:00:00;0.0;25;25.99;338;351.34;237;246.35;6;6.24;0:24:31;9.22
Objeto 10;12.9;7.41;174.06;9:55:41;17.53;68;0:00:00;0.0;0;0.0;128;73.54;636;365.38;1;0.57;0:07:39;1.28
Objeto 11;40.74;20.81;195.79;11:05:38;17.65;87;0:00:10;0.03;22;11.24;362;184.89;899;459.17;0;0.0;0:00:00;0.0
Objeto 12;555.4;285.39;194.61;13:19:55;14.6;77;0:00:00;0.0;1155;593.49;2150;1104.77;1575;809.31;1094;562.15;0:28:35;3.57
Objeto 13;45.14;14.58;309.48;16:10:12;19.14;97;0:01:03;0.11;17;5.49;408;131.84;1255;405.52;0;0.0;0:08:10;0.84
Objeto 14;49.42;;;13:56:43;;96;0:01:06;0.13;30;;425;;1106;;0;;0:51:21;6.14
Objeto 15;29.36;15.87;184.98;11:24:25;16.22;100;0:03:33;0.52;7;3.78;250;135.15;767;414.64;0;0.0;0:20:51;3.05
Objeto 16;251.24;116.97;214.79;10:28:25;20.51;86;0:00:09;0.02;410;190.89;1223;569.4;750;349.18;468;217.89;0:25:45;4.1
Objeto 17;206.8;282.98;73.08;3:58:49;18.36;73;0:00:00;0.0;291;398.19;1201;1643.4;432;591.13;285;389.98;0:06:05;2.55
Objeto 18;285.93;153.75;185.98;11:57:42;15.55;81;0:00:02;0.0;654;351.66;1467;788.82;1435;771.61;84;45.17;0:59:51;8.34
Objeto 19;221.4;107.49;205.98;11:10:25;18.43;77;0:00:00;0.0;406;197.11;1187;576.28;530;257.31;215;104.38;0:33:31;5.0
Objeto 20;585.41;192.76;303.71;11:02:28;27.51;100;0:01:07;0.17;1255;413.23;2596;854.77;1938;638.12;734;241.68;0:00:00;0.0
Objeto 21;132.4;66.21;199.97;10:22:03;19.29;76;0:00:00;0.0;155;77.51;941;470.56;632;316.04;73;36.5;0:15:37;2.51
Objeto 22;169.47;86.02;197.02;11:29:15;17.15;81;0:00:05;0.01;227;115.22;1079;547.65;874;443.61;161;81.72;0:19:05;2.77
Objeto 23;103.1;88.35;116.7;11:16:54;10.34;81;0:00:00;0.0;142;121.68;662;567.29;700;599.85;85;72.84;2:23:57;21.27
Objeto 24;93.5;66.91;139.73;6:52:35;20.32;76;0:00:00;0.0;142;101.62;599;428.68;305;218.27;52;37.21;0:18:36;4.51
Objeto 25;497.41;192.76;258.05;16:34:34;15.57;81;0:00:01;0.0;704;272.81;2731;1058.31;1502;582.05;835;323.58;0:28:33;2.87
Objeto 26;178.1;170.62;104.38;7:37:21;13.69;72;0:00:00;0.0;365;349.67;1017;974.29;1012;969.5;34;32.57;0:12:15;2.68
Objeto 27;66.1;33.53;197.12;7:48:40;25.24;80;0:00:00;0.0;58;29.42;528;267.86;265;134.44;17;8.62;0:10:42;2.28
Objeto 28;124.1;74.65;166.24;8:19:41;19.96;73;0:00:00;0.0;188;113.09;806;484.85;493;296.56;59;35.49;0:06:54;1.38
Objeto 29;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 30;23.0;79.29;29.01;1:16:27;22.77;81;0:00:00;0.0;32;110.32;108;372.32;64;220.64;58;199.95;0:19:40;25.72
Objeto 31;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 32;133.8;65.31;204.87;11:51:07;17.29;75;0:00:00;0.0;211;102.99;858;418.81;438;213.8;58;28.31;0:26:29;3.72
Objeto 33;314.9;85.0;370.49;18:30:12;20.02;78;0:00:00;0.0;504;136.04;1740;469.65;834;225.11;401;108.24;0:32:28;2.92
Objeto 34;204.63;107.36;190.6;6:57:41;27.38;93;0:02:03;0.49;368;193.07;1025;537.76;565;296.43;258;135.36;0:00:00;0.0
Objeto 35;124.1;50.14;247.52;13:57:46;17.73;75;0:00:00;0.0;189;76.36;734;296.55;440;177.77;129;52.12;1:08:58;8.23
Objeto 36;234.02;14.1;1659.97;21:27:36;77.35;100;0:00:56;0.07;297;17.89;1448;87.23;897;54.04;291;17.53;2:56:21;13.7
Objeto 37;15.1;110.05;13.72;2:02:44;6.71;45;0:00:00;0.0;15;109.32;109;794.4;40;291.52;12;87.46;0:26:42;21.75
Objeto 38;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 39;163.17;55.63;293.32;15:24:52;19.03;96;0:01:46;0.19;290;98.87;948;323.19;491;167.39;89;30.34;1:05:12;7.05
Objeto 40;232.7;134.5;173.02;10:06:00;17.13;74;0:00:00;0.0;424;245.06;986;569.89;515;297.66;493;284.94;0:16:51;2.78
Objeto 41;198.2;80.28;246.88;14:41:22;16.81;82;0:00:00;0.0;210;85.06;1203;487.29;689;279.09;359;145.42;0:06:21;0.72
Objeto 42;125.4;66.75;187.88;11:02:28;17.02;76;0:00:00;0.0;198;105.39;786;418.36;405;215.57;72;38.32;0:12:51;1.94
Objeto 43;123.2;58.88;209.23;14:16:59;14.65;74;0:00:00;0.0;80;38.24;817;390.48;512;244.71;255;121.88;0:47:48;5.58
Objeto 44;249.0;123.61;201.44;10:21:14;19.46;81;0:00:00;0.0;513;254.67;1119;555.51;745;369.84;345;171.27;0:13:34;2.18
Objeto 45;148.18;66.13;224.08;13:21:02;16.78;88;0:00:20;0.04;262;116.92;853;380.67;422;188.33;102;45.52;0:06:05;0.76
Objeto 46;22.3;11.84;188.32;10:25:41;18.06;83;0:00:10;0.03;7;3.72;205;108.86;736;390.83;1;0.53;0:07:31;1.2
Objeto 47;0.0;0.0;0.02;0:07:56;0.17;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:06:55;87.18
Objeto 48;235.04;96.27;244.13;13:26:21;18.17;86;0:00:17;0.04;458;187.6;1290;528.4;606;248.22;142;58.16;0:24:39;3.06
Objeto 49;51.7;31.43;164.47;0:00:00;0.0;86;0:00:44;0.0;28;17.02;325;197.61;189;114.92;136;82.69;0:00:00;0.0
Objeto 50;184.1;90.69;203.0;11:10:22;18.17;83;0:00:07;0.02;318;156.65;927;456.66;621;305.92;277;136.46;0:32:28;4.84
Objeto 51;156.88;103.28;151.9;10:34:02;14.37;84;0:00:14;0.04;254;167.22;872;574.08;526;346.29;186;122.45;0:59:05;9.32
Objeto 52;29.5;14.82;199.03;12:11:04;16.33;78;0:00:00;0.0;6;3.01;283;142.19;872;438.12;0;0.0;0:25:51;3.54
Objeto 53;181.8;63.95;284.3;18:26:58;15.41;78;0:00:00;0.0;233;81.96;1205;423.86;561;197.33;147;51.71;1:15:20;6.81
Objeto 54;55.28;22.1;250.16;16:20:24;15.31;86;0:00:20;0.03;35;13.99;480;191.88;1256;502.09;0;0.0;0:50:38;5.16
Objeto 55;35.59;20.2;176.23;13:35:32;12.97;149;0:00:12;0.02;28;15.89;231;131.08;784;444.87;67;38.02;0:06:06;0.75
Objeto 56;149.05;71.64;208.06;11:03:18;18.82;101;0:03:40;0.55;234;112.47;864;415.26;563;270.59;126;60.56;1:08:00;10.25
Objeto 57;116.12;59.06;196.6;12:48:55;15.34;85;0:00:30;0.07;159;80.87;798;405.9;533;271.11;41;20.85;0:10:38;1.38
Objeto 58;62.3;40.94;152.16;9:15:08;16.45;78;0:00:00;0.0;75;49.29;418;274.71;171;112.38;55;36.15;0:44:48;8.07
Objeto 59;152.94;78.31;195.3;14:01:09;13.93;104;0:00:53;0.11;254;130.05;914;467.99;556;284.69;100;51.2;1:38:21;11.69
Objeto 60;32.3;15.34;210.58;12:48:58;16.43;79;0:00:00;0.0;13;6.17;297;141.04;858;407.44;0;0.0;0:00:00;0.0
Objeto 61;181.4;165.59;109.55;9:29:21;11.54;74;0:00:00;0.0;332;303.07;855;780.49;489;446.38;295;269.29;2:01:18;21.3
Objeto 62;0.0;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 63;0.1;0.0;0.0;0:00:00;0.0;0;0:00:00;0.0;0;0.0;1;0.0;1;0.0;0;0.0;0:00:00;0.0
Objeto 64;402.82;124.42;323.75;19:40:20;16.46;88;0:00:16;0.02;599;185.02;2404;742.54;1139;351.81;424;130.96;1:30:28;7.66
Objeto 65;241.5;91.75;263.22;16:53:19;15.59;88;0:01:06;0.11;381;144.75;1516;575.95;1000;379.91;127;48.25;1:56:53;11.53
Objeto 66;31.72;13.29;238.71;15:37:54;15.27;91;0:00:30;0.05;10;4.19;292;122.33;952;398.82;1;0.42;0:19:53;2.12
Objeto 67;0.0;0.0;0.02;0:00:00;0.0;0;0:00:00;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0:00:00;0.0
Objeto 68;25.9;12.58;205.85;12:49:42;16.05;75;0:00:00;0.0;10;4.86;235;114.16;876;425.56;4;1.94;0:27:52;3.62
Objeto 69;125.4;104.63;119.85;7:46:36;15.41;72;0:00:00;0.0;215;179.39;697;581.55;304;253.65;127;105.96;0:38:14;8.19
Objeto 70;79.4;47.64;166.68;1:10:49;141.22;80;0:00:00;0.0;112;67.19;541;324.57;329;197.38;29;17.4;0:00:00;0.0
Objeto 71;26.62;14.18;187.68;8:24:24;22.33;86;0:00:22;0.07;8;4.26;245;130.54;765;407.61;0;0.0;0:14:35;2.89
Objeto 72;155.3;85.88;180.84;14:34:08;12.41;77;0:00:00;0.0;188;103.96;1156;639.26;540;298.61;21;11.61;2:16:25;15.61
Objeto 73;134.1;65.62;204.34;12:35:40;16.22;85;0:00:14;0.03;204;99.83;849;415.48;428;209.45;82;40.13;0:38:17;5.07
Objeto 74;185.87;105.91;175.49;6:31:17;26.91;85;0:00:08;0.03;312;177.79;1143;651.32;866;493.48;90;51.28;0:07:21;1.88
Objeto 75;21.0;48.65;43.16;3:20:22;12.92;75;0:00:00;0.0;40;92.67;129;298.87;99;229.37;1;2.32;0:32:22;16.15
Objeto 76;25.2;15.54;162.14;9:09:41;17.7;73;0:00:00;0.0;1;0.62;249;153.57;713;439.75;1;0.62;0:25:01;4.55
